iter	Passed	Remaining
0	63	3090
1	92	2226
2	127	2004
3	151	1737
4	162	1461
5	181	1331
6	190	1170
7	202	1065
8	217	992
9	497	1991
10	523	1857
11	532	1685
12	537	1531
13	541	1393
14	548	1280
15	556	1182
16	576	1118
17	581	1034
18	586	957
19	591	887
20	597	825
21	605	770
22	612	718
23	616	667
24	618	618
25	621	573
26	625	532
27	629	494
28	632	458
29	635	423
30	639	391
31	646	363
32	650	334
33	655	308
34	664	284
35	676	263
36	684	240
37	693	219
38	712	200
39	728	182
40	737	161
41	746	142
42	757	123
43	763	104
44	769	85
45	775	67
46	787	50
47	793	33
48	800	16
49	807	0
