iter	RMSE
0	0.7456222027
1	0.7397997537
2	0.7344636903
3	0.73033387
4	0.7259982485
5	0.7224517365
6	0.7194986733
7	0.7171782346
8	0.7146745246
9	0.7127730885
10	0.7112201173
11	0.7094875459
12	0.7081358354
13	0.7070279946
14	0.7062955209
15	0.7053002948
16	0.7046122099
17	0.7037740258
18	0.7031270403
19	0.7024416686
20	0.7017539
21	0.7011705106
22	0.7008142799
23	0.7002142748
24	0.6996963295
25	0.6992792102
26	0.6990276041
27	0.6986954384
28	0.6983404438
29	0.6980018044
30	0.6976920455
31	0.6974382863
32	0.6972201659
33	0.6970460949
34	0.6967818977
35	0.6964827672
36	0.6963763702
37	0.6960341018
38	0.6958250259
39	0.6956416375
40	0.695480251
41	0.6952979181
42	0.6950792234
43	0.6949086047
44	0.6944632141
45	0.6942662547
46	0.6941022127
47	0.6939553517
48	0.6937469345
49	0.6935414826
