,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,100.0,83.12
1,AAL,American Airlines Gp,Industrials,93.1,86.96
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,80.56,75.0
3,AAPL,Apple Inc,Information Technology,70.83,79.31
4,ABBV,Abbvie Inc,Health Care,75.0,85.71
5,ABC,Amerisourcebergen Corp,Health Care,95.12,90.0
6,ADI,Analog Devices,Information Technology,81.82,96.15
7,ADM,Archer Daniels Midland,Consumer Staples,97.22,87.5
8,ADS,Alliance Data Systems Corp,Information Technology,81.82,74.42
9,AES,The Aes Corp,Utilities,93.18,86.0
10,AFL,Aflac Incorporated,Financials,87.88,100.0
11,AIV,Apartment Investment and Management,Real Estate,70.27,100.0
12,AIZ,Assurant Inc,Financials,85.71,70.0
13,ALL,Allstate Corp,Financials,100.0,84.62
14,ALLE,Allegion Plc,Industrials,76.47,79.17
15,ALXN,Alexion Pharm Inc,Health Care,93.15,85.71
16,AMAT,Applied Materials,Information Technology,94.23,77.27
17,AMD,Adv Micro Devices,Information Technology,70.59,72.73
18,AME,Amtek Inc,Industrials,88.89,69.23
19,AMGN,Amgen Inc,Health Care,80.56,96.77
20,AMZN,Amazon.com Inc,Consumer Discretionary,75.51,90.91
21,ANET,Arista Networks Inc,None,71.7,90.91
22,ANSS,Ansys Inc,Information Technology,80.95,76.74
23,AOS,Smith [A.O.] Corp,Industrials,74.36,82.14
24,APH,Amphenol Corp,Information Technology,81.82,77.78
25,APTV,Aptiv Plc,Consumer Discretionary,69.81,84.38
26,ARE,Alexandria Real Estate Equities,Real Estate,80.0,85.0
27,ARNC,Arconic Inc,Industrials,97.5,96.55
28,ATO,Atmos Energy Corp,None,80.0,100.0
29,ATVI,Activision Blizzard,Information Technology,88.24,91.43
30,AVB,Avalonbay Communities,Real Estate,100.0,100.0
31,AVGO,Broadcom Ltd,Information Technology,97.73,70.83
32,AVY,Avery Dennison Corp,Materials,84.44,75.86
33,AWK,American Water Works,Utilities,70.83,73.68
34,AXP,American Express Company,Financials,100.0,94.44
35,BA,Boeing Company,Industrials,73.33,72.5
36,BAC,Bank of America Corp,Financials,70.21,100.0
37,BBT,BB&T Corp,Financials,86.21,84.62
38,BDX,Becton Dickinson and Company,Health Care,86.27,76.47
39,BEN,Franklin Resources,Financials,82.98,71.23
40,BHGE,Baker Hughes A Ge Co. Cl A,Energy,89.74,91.18
41,BIIB,Biogen Inc,Health Care,72.0,100.0
42,BK,Bank of New York Mellon Corp,Financials,82.76,96.15
43,BKNG,Booking Holdings Inc,Consumer Discretionary,79.59,100.0
44,BLK,Blackrock,Financials,82.14,79.55
45,BMY,Bristol-Myers Squibb Company,Health Care,91.43,88.24
46,BSX,Boston Scientific Corp,Health Care,90.0,98.82
47,BWA,Borgwarner Inc,Consumer Discretionary,71.7,82.93
48,BXP,Boston Properties,Real Estate,83.33,88.24
49,C,Citigroup Inc,Financials,85.71,95.24
50,CAG,Conagra Brands Inc,Consumer Staples,84.0,75.56
51,CAH,Cardinal Health,Health Care,72.58,84.62
52,CAT,Caterpillar Inc,Industrials,75.0,89.47
53,CB,Chubb Ltd,Financials,100.0,88.89
54,CBRE,CBRE Group Inc,Real Estate,95.0,86.67
55,CBS,CBS Corp,Consumer Discretionary,71.43,86.67
56,CCI,Crown Castle International Corp,Real Estate,80.0,100.0
57,CCL,Carnival Corp,Consumer Discretionary,84.62,74.29
