,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,71.43,73.33
1,AAL,American Airlines Gp,Industrials,71.43,86.79
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,92.86,91.07
3,ABC,Amerisourcebergen Corp,Health Care,84.44,100.0
4,ABT,Abbott Laboratories,Health Care,89.47,90.91
5,ACN,Accenture Plc,Information Technology,88.89,100.0
6,ADI,Analog Devices,Information Technology,72.09,100.0
7,ADM,Archer Daniels Midland,Consumer Staples,80.49,73.81
8,ADP,Automatic Data Procs,Information Technology,80.77,78.12
9,ADSK,Autodesk Inc,Information Technology,78.18,69.57
10,AEP,American Electric Power Company,Utilities,81.25,100.0
11,AES,The Aes Corp,Utilities,77.78,94.34
12,AFL,Aflac Incorporated,Financials,88.89,84.62
13,AGN,Allergan Plc,Health Care,71.43,100.0
14,AIG,American International Group,Financials,77.78,90.08
15,AIV,Apartment Investment and Management,Real Estate,74.47,100.0
16,AIZ,Assurant Inc,Financials,72.22,100.0
17,AKAM,Akamai Technologies,Information Technology,75.71,77.55
18,ALB,Albemarle Corp,Materials,86.59,93.42
19,ALGN,Align Technology,Health Care,82.61,90.48
20,ALK,Alaska Air Group,Industrials,93.48,80.56
21,ALLE,Allegion Plc,Industrials,100.0,100.0
22,ALXN,Alexion Pharm Inc,Health Care,89.55,100.0
23,AMP,Ameriprise Financial Services,Financials,100.0,83.48
24,AMZN,Amazon.com Inc,Consumer Discretionary,70.27,76.19
25,ANET,Arista Networks Inc,None,77.42,76.0
26,ANSS,Ansys Inc,Information Technology,96.0,94.44
27,ANTM,Anthem Inc,Health Care,69.23,70.49
28,AON,AON Plc,Financials,71.05,100.0
29,AOS,Smith [A.O.] Corp,Industrials,94.87,98.48
30,APH,Amphenol Corp,Information Technology,76.0,84.62
31,APTV,Aptiv Plc,Consumer Discretionary,73.53,77.42
32,ARE,Alexandria Real Estate Equities,Real Estate,95.83,73.91
33,ARNC,Arconic Inc,Industrials,80.0,89.02
34,ATO,Atmos Energy Corp,None,90.32,88.89
35,ATVI,Activision Blizzard,Information Technology,78.72,83.78
36,AVB,Avalonbay Communities,Real Estate,79.17,70.0
37,AVGO,Broadcom Ltd,Information Technology,89.13,69.7
38,AVY,Avery Dennison Corp,Materials,80.49,69.23
39,AWK,American Water Works,Utilities,100.0,100.0
