TYPE;TIERS;NOM;CPTE_TIERS;PRODUIT;ADRESSE;C_POSTAL;COMMUNE
RC;57001315;ACORIS;41100000;;6   viaduc Kennedy BP 1544;54042;NANCY CEDEX
RC;71010102;ADREA BOURGOGNE;41100000;;24 B R LACRETELLE ;;MACON
RC;3001754;ADREA CENTRE AUVERGNE;41100000;;11  R MARCELLIN DESBOUTIN ;;MOULINS CEDEX
RC;25002995;ADREA FRANCHE COMTE;41100000;;67  R DES CRAS ;25041;BESANÇON CEDEX
RC;30005151;ADREA LANGUEDOC-ROUSILLON;41100000;;393   DE L'HOSTELLERIE ;30000;NIMES
RC;38911798;ADREA MUT ALPES DAUPHINE;411502;;226  CRS DE LA LIBERATION ;38030;GRENOBLE CEDEX 2
RC;1005628;ADREA MUT PAYS DE L'AIN;411502;;58  R BOURGMAYER CS 70016;1017;BOURG EN BRESSE CEDEX
RC;73003589;ADREA MUT PAYS DE SAVOIE;411502;;130   GALERIE CHARTREUSE BARBERAZ;73000;CHAMBERY
RC;14004227;ADREA NORMANDIE P. LOIRE;41100000;;12  AV DU 6 JUIN ;14028;CAEN CEDEX 4
RC;4932190;AGIP SANTE;41100000;;29  AV Paul Painlevé BP 235;24102;BERGERAC
RC;98532001;ALMERYS;411502;;   46 rue du ressort ;63967;CLERMONT FERRAND CEDEX 9
RC;AMERC01;AME AIN;411502;;   16 PLACE DE LA GRENOUILLERE ;1015;BOURG EN BRESSE CEDEX
RC;AMERC02;AME AISNE;411502;;   2 RUE CHARLES PEGUY ;2009;LAON CEDEX
RC;AMERC03;AME ALLIER;411502;;9  R ACHILLE ROCHE ;3010;MOULINS CEDEX
RC;AMERC04;AME ALPES HTES-PROVENCE;411502;;3  R ALPHONSE RICHARD ;4010;DIGNE LES BAINS
RC;AMERC06;AME ALPES-MARITIMES;411502;;48  AV ROI ROBERT COMTE DE PROVENCE ;6100;NICE
RC;AMERC07;AME ARDECHE;411502;;6  AV DE L EUROPE UNIE ;7000;PRIVAS
RC;AMERC08;AME ARDENNES;411502;;14  AV G. CORNEAU ;8101;CHARLEVILLE MEZIERES CEDEX
RC;AMERC09;AME ARIEGE;411502;;1  AV DE SIBIAN ;9015;FOIX CEDEX
RC;AMERC62;AME ARRAS;411502;;  BD SALVADOR ALLENDE ;62014;ARRAS CEDEX
RC;AMERC10;AME AUBE;411502;;113  R ETIENNE PEDRON ;10030;TROYES CEDEX
RC;AMERC11;AME AUDE;411502;;2  ALL DE BEZONS ;11017;CARCASSONNE CEDEX  9
RC;AMERC12;AME AVEYRON;411502;;2  AV DE BAMBERG ;12020;RODEZ CEDEX 9
RC;AMERC67;AME BAS-RHIN;411502;;16  R DE LAUSANNE BP 408 R 2;67090;STRASBOURG CEDEX
RC;AMERC13;AME BOUCHE-DU-RHONE;411502;;23  R Mathieu Stilatti ;13331;MARSEILLE CEDEX 3
RC;AMERC622;AME BOULOGNE SUR MER;411502;;   47, Boulevard Mariette BP 489;62321;BOULOGNE-SUR-MER CEDEX
RC;AMERC14;AME CALVADOS;411502;;  BD DU GENERAL WEYGAND SAME - BP 6048;14031;CAEN CEDEX 9
RC;AMERC15;AME CANTAL;411502;;15  R PIERRE MARTY ;15010;AURILLAC
RC;AMERC16;AME CHARENTE;411502;;30  BD de Bury ;16190;ANGOULEME CEDEX 9
RC;AMERC17;AME CHARENTE-MARITIME;411502;;   ROCHEFORT BANLIEUE RUE DES TAMARIS;17311;ROCHEFORT CEDEX
RC;AMERC18;AME CHER;411502;;  BD DE LA REPUBLIQUE ;18030;BOURGES CEDEX
RC;AMERC19;AME CORREZE;411502;;6  R SOUHAM ;19033;TULLE CEDEX
RC;AMERC623;AME COTE D'OPALE;411502;;   35, Rue Descartes ;62108;CALAIS CEDEX
RC;AMERC21;AME COTE D'OR;411502;;8  R DU DOCTEUR MARET BP 1548;21045;DIJON CEDEX
RC;AMERC22;AME COTES D'AMOR;411502;;106  BD HOCHE ;22024;SAINT BRIEUC CEDEX
RC;AMERC23;AME CREUSE;411502;;  R MARCEL BRUNET ;23014;GUERET CEDEX
RC;AMERC624;AME DE L'ARTOIS;411502;;   11 boulevard du Président Allendé ;62014;ARRAS CEDEX
RC;AMERC79;AME DEUX-SEVRES;411502;;  PL DU PORT ;79041;NIORT CEDEX 9
RC;AMERC24;AME DORDOGNE;411502;;50  R CLAUDE BERNARD ;24010;PERIGUEUX CEDEX
RC;AMERC25;AME DOUBS;411502;;2  R DENIS PAPIN ;25036;BESANCON
RC;AMERC26;AME DROME;411502;;  AV DU PRESIDENT HERRIOT BP 1000;26024;VALENCE CEDEX
RC;AMERC91;AME ESSONNE;411502;;  BD FRANCOIS MITTERRAND CENTRE 130;91039;EVRY CEDEX
RC;AMERC27;AME EURE;411502;;1 B PL SAINT TAURIN ;27030;EVREUX
RC;AMERC28;AME EURE-ET-LOIRE;411502;;11  R DU DOCTEUR ANDRE HAYE ;28034;CHARTRES CEDEX
RC;AMERC29;AME FINISTERE;411502;;  R DE SAVOIE ;29282;BREST CEDEX
RC;AMERC30;AME GARD;411502;;14  R DU CIRQUE ROMAIN ;30921;NIMES CEDEX
RC;AMERC32;AME GERS;411502;;11  R DE CHATEAUDUN ;32012;AUCH CEDEX
RC;AMERC33;AME GIRONDE;411502;;  PL DE L EUROPE CITE DU GRAND PARC;33085;BORDEAUX CEDEX
RC;AMERC68;AME HAUT-RHIN;411502;;19  BD DU CHAMPS DE MARS BP 454;68022;COLMAR CEDEX
RC;AMERC92;AME HAUTS-DE-SEINE;411502;;    TELETRANSMISSION;92026;NANTERRE CEDEX
RC;AMERC34;AME HERAULT;411502;;  PL De Gaulle BP 743;34523;BEZIERS CEDEX
RC;AMERC31;AME HTE-GARONNE;411502;;3  BD Léopold Escande ;31083;TOULOUSE CEDEX 09
