,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Buy/Sell Price,Quantity,Actual,PNL,Latent PNL
0,2019-03-14,BKNG,1,0,0,0,1751.79,3.0,1743.88,0,0
1,2019-03-14,NWSA,0,0,1,0,12.68,394.0,12.55,0,0
2,2019-03-14,STZ,0,0,1,0,171.48,29.0,168.68,0,0
3,2019-03-14,CLX,0,0,1,0,159.75,31.0,156.71,0,0
4,2019-03-14,JWN,0,0,1,0,44.47,112.0,42.97,0,0
5,2019-03-14,EVRG,1,0,0,0,56.91,88.0,55.8,0,0
6,2019-03-15,BKNG,0,0,0,0,1751.79,3.0,1752.17,0,17.76
7,2019-03-15,NWSA,0,0,0,0,12.68,394.0,12.55,0,15.76
8,2019-03-15,NCLH,0,0,0,0,0.0,0.0,55.55,0,0
9,2019-03-15,ZION,1,0,0,0,49.24,102.0,48.12,0,0
10,2019-03-15,CLX,0,0,0,0,159.75,31.0,157.53,0,-26.66
11,2019-03-15,EVRG,0,1,0,0,57.46,88.0,56.33,48.4,0
12,2019-03-18,NWSA,0,0,0,0,12.68,394.0,12.53,0,15.76
13,2019-03-18,NCLH,0,0,1,0,56.21,89.0,56.16,0,0
14,2019-03-18,MAS,0,0,0,0,0.0,0.0,38.79,0,0
15,2019-03-18,JWN,0,0,0,1,44.39,112.0,42.71,8.96,0
16,2019-03-18,ZION,0,1,0,0,50.34,102.0,48.98,112.2,0
17,2019-03-18,BKNG,0,0,0,0,1751.79,3.0,1756.33,0,-2.22
18,2019-03-18,CLX,0,0,0,0,159.75,31.0,156.36,0,55.49
19,2019-03-19,NCLH,0,0,0,0,56.21,89.0,56.11,0,21.36
20,2019-03-19,NWSA,0,0,0,0,12.68,394.0,12.45,0,59.1
21,2019-03-19,DHI,0,0,0,0,0.0,0.0,39.19,0,0
22,2019-03-19,JWN,0,0,1,0,44.55,112.0,43.06,0,0
23,2019-03-19,BKNG,0,0,0,0,1751.79,3.0,1764.03,0,44.97
24,2019-03-19,CLX,0,0,0,0,159.75,31.0,153.81,0,74.4
25,2019-03-19,WFC,0,0,1,0,51.19,98.0,49.87,0,0
26,2019-03-20,NWSA,0,0,0,0,12.68,394.0,12.51,0,47.28
27,2019-03-20,BKNG,0,0,0,0,1751.79,3.0,1774.43,0,42.03
28,2019-03-20,WFC,0,0,0,0,51.19,98.0,48.89,0,118.58
29,2019-03-20,NCLH,0,0,0,0,56.21,89.0,55.87,0,56.07
30,2019-03-20,STZ,0,0,0,1,164.22,29.0,162.74,210.54,0
31,2019-03-20,DHI,0,0,0,0,0.0,0.0,38.83,0,0
32,2019-03-20,EVRG,1,0,0,0,56.54,88.0,55.19,0,0
33,2019-03-20,JWN,0,0,0,0,44.55,112.0,41.99,0,210.56
34,2019-03-20,CLX,0,0,0,0,159.75,31.0,152.91,0,111.91
35,2019-03-20,ZION,0,0,0,0,0.0,0.0,46.11,0,0
36,2019-03-21,MAS,0,0,1,0,38.83,129.0,38.75,0,0
37,2019-03-21,SHW,0,0,1,0,429.29,12.0,430.72,0,0
