,Date,Open Long,Close Long,Open Short,Close Short,Exposure Long,Exposure Short,Exposure,Net Exposure,PNL,Unrealized PNL,Cumulative PNL,NAV,Net Long,Net Short,Maximum Drawdown
0,2019-03-14,2,0,4,0,10263.45,-19901.73,30165.18,-9638.279999999999,0.0,0.0,0.0,50000.0,2,4,0.0
1,2019-03-15,1,1,0,0,10229.45,-19901.73,30131.180000000004,-9672.279999999999,48.4,6.860000000000003,48.4,50055.26,2,4,0.0
2,2019-03-18,0,1,1,1,5094.77,-19932.739999999998,25027.510000000002,-14837.969999999998,121.16,69.03,169.56,50238.59,1,4,0.0
3,2019-03-19,0,0,2,0,5094.77,-29938.959999999995,35033.73,-24844.189999999995,0.0,199.83,169.56,50369.39,1,6,0.0
4,2019-03-20,1,0,0,1,10070.29,-25176.579999999994,35246.87,-15106.289999999994,210.54,586.43,380.1,50966.53,2,5,0.0
5,2019-03-21,0,0,4,0,10070.29,-45357.10999999999,55427.4,-35286.81999999999,0.0,232.44,380.1,50612.54,2,9,0.0
6,2019-03-22,0,0,0,0,10070.29,-45357.10999999999,55427.4,-35286.81999999999,0.0,-7.079999999999984,380.1,50373.02,2,9,-7.079999999999984
7,2019-03-25,0,0,0,2,10070.29,-35577.27,45647.560000000005,-25506.979999999996,217.78,179.17999999999998,597.88,50777.06,2,7,-7.079999999999984
8,2019-03-26,0,0,1,3,10070.29,-25696.489999999998,35766.780000000006,-15626.199999999997,326.32000000000005,52.81,924.2,50977.009999999995,2,5,-7.079999999999984
9,2019-03-27,2,0,1,0,20095.48,-30689.269999999997,50784.75000000001,-10593.789999999997,0.0,-276.71999999999997,924.2,50647.479999999996,4,6,-276.71999999999997
10,2019-03-28,0,1,0,0,15048.9,-30689.269999999997,45738.170000000006,-15640.369999999997,40.6,-85.97,964.8000000000001,50878.83,3,6,-276.71999999999997
