,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,88.89,84.62
1,AAL,American Airlines Gp,Industrials,73.47,75.56
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,75.76,77.14
3,ABBV,Abbvie Inc,Health Care,69.23,82.35
4,ABT,Abbott Laboratories,Health Care,84.0,75.0
5,ADBE,Adobe Systems Inc,Information Technology,80.95,87.5
6,ADM,Archer Daniels Midland,Consumer Staples,82.14,88.0
7,ADS,Alliance Data Systems Corp,Information Technology,72.73,96.0
8,ADSK,Autodesk Inc,Information Technology,69.57,82.93
9,AEE,Ameren Corp,Utilities,85.71,69.77
10,AEP,American Electric Power Company,Utilities,85.71,100.0
11,AES,The Aes Corp,Utilities,70.59,94.12
12,AFL,Aflac Incorporated,Financials,87.5,100.0
13,AIG,American International Group,Financials,72.73,92.31
14,AIV,Apartment Investment and Management,Real Estate,73.33,100.0
15,AIZ,Assurant Inc,Financials,100.0,93.46
16,AJG,Arthur J. Gallagher & CO,Financials,81.25,100.0
17,AKAM,Akamai Technologies,Information Technology,69.84,84.62
18,ALB,Albemarle Corp,Materials,80.43,73.03
19,ALK,Alaska Air Group,Industrials,70.0,76.19
20,ALL,Allstate Corp,Financials,73.33,92.75
21,ALLE,Allegion Plc,Industrials,79.31,100.0
22,ALXN,Alexion Pharm Inc,Health Care,91.3,96.08
23,AMAT,Applied Materials,Information Technology,84.21,69.23
24,AMD,Adv Micro Devices,Information Technology,69.81,98.15
25,AME,Amtek Inc,Industrials,92.31,87.1
26,AMG,Affiliated Managers Group,Financials,87.5,92.0
27,AMP,Ameriprise Financial Services,Financials,74.47,81.48
28,AMT,American Tower Corp,Real Estate,93.75,94.12
29,ANET,Arista Networks Inc,None,91.67,88.89
30,AON,AON Plc,Financials,84.21,78.57
31,APA,Apache Corp,Energy,80.77,76.39
32,APD,Air Products and Chemicals,Materials,83.33,88.24
33,APTV,Aptiv Plc,Consumer Discretionary,83.33,92.59
34,ARE,Alexandria Real Estate Equities,Real Estate,90.0,82.98
35,ARNC,Arconic Inc,Industrials,86.96,70.73
36,AVB,Avalonbay Communities,Real Estate,69.23,100.0
37,AVGO,Broadcom Ltd,Information Technology,90.0,89.47
38,AWK,American Water Works,Utilities,81.82,88.89
39,BA,Boeing Company,Industrials,88.89,78.95
40,BAC,Bank of America Corp,Financials,90.91,75.86
