,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-12-23,499653.97,499725.37,71.4,0.01,71.4,0.01
1,2019-12-24,499725.37,499725.37,0.0,0.0,71.4,0.01
2,2019-12-25,499725.37,499725.37,0.0,0.0,71.4,0.01
3,2019-12-26,499725.37,499270.1,-455.27,-0.09,-383.87,-0.08
4,2019-12-27,499270.1,499551.14,281.04,0.06,-102.83,-0.02
5,2019-12-30,499551.14,500043.92,492.78,0.1,389.95,0.08
6,2019-12-31,500043.92,499301.66,-742.26,-0.15,-352.31,-0.07
7,2020-01-02,499301.66,498818.69,-482.97,-0.1,-835.28,-0.17
8,2020-01-03,498818.69,499827.84,1009.15,0.2,173.87,0.03
9,2020-01-06,499827.84,500061.47,233.63,0.05,407.5,0.08
10,2020-01-07,500061.47,499927.46,-134.01,-0.03,273.49,0.05
11,2020-01-08,499927.46,499792.09,-135.37,-0.03,138.12,0.03
12,2020-01-09,499792.09,499015.84,-776.25,-0.16,-638.13,-0.13
13,2020-01-10,499015.84,500344.12,1328.28,0.27,690.15,0.14
14,2020-01-13,500344.12,499028.01,-1316.11,-0.26,-625.96,-0.13
15,2020-01-14,499028.01,498795.9,-232.11,-0.05,-858.07,-0.17
16,2020-01-15,498795.9,498705.39,-90.51,-0.02,-948.58,-0.19
17,2020-01-16,498705.39,496734.13,-1971.26,-0.4,-2919.84,-0.59
18,2020-01-17,496734.13,496624.08,-110.05,-0.02,-3029.89,-0.61
19,2020-01-20,496624.08,496624.08,0.0,0.0,-3029.89,-0.61
20,2020-01-21,496624.08,497983.68,1359.6,0.27,-1670.29,-0.33
21,2020-01-22,497983.68,497685.44,-298.24,-0.06,-1968.53,-0.39
22,2020-01-23,497685.44,496362.59,-1322.85,-0.27,-3291.38,-0.66
23,2020-01-24,496362.59,499189.36,2826.77,0.57,-464.61,-0.09
