,Date,Nbre Positions,Nbre Tickers,Nbre Long,Nbre Short,Exposition Long,Exposition Short,Exposition Totale,Latent PnL
0,2019-12-26,8,8,0,8,0.0,-80213.79,-80213.79,-461.080000000003
1,2019-12-26,16,8,0,16,0.0,-160427.58,-160427.58,-922.160000000006
2,2019-12-31,8,8,2,6,19932.28,-59961.34999999999,-40029.069999999985,-329.22000000000384
3,2019-12-26,24,8,0,24,0.0,-240641.37,-240641.37,-1383.2400000000089
4,2019-12-31,10,8,3,7,29850.42,-69897.65,-40047.23,-359.8800000000033
5,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999615
6,2020-01-03,13,13,1,12,30042.42,-260944.18,-230901.76000000004,-3413.1300000000074
7,2019-12-26,32,8,0,32,0.0,-320855.16,-320855.16,-1844.320000000012
8,2019-12-31,12,8,4,8,39768.56,-79833.95,-40065.39,-390.5400000000032
9,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999615
10,2020-01-03,15,13,2,13,60084.84,-280897.54000000004,-220812.7,-3102.3900000000103
11,2020-01-06,15,15,0,15,0.0,-421617.47,-421617.47,-6154.1400000000085
12,2019-12-26,40,8,0,40,0.0,-401068.95,-401068.95,-2305.400000000015
13,2019-12-31,14,8,5,9,49686.7,-89770.25,-40083.55,-421.2000000000026
14,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999615
15,2020-01-03,16,13,2,14,60084.84,-300850.9,-240766.06000000003,-2951.5200000000104
16,2020-01-06,16,15,0,16,0.0,-441534.87,-441534.87,-6373.030000000009
17,2020-01-07,18,18,2,16,49336.32,-500615.94000000006,-451279.62000000005,-6941.580000000016
18,2019-12-26,48,8,0,48,0.0,-481282.74,-481282.74,-2766.4800000000178
19,2019-12-31,16,8,6,10,59604.84,-99706.55,-40101.710000000014,-451.8600000000023
20,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999615
21,2020-01-03,17,13,2,15,60084.84,-320804.26,-260719.42000000004,-2800.650000000011
22,2020-01-06,17,15,0,17,0.0,-461452.27,-461452.27,-6591.920000000007
23,2020-01-07,22,18,3,19,48873.42,-589843.2700000001,-540969.8500000001,-9894.270000000022
24,2020-01-08,14,14,1,12,59540.42,-531199.5900000001,-471659.17,-5153.56000000001
25,2019-12-26,56,8,0,56,0.0,-561496.53,-561496.53,-3227.560000000021
26,2019-12-31,17,8,7,10,69522.98,-99706.55,-30183.570000000014,-428.40000000000236
27,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999615
28,2020-01-03,17,13,2,15,60084.84,-320804.26,-260719.42000000004,-2800.650000000011
29,2020-01-06,18,15,0,18,0.0,-481369.67,-481369.67,-6810.810000000009
30,2020-01-07,24,18,3,21,48873.42,-629039.1000000002,-580165.6799999999,-11874.56000000002
31,2020-01-08,15,14,1,13,59540.42,-591477.9900000001,-531937.5700000001,-5381.200000000014
32,2020-01-09,17,17,2,13,49314.87,-692825.58,-643510.71,-8570.740000000014
33,2019-12-26,64,8,0,64,0.0,-641710.32,-641710.32,-3688.640000000024
34,2019-12-31,18,8,8,10,79441.12,-99706.55,-20265.430000000008,-404.9400000000024
35,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999615
36,2020-01-03,17,13,2,15,60084.84,-320804.26,-260719.42000000004,-2800.650000000011
37,2020-01-06,19,15,0,19,0.0,-501287.07000000007,-501287.07000000007,-7029.700000000006
38,2020-01-07,26,18,3,23,48873.42,-668234.9300000003,-619361.51,-13854.85000000002
39,2020-01-08,16,14,1,14,59540.42,-651756.3900000001,-592215.9700000001,-5608.840000000018
40,2020-01-09,19,17,2,15,49314.87,-805030.6499999998,-755715.78,-8475.740000000016
41,2020-01-10,16,16,4,12,61410.74,-730705.3300000002,-669294.5900000001,-11743.610000000011
42,2019-12-26,72,8,0,72,0.0,-721924.11,-721924.11,-4149.720000000027
43,2019-12-31,19,8,9,10,89359.26,-99706.55,-10347.290000000008,-381.4800000000025
44,2020-01-02,2,2,0,2,0.0,-30037.65,-30037.65,106.65999999999616
45,2020-01-03,17,13,2,15,60084.84,-320804.26,-260719.42000000004,-2800.650000000011
46,2020-01-06,20,15,0,20,0.0,-521204.4700000001,-521204.4700000001,-7248.590000000006
47,2020-01-07,28,18,3,25,48873.42,-707430.76,-658557.3400000001,-15835.140000000018
48,2020-01-08,16,14,1,14,59540.42,-651756.3900000001,-592215.9700000001,-5608.840000000018
49,2020-01-09,20,17,2,16,49314.869999999995,-866854.3500000001,-817539.48,-8665.540000000019
50,2020-01-10,32,16,7,25,164471.88,-1783365.3199999998,-1618893.44,-29916.080000000024
51,2020-01-13,2,2,0,2,0.0,-130717.03000000001,-130717.03000000001,-104.90000000000194
