,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-12-23,504222.53,504294.5,71.97,0.01,71.97,0.01
1,2019-12-24,504294.5,504294.5,0.0,0.0,71.97,0.01
2,2019-12-25,504294.5,504294.5,0.0,0.0,71.97,0.01
3,2019-12-26,504294.5,504084.53,-209.97,-0.04,-138.0,-0.03
4,2019-12-27,504084.53,504152.34,67.81,0.01,-70.19,-0.01
5,2019-12-30,504152.34,504488.95,336.61,0.07,266.42,0.05
6,2019-12-31,504488.95,504421.85,-67.1,-0.01,199.32,0.04
7,2020-01-02,504421.85,504171.27,-250.58,-0.05,-51.26,-0.01
8,2020-01-03,504171.27,504889.18,717.91,0.14,666.65,0.13
9,2020-01-06,504889.18,505241.35,352.17,0.07,1018.82,0.2
10,2020-01-07,505241.35,505584.55,343.2,0.07,1362.02,0.27
11,2020-01-08,505584.55,505256.28,-328.27,-0.06,1033.75,0.21
12,2020-01-09,505256.28,504980.29,-275.99,-0.05,757.76,0.15
13,2020-01-10,504980.29,505098.88,118.59,0.02,876.35,0.18
14,2020-01-13,505098.88,504835.08,-263.8,-0.05,612.55,0.12
15,2020-01-14,504835.08,505317.98,482.9,0.1,1095.45,0.22
16,2020-01-15,505317.98,505456.62,138.64,0.03,1234.09,0.25
17,2020-01-16,505456.62,504738.01,-718.61,-0.14,515.48,0.1
18,2020-01-17,504738.01,504416.44,-321.57,-0.06,193.91,0.04
19,2020-01-20,504416.44,504416.44,0.0,0.0,193.91,0.04
20,2020-01-21,504416.44,505124.57,708.13,0.14,902.04,0.18
21,2020-01-22,505124.57,505525.09,400.52,0.08,1302.56,0.26
22,2020-01-23,505525.09,505047.53,-477.56,-0.09,825.0,0.17
23,2020-01-24,505047.53,506307.58,1260.05,0.25,2085.05,0.42
