,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Buy/Sell Price,Quantity,PNL,Cumulative PNL,Latent PNL
0,2018-03-14,MMM,0,0,1,0,235.22,39.0,0,False,0
1,2018-03-15,MMM,0,0,0,0,235.22,39.0,0,0,-17.55
2,2018-03-16,MMM,0,0,0,0,235.22,39.0,0,0,-30.81
3,2018-03-19,MMM,0,0,0,0,235.22,39.0,0,0,120.9
4,2018-03-20,MMM,0,0,0,0,235.22,39.0,0,0,86.58
5,2018-03-21,MMM,0,0,0,0,235.22,39.0,0,0,124.02
6,2018-03-22,MMM,0,0,0,0,235.22,39.0,0,0,457.08
7,2018-03-23,MMM,0,0,0,1,217.86,39.0,677.04,0,0
8,2018-03-26,MMM,1,0,0,0,221.02,41.0,0,677.04,0
9,2018-03-27,MMM,0,0,0,0,221.02,41.0,0,677.04,-155.39
10,2018-03-28,MMM,0,0,0,0,221.02,41.0,0,677.04,-132.43
11,2018-03-29,MMM,0,0,0,0,221.02,41.0,0,677.04,-121.77
12,2018-04-02,MMM,0,0,0,0,221.02,41.0,0,677.04,-328.82
13,2018-04-03,MMM,0,0,0,0,221.02,41.0,0,677.04,-353.83
14,2018-04-04,MMM,0,0,0,0,221.02,41.0,0,677.04,-97.58
15,2018-04-05,MMM,0,0,0,0,221.02,41.0,0,677.04,-148.42
16,2018-04-06,MMM,0,0,0,0,221.02,41.0,0,677.04,-298.07
17,2018-04-09,MMM,0,0,0,0,221.02,41.0,0,677.04,-233.7
18,2018-04-10,MMM,0,0,0,0,221.02,41.0,0,677.04,-279.62
19,2018-04-11,MMM,0,0,0,0,221.02,41.0,0,677.04,-217.3
20,2018-04-12,MMM,0,0,0,0,221.02,41.0,0,677.04,-120.13
21,2018-04-13,MMM,0,0,0,0,221.02,41.0,0,677.04,-156.62
22,2018-04-16,MMM,0,1,0,0,219.15,41.0,-76.67,677.04,0
23,2018-04-17,MMM,0,0,0,0,0.0,0.0,0,600.37,0
24,2018-04-18,MMM,0,0,0,0,0.0,0.0,0,600.37,0
25,2018-04-19,MMM,0,0,0,0,0.0,0.0,0,600.37,0
26,2018-04-20,MMM,0,0,0,0,0.0,0.0,0,600.37,0
27,2018-04-23,MMM,1,0,0,0,206.5,44.0,0,600.37,0
28,2018-04-24,MMM,0,1,0,0,201.1,44.0,-237.6,600.37,0
29,2018-04-25,MMM,0,0,1,0,198.68,46.0,0,362.77,0
30,2018-04-26,MMM,0,0,0,0,198.68,46.0,0,362.77,87.86
31,2018-04-27,MMM,0,0,0,1,196.96,46.0,79.12,362.77,0
32,2018-04-30,MMM,1,0,0,0,194.03,47.0,0,441.89,0
33,2018-05-01,MMM,0,0,0,0,194.03,47.0,0,441.89,52.64
34,2018-05-02,MMM,0,0,0,0,194.03,47.0,0,441.89,23.03
35,2018-05-03,MMM,0,0,0,0,194.03,47.0,0,441.89,48.88
36,2018-05-04,MMM,0,1,0,0,200.06,47.0,283.41,441.89,0
37,2018-05-07,MMM,0,0,1,0,200.0,45.0,0,725.3,0
38,2018-05-08,MMM,0,0,0,0,200.0,45.0,0,725.3,-91.35
39,2018-05-09,MMM,0,0,0,0,200.0,45.0,0,725.3,-117.45
40,2018-05-10,MMM,0,0,0,0,200.0,45.0,0,725.3,-213.3
41,2018-05-11,MMM,0,0,0,0,200.0,45.0,0,725.3,-255.15
42,2018-05-14,MMM,0,0,0,0,200.0,45.0,0,725.3,-223.2
43,2018-05-15,MMM,0,0,0,0,200.0,45.0,0,725.3,-23.4
44,2018-05-16,MMM,0,0,0,0,200.0,45.0,0,725.3,32.85
45,2018-05-17,MMM,0,0,0,0,200.0,45.0,0,725.3,-12.6
46,2018-05-18,MMM,0,0,0,0,200.0,45.0,0,725.3,-22.5
47,2018-05-21,MMM,0,0,0,0,200.0,45.0,0,725.3,-88.2
48,2018-05-22,MMM,0,0,0,0,200.0,45.0,0,725.3,101.7
49,2018-05-23,MMM,0,0,0,0,200.0,45.0,0,725.3,52.65
50,2018-05-24,MMM,0,0,0,0,200.0,45.0,0,725.3,75.15
51,2018-05-25,MMM,0,0,0,0,200.0,45.0,0,725.3,90.0
52,2018-05-29,MMM,0,0,0,0,200.0,45.0,0,725.3,130.95
53,2018-05-30,MMM,0,0,0,1,198.11,45.0,85.05,725.3,0
54,2018-05-31,MMM,0,0,0,0,0.0,0.0,0,810.3499999999999,0
55,2018-06-01,MMM,0,0,1,0,200.73,45.0,0,810.3499999999999,0
56,2018-06-04,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-15.75
57,2018-06-05,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-49.95
58,2018-06-06,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-155.25
59,2018-06-07,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-191.25
60,2018-06-08,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-263.7
61,2018-06-11,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-222.3
62,2018-06-12,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-198.45
63,2018-06-13,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-226.35
64,2018-06-14,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-81.9
65,2018-06-15,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-81.0
66,2018-06-18,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,-23.85
67,2018-06-19,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,62.55
68,2018-06-20,MMM,0,0,0,0,200.73,45.0,0,810.3499999999999,130.05
69,2018-06-21,MMM,0,0,0,1,197.39,45.0,150.3,810.3499999999999,0
70,2018-06-22,MMM,0,0,0,0,0.0,0.0,0,960.6499999999999,0
71,2018-06-25,MMM,0,0,0,0,0.0,0.0,0,960.6499999999999,0
72,2018-06-26,MMM,0,0,0,0,0.0,0.0,0,960.6499999999999,0
73,2018-06-27,MMM,1,0,0,0,195.5,46.0,0,960.6499999999999,0
74,2018-06-28,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,44.62
75,2018-06-29,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,-1.84
76,2018-07-02,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,45.54
77,2018-07-03,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,72.22
78,2018-07-05,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,73.14
79,2018-07-06,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,121.44
80,2018-07-09,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,253.0
81,2018-07-10,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,198.72
82,2018-07-11,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,168.82
83,2018-07-12,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,219.42
84,2018-07-13,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,278.3
85,2018-07-16,MMM,0,0,0,0,195.5,46.0,0,960.6499999999999,252.54
86,2018-07-17,MMM,0,1,0,0,202.22,46.0,309.12,960.65,0
87,2018-07-18,MMM,0,0,1,0,201.76,45.0,0,1269.77,0
88,2018-07-19,MMM,0,0,0,0,201.76,45.0,0,1269.77,109.35
89,2018-07-20,MMM,0,0,0,0,201.76,45.0,0,1269.77,9.9
90,2018-07-23,MMM,0,0,0,0,201.76,45.0,0,1269.77,396.9
91,2018-07-24,MMM,0,0,0,0,201.76,45.0,0,1269.77,50.85
92,2018-07-25,MMM,0,0,0,0,201.76,45.0,0,1269.77,-140.85
93,2018-07-26,MMM,0,0,0,0,201.76,45.0,0,1269.77,-311.4
94,2018-07-27,MMM,0,0,0,0,201.76,45.0,0,1269.77,-292.05
95,2018-07-30,MMM,0,0,0,0,201.76,45.0,0,1269.77,-246.15
96,2018-07-31,MMM,0,0,0,0,201.76,45.0,0,1269.77,-414.9
97,2018-08-01,MMM,0,0,0,0,201.76,45.0,0,1269.77,-188.55
98,2018-08-02,MMM,0,0,0,0,201.76,45.0,0,1269.77,-187.2
99,2018-08-03,MMM,0,0,0,0,201.76,45.0,0,1269.77,-256.05
100,2018-08-06,MMM,0,0,0,0,201.76,45.0,0,1269.77,-281.25
101,2018-08-07,MMM,0,0,0,0,201.76,45.0,0,1269.77,-302.85
102,2018-08-08,MMM,0,0,0,0,201.76,45.0,0,1269.77,-242.1
103,2018-08-09,MMM,0,0,0,0,201.76,45.0,0,1269.77,-92.25
104,2018-08-10,MMM,0,0,0,0,201.76,45.0,0,1269.77,-11.7
105,2018-08-13,MMM,0,0,0,0,201.76,45.0,0,1269.77,89.1
106,2018-08-14,MMM,0,0,0,0,201.76,45.0,0,1269.77,112.95
107,2018-08-15,MMM,0,0,0,1,202.02,45.0,-11.7,1269.77,0
108,2018-08-16,MMM,0,0,1,0,203.28,45.0,0,1258.07,0
109,2018-08-17,MMM,0,0,0,0,203.28,45.0,0,1258.07,-109.8
110,2018-08-20,MMM,0,0,0,0,203.28,45.0,0,1258.07,-77.4
111,2018-08-21,MMM,0,0,0,0,203.28,45.0,0,1258.07,-112.05
112,2018-08-22,MMM,0,0,0,0,203.28,45.0,0,1258.07,12.6
113,2018-08-23,MMM,0,0,0,0,203.28,45.0,0,1258.07,0.0
114,2018-08-24,MMM,0,0,0,0,203.28,45.0,0,1258.07,-130.5
115,2018-08-27,MMM,0,0,0,0,203.28,45.0,0,1258.07,-256.05
116,2018-08-28,MMM,0,0,0,0,203.28,45.0,0,1258.07,-265.05
117,2018-08-29,MMM,0,0,0,0,203.28,45.0,0,1258.07,-289.35
118,2018-08-30,MMM,0,0,0,0,203.28,45.0,0,1258.07,-283.05
119,2018-08-31,MMM,0,0,0,0,203.28,45.0,0,1258.07,-327.15
120,2018-09-04,MMM,0,0,0,0,203.28,45.0,0,1258.07,-225.45
121,2018-09-05,MMM,0,0,0,0,203.28,45.0,0,1258.07,-392.4
122,2018-09-06,MMM,0,0,0,0,203.28,45.0,0,1258.07,-403.2
123,2018-09-07,MMM,0,0,0,0,203.28,45.0,0,1258.07,-468.0
124,2018-09-10,MMM,0,0,0,1,211.36,45.0,-363.6,1258.07,0
125,2018-09-11,MMM,0,0,1,0,212.3,43.0,0,894.4699999999999,0
126,2018-09-12,MMM,0,0,0,0,212.3,43.0,0,894.4699999999999,213.28
127,2018-09-13,MMM,0,0,0,0,212.3,43.0,0,894.4699999999999,148.78
128,2018-09-14,MMM,0,0,0,0,212.3,43.0,0,894.4699999999999,208.12
129,2018-09-17,MMM,0,0,0,0,212.3,43.0,0,894.4699999999999,88.58
130,2018-09-18,MMM,0,0,0,0,212.3,43.0,0,894.4699999999999,22.79
131,2018-09-19,MMM,0,0,0,0,212.3,43.0,0,894.4699999999999,-103.2
132,2018-09-20,MMM,0,0,0,1,217.32,43.0,-215.86,894.4699999999999,0
133,2018-09-21,MMM,1,0,0,0,215.39,42.0,0,678.6099999999999,0
134,2018-09-24,MMM,0,0,0,0,215.39,42.0,0,678.6099999999999,-52.92
135,2018-09-25,MMM,0,1,0,0,211.49,42.0,-163.8,678.61,0
136,2018-09-26,MMM,0,0,1,0,212.0,43.0,0,514.81,0
137,2018-09-27,MMM,0,0,0,0,212.0,43.0,0,514.81,106.21
138,2018-09-28,MMM,0,0,0,0,212.0,43.0,0,514.81,-17.2
139,2018-10-01,MMM,0,0,0,0,212.0,43.0,0,514.81,-16.34
140,2018-10-02,MMM,0,0,0,1,216.0,43.0,-172.0,514.81,0
141,2018-10-03,MMM,1,0,0,0,214.85,42.0,0,342.80999999999995,0
142,2018-10-04,MMM,0,0,0,0,214.85,42.0,0,342.80999999999995,-21.0
143,2018-10-05,MMM,0,0,0,0,214.85,42.0,0,342.80999999999995,-72.24
144,2018-10-08,MMM,0,1,0,0,212.68,42.0,-91.14,342.81,0
145,2018-10-09,MMM,0,0,1,0,209.19,43.0,0,251.66999999999996,0
146,2018-10-10,MMM,0,0,0,0,209.19,43.0,0,251.66999999999996,345.72
147,2018-10-11,MMM,0,0,0,0,209.19,43.0,0,251.66999999999996,357.76
148,2018-10-12,MMM,0,0,0,0,209.19,43.0,0,251.66999999999996,488.91
149,2018-10-15,MMM,0,0,0,0,209.19,43.0,0,251.66999999999996,375.39
150,2018-10-16,MMM,0,0,0,1,201.79,43.0,318.2,251.66999999999996,0
151,2018-10-17,MMM,0,0,1,0,202.34,45.0,0,569.8699999999999,0
152,2018-10-18,MMM,0,0,0,1,200.12,45.0,99.9,569.8699999999999,0
153,2018-10-19,MMM,0,0,1,0,201.25,45.0,0,669.7699999999999,0
154,2018-10-22,MMM,0,0,0,0,201.25,45.0,0,669.7699999999999,560.25
