,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Buy/Sell Price,Quantity,PNL,Cumulative PNL,Latent PNL
0,2018-03-14,AOS,0,0,0,0,0,0,0,False,0
1,2018-03-15,AOS,0,0,0,0,0,0,0,0,0
2,2018-03-16,AOS,0,0,0,0,0,0,0,0,0
3,2018-03-19,AOS,0,0,0,0,0,0,0,0,0
4,2018-03-20,AOS,0,0,0,0,0,0,0,0,0
5,2018-03-21,AOS,0,0,1,0,65.56,113.0,0,0,0
6,2018-03-22,AOS,0,0,0,0,65.56,113.0,0,0,129.95
7,2018-03-23,AOS,0,0,0,1,63.55,113.0,227.13,0,0
8,2018-03-26,AOS,0,0,1,0,64.48,115.0,0,227.13,0
9,2018-03-27,AOS,0,0,0,0,64.48,115.0,0,227.13,235.75
10,2018-03-28,AOS,0,0,0,1,63.0,115.0,170.2,227.13,0
11,2018-03-29,AOS,0,0,1,0,63.45,117.0,0,397.33,0
12,2018-04-02,AOS,0,0,0,1,61.91,117.0,180.18,397.33,0
13,2018-04-03,AOS,0,0,0,0,0,0,0,577.51,0
14,2018-04-04,AOS,1,0,0,0,64.81,114.0,0,577.51,0
15,2018-04-05,AOS,0,0,0,0,64.81,114.0,0,577.51,-53.58
16,2018-04-06,AOS,0,0,0,0,64.81,114.0,0,577.51,-120.84
17,2018-04-09,AOS,0,0,0,0,64.81,114.0,0,577.51,-112.86
18,2018-04-10,AOS,0,1,0,0,63.99,114.0,-93.48,577.51,0
19,2018-04-11,AOS,0,0,0,0,0,0,0,484.03,0
20,2018-04-12,AOS,0,0,1,0,64.52,115.0,0,484.03,0
21,2018-04-13,AOS,0,0,0,0,64.52,115.0,0,484.03,5.75
22,2018-04-16,AOS,0,0,0,0,64.52,115.0,0,484.03,-78.2
23,2018-04-17,AOS,0,0,0,0,64.52,115.0,0,484.03,-133.4
24,2018-04-18,AOS,0,0,0,0,64.52,115.0,0,484.03,-142.6
25,2018-04-19,AOS,0,0,0,1,65.53,115.0,-116.15,484.03,0
26,2018-04-20,AOS,0,0,0,0,0,0,0,367.88,0
27,2018-04-23,AOS,0,0,1,0,65.16,114.0,0,367.88,0
28,2018-04-24,AOS,0,0,0,0,65.16,114.0,0,367.88,189.24
29,2018-04-25,AOS,0,0,0,0,65.16,114.0,0,367.88,412.68
30,2018-04-26,AOS,0,0,0,0,65.16,114.0,0,367.88,294.12
31,2018-04-27,AOS,0,0,0,0,65.16,114.0,0,367.88,297.54
32,2018-04-30,AOS,0,0,0,1,61.25,114.0,445.74,367.88,0
33,2018-05-01,AOS,1,0,0,0,61.35,121.0,0,813.62,0
34,2018-05-02,AOS,0,0,0,0,61.35,121.0,0,813.62,-102.85
35,2018-05-03,AOS,0,0,0,0,61.35,121.0,0,813.62,-88.33
36,2018-05-04,AOS,0,0,0,0,61.35,121.0,0,813.62,140.36
37,2018-05-07,AOS,0,0,0,0,61.35,121.0,0,813.62,159.72
38,2018-05-08,AOS,0,0,0,0,61.35,121.0,0,813.62,231.11
39,2018-05-09,AOS,0,0,0,0,61.35,121.0,0,813.62,258.94
40,2018-05-10,AOS,0,0,0,0,61.35,121.0,0,813.62,331.54
41,2018-05-11,AOS,0,0,0,0,61.35,121.0,0,813.62,332.75
42,2018-05-14,AOS,0,0,0,0,61.35,121.0,0,813.62,235.95
43,2018-05-15,AOS,0,0,0,0,61.35,121.0,0,813.62,210.54
44,2018-05-16,AOS,0,0,0,0,61.35,121.0,0,813.62,208.12
45,2018-05-17,AOS,0,0,0,0,61.35,121.0,0,813.62,228.69
46,2018-05-18,AOS,0,0,0,0,61.35,121.0,0,813.62,336.38
47,2018-05-21,AOS,0,0,0,0,61.35,121.0,0,813.62,398.09
48,2018-05-22,AOS,0,0,0,0,61.35,121.0,0,813.62,257.73
49,2018-05-23,AOS,0,1,0,0,63.88,121.0,306.13,813.62,0
50,2018-05-24,AOS,0,0,0,0,0,0,0,1119.75,0
51,2018-05-25,AOS,0,0,0,0,0,0,0,1119.75,0
52,2018-05-29,AOS,0,0,0,0,0,0,0,1119.75,0
53,2018-05-30,AOS,0,0,0,0,0,0,0,1119.75,0
54,2018-05-31,AOS,0,0,0,0,0,0,0,1119.75,0
55,2018-06-01,AOS,0,0,0,0,0,0,0,1119.75,0
56,2018-06-04,AOS,0,0,0,0,0,0,0,1119.75,0
57,2018-06-05,AOS,0,0,0,0,0,0,0,1119.75,0
58,2018-06-06,AOS,0,0,0,0,0,0,0,1119.75,0
59,2018-06-07,AOS,0,0,0,0,0,0,0,1119.75,0
60,2018-06-08,AOS,0,0,0,0,0,0,0,1119.75,0
61,2018-06-11,AOS,0,0,0,0,0,0,0,1119.75,0
62,2018-06-12,AOS,0,0,0,0,0,0,0,1119.75,0
63,2018-06-13,AOS,0,0,0,0,0,0,0,1119.75,0
64,2018-06-14,AOS,0,0,0,0,0,0,0,1119.75,0
65,2018-06-15,AOS,0,0,0,0,0,0,0,1119.75,0
66,2018-06-18,AOS,0,0,0,0,0,0,0,1119.75,0
67,2018-06-19,AOS,0,0,0,0,0,0,0,1119.75,0
68,2018-06-20,AOS,0,0,0,0,0,0,0,1119.75,0
69,2018-06-21,AOS,1,0,0,0,60.53,122.0,0,1119.75,0
70,2018-06-22,AOS,0,0,0,0,60.53,122.0,0,1119.75,-87.84
71,2018-06-25,AOS,0,0,0,0,60.53,122.0,0,1119.75,-154.94
72,2018-06-26,AOS,0,0,0,0,60.53,122.0,0,1119.75,-106.14
73,2018-06-27,AOS,0,0,0,0,60.53,122.0,0,1119.75,-175.68
74,2018-06-28,AOS,0,0,0,0,60.53,122.0,0,1119.75,-203.74
75,2018-06-29,AOS,0,0,0,0,60.53,122.0,0,1119.75,-230.58
76,2018-07-02,AOS,0,1,0,0,59.51,122.0,-124.44,1119.75,0
77,2018-07-03,AOS,1,0,0,0,59.05,126.0,0,995.31,0
78,2018-07-05,AOS,0,0,0,0,59.05,126.0,0,995.31,107.1
79,2018-07-06,AOS,0,0,0,0,59.05,126.0,0,995.31,154.98
80,2018-07-09,AOS,0,0,0,0,59.05,126.0,0,995.31,282.24
81,2018-07-10,AOS,0,1,0,0,58.38,126.0,-84.42,995.31,0
82,2018-07-11,AOS,1,0,0,0,59.19,125.0,0,910.89,0
83,2018-07-12,AOS,0,0,0,0,59.19,125.0,0,910.89,90.0
84,2018-07-13,AOS,0,0,0,0,59.19,125.0,0,910.89,107.5
85,2018-07-16,AOS,0,0,0,0,59.19,125.0,0,910.89,22.5
86,2018-07-17,AOS,0,0,0,0,59.19,125.0,0,910.89,106.25
87,2018-07-18,AOS,0,0,0,0,59.19,125.0,0,910.89,31.25
88,2018-07-19,AOS,0,0,0,0,59.19,125.0,0,910.89,85.0
89,2018-07-20,AOS,0,1,0,0,60.0,125.0,101.25,910.89,0
90,2018-07-23,AOS,0,0,0,0,0,0,0,1012.14,0
91,2018-07-24,AOS,0,0,1,0,58.74,126.0,0,1012.14,0
92,2018-07-25,AOS,0,0,0,1,58.46,126.0,35.28,1012.14,0
93,2018-07-26,AOS,1,0,0,0,59.57,124.0,0,1047.42,0
94,2018-07-27,AOS,0,0,0,0,59.57,124.0,0,1047.42,-48.36
