,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-12-23,499529.03,499600.48,71.45,0.01,71.45,0.01
1,2019-12-24,499600.48,499600.48,0.0,0.0,71.45,0.01
2,2019-12-25,499600.48,499600.48,0.0,0.0,71.45,0.01
3,2019-12-26,499600.48,499600.48,0.0,0.0,71.45,0.01
4,2019-12-27,499600.48,499657.64,57.16,0.01,128.61,0.03
5,2019-12-30,499657.64,499657.64,0.0,0.0,128.61,0.03
6,2019-12-31,499657.64,499458.25,-199.39,-0.04,-70.78,-0.01
7,2020-01-02,499458.25,499739.29,281.04,0.06,210.26,0.04
8,2020-01-03,499739.29,499388.5,-350.79,-0.07,-140.53,-0.03
9,2020-01-06,499388.5,499395.65,7.15,0.0,-133.38,-0.03
10,2020-01-07,499395.65,499164.86,-230.79,-0.05,-364.17,-0.07
11,2020-01-08,170989.64,170448.35,-541.29,-0.32,-905.46,-0.18
12,2020-01-09,170448.35,169533.93,-914.42,-0.54,-1819.88,-0.36
13,2020-01-10,169533.93,169696.51,162.58,0.1,-1657.3,-0.33
14,2020-01-08,499164.86,499015.05,-149.81,-0.03,-1807.11,-0.36
15,2020-01-09,499015.05,498785.39,-229.66,-0.05,-2036.77,-0.41
16,2020-01-10,498785.39,498725.46,-59.93,-0.01,-2096.7,-0.42
