,Date,Ticker,Conf Up,Conf Dwn,Green,Red,Green_Close,Red_Close,Price,Open.S,% up,% down
0,2020-01-21,BDX,0.0,99.52791595458984,0,1,1,0,277.52999877929693,,92.0,100.0
1,2020-01-21,CBRE,1.1221216482226737e-05,99.9397964477539,0,1,1,0,61.099998474121094,,96.43,92.68
2,2020-01-21,CPRI,9.468387603759766,72.29149627685547,999,999,999,999,36.66999816894531,,92.86,88.0
3,2020-01-21,CVX,0.029011879116296768,0.054887931793928146,999,999,999,999,113.30999755859376,,92.31,88.71
4,2020-01-21,EMR,0.0,100.0,0,1,1,0,77.25,,100.0,92.59
5,2020-01-21,ETN,0.0018859314732253551,1.2954816818237305,999,999,999,999,94.5199966430664,,90.74,94.92
6,2020-01-21,FFIV,99.39859771728516,0.001455335645005107,1,0,0,1,135.03999328613278,,93.18,89.19
7,2020-01-21,GILD,100.0,0.0,1,0,0,1,62.63000106811523,,95.76,94.12
8,2020-01-21,HBAN,0.0,100.0,0,1,1,0,14.609999656677244,,100.0,97.69
9,2020-01-21,HSIC,0.0,99.99998474121094,0,1,1,0,69.61000061035156,,93.33,95.83
10,2020-01-21,JNPR,6.389084319380345e-06,12.758721351623535,999,999,999,999,24.520000457763672,,87.5,94.01
11,2020-01-21,LEG,0.0,100.0,0,1,1,0,51.13999938964844,,100.0,89.12
12,2020-01-21,MMM,0.0,99.99815368652344,0,1,1,0,179.38999938964844,,88.89,90.32
13,2020-01-21,NEM,0.0,100.0,0,1,1,0,43.709999084472656,,93.75,100.0
14,2020-01-21,NTAP,0.3071848750114441,82.27198791503906,0,0,1,0,60.56000137329102,,98.94,94.62
15,2020-01-21,PSX,17.796648025512695,0.12486005574464798,999,999,999,999,102.33999633789062,,88.0,100.0
16,2020-01-21,RF,99.99984741210938,0.0,1,0,0,1,16.25,,96.77,88.81
17,2020-01-21,SNA,0.0,100.0,0,1,1,0,168.80999755859375,,100.0,91.18
18,2020-01-21,TPR,2.269893047923688e-05,99.98076629638672,0,1,1,0,28.36000061035156,,93.33,98.21
19,2020-01-21,UPS,0.0,100.0,0,1,1,0,117.38999938964844,,89.58,92.77
20,2020-01-21,WAT,0.0,100.0,0,1,1,0,243.6699981689453,,100.0,94.55
21,2020-01-21,WRK,0.0,100.0,0,1,1,0,41.599998474121094,,90.0,96.43
22,2020-01-21,WU,0.0,99.9399185180664,0,1,1,0,27.31999969482422,,97.06,99.06
23,2020-01-21,ZION,0.00019523387891240418,99.99588775634766,0,1,1,0,49.9000015258789,,100.0,100.0
24,2020-01-22,AWK,0.0,99.9998779296875,0,1,1,0,134.05000305175778,,100.0,87.5
25,2020-01-22,CBRE,3.9638514863327146e-05,99.54864501953125,0,1,1,0,60.90999984741211,,96.55,92.5
26,2020-01-22,CPRI,96.15690612792969,2.0078659057617188,1,0,0,1,36.41999816894531,,93.02,88.0
27,2020-01-22,CVX,0.1366315633058548,0.0037001343443989754,999,999,999,999,112.9000015258789,,92.31,88.71
28,2020-01-22,EMR,0.0,99.99998474121094,0,1,1,0,77.0199966430664,,100.0,92.68
29,2020-01-22,FFIV,99.99991607666016,0.0,1,0,0,1,132.27999877929688,,93.33,89.19
30,2020-01-22,GILD,100.0,0.0,1,0,0,1,63.4000015258789,,95.8,94.12
31,2020-01-22,HBAN,0.0,99.99998474121094,0,1,1,0,14.729999542236328,,100.0,97.7
32,2020-01-22,HSIC,0.0,100.0,0,1,1,0,70.73999786376953,,93.33,95.92
33,2020-01-22,JNPR,0.0,99.99669647216797,0,1,1,0,24.420000076293945,,87.5,94.05
34,2020-01-22,LEG,0.0,100.0,0,1,1,0,51.43999862670898,,100.0,89.19
35,2020-01-22,MMM,0.0,99.99894714355469,0,1,1,0,178.02999877929688,,88.89,90.48
36,2020-01-22,NEM,0.0,100.0,0,1,1,0,43.77999877929688,,94.12,100.0
37,2020-01-22,NTAP,0.58726966381073,98.93868255615234,0,1,1,0,60.47000122070313,,98.94,94.68
38,2020-01-22,PSX,14.806435585021973,0.007152445148676634,999,999,999,999,101.86000061035156,,88.0,100.0
39,2020-01-22,RF,99.99998474121094,0.0,1,0,0,1,16.219999313354492,,96.83,88.81
40,2020-01-22,SNA,0.0,100.0,0,1,1,0,167.64999389648438,,100.0,91.23
41,2020-01-22,TPR,0.001582503318786621,96.17463684082031,0,0,1,0,27.649999618530273,,93.33,98.25
42,2020-01-22,UPS,0.0,100.0,0,1,1,0,117.26000213623048,,89.58,92.86
43,2020-01-22,WAT,0.0,100.0,0,1,1,0,244.08999633789062,,100.0,94.64
44,2020-01-22,WRK,0.0,100.0,0,1,1,0,41.65999984741211,,90.0,96.45
45,2020-01-22,WU,0.0,99.99858093261719,0,1,1,0,27.57999992370605,,97.06,99.07
46,2020-01-22,ZION,0.017014149576425552,98.81790924072266,0,1,1,0,47.84000015258789,,100.0,100.0
