iter	RMSE
0	35.41947528
1	34.40876201
2	33.4253921
3	32.4817674
4	31.53536604
5	30.62033805
6	29.75711574
7	28.891897
8	28.06089702
9	27.26576255
10	26.50534637
11	25.77400912
12	25.06007165
13	24.33968785
14	23.64162418
15	22.96130305
16	22.29690056
17	21.65734299
18	21.03888579
19	20.44348183
20	19.85279454
21	19.29778274
22	18.74108455
23	18.22841453
24	17.7029449
25	17.19874897
26	16.71272741
27	16.24302163
28	15.77457598
29	15.33617804
30	14.89946745
31	14.47016232
32	14.05371771
33	13.66246809
34	13.27940563
35	12.90055588
36	12.5419245
37	12.19123273
38	11.84946824
39	11.52572765
40	11.19879565
41	10.88595165
42	10.57181588
43	10.28471259
44	9.986299405
45	9.708294295
46	9.437276165
47	9.171128252
48	8.915788611
49	8.674444937
50	8.437596043
51	8.20625589
52	7.980862645
53	7.75734872
54	7.538828427
55	7.325663051
56	7.121209871
57	6.921717147
58	6.731209971
59	6.547702264
60	6.368417738
61	6.194562851
62	6.022358127
63	5.855109204
64	5.694790581
65	5.54330222
66	5.39022075
67	5.247591704
68	5.102828268
69	4.967980257
70	4.83680878
71	4.710289168
72	4.583224492
73	4.463044714
74	4.345599163
75	4.230577039
76	4.12061686
77	4.014259413
78	3.908527594
79	3.811471445
80	3.716124489
81	3.622391131
82	3.531595476
83	3.441713314
84	3.355578207
85	3.270838642
86	3.191060824
87	3.112597605
88	3.036441863
89	2.965345818
90	2.895959609
91	2.828874588
92	2.763529168
93	2.697750832
94	2.635045645
95	2.575070914
96	2.518483876
97	2.462364759
98	2.40911043
99	2.356898152
100	2.308039338
101	2.259572241
102	2.211976558
103	2.167523922
104	2.123759452
105	2.082871107
106	2.042858971
107	2.006424149
108	1.969482294
109	1.93342364
110	1.899051424
111	1.8664122
112	1.834894495
113	1.804439114
114	1.775820559
115	1.747602899
116	1.721086409
117	1.695232298
118	1.669740741
119	1.644645272
120	1.62181855
121	1.600384894
122	1.579525278
123	1.559385548
124	1.54012024
125	1.521685507
126	1.503592363
127	1.486972699
128	1.471284223
129	1.456055324
130	1.441245828
131	1.42699611
132	1.413673208
133	1.401003825
134	1.387931538
135	1.376483997
136	1.365428401
137	1.354531275
138	1.34369628
139	1.333677722
140	1.323996841
141	1.315267528
142	1.306100762
143	1.297068194
144	1.288901812
145	1.281763791
146	1.274686616
147	1.267715344
148	1.260844832
149	1.253638384
150	1.247204221
151	1.241058394
152	1.235457343
153	1.229547333
154	1.225054409
155	1.2200119
156	1.215321393
157	1.210897241
158	1.206636353
159	1.201983759
160	1.197968087
161	1.193717901
162	1.18949471
163	1.186353631
164	1.182456199
165	1.179425907
166	1.176008714
167	1.173623402
168	1.17142089
169	1.16894048
170	1.166574628
171	1.164718451
172	1.161717077
173	1.159662215
174	1.157426552
175	1.155365085
176	1.153363667
177	1.150902742
178	1.149167236
179	1.14676705
180	1.145124895
181	1.143228111
182	1.141198674
183	1.138946252
184	1.137621204
185	1.135805802
