,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
23,2020-02-21,XOM,1,0,0,1,59.13000106811523
47,2020-02-21,NTAP,1,0,0,1,52.0
59,2020-02-21,RL,0,1,1,0,117.45999908447266
68,2020-02-21,OMC,0,1,1,0,78.2699966430664
71,2020-02-21,IT,0,1,1,0,155.4600067138672
90,2020-02-21,WRK,0,1,1,0,40.849998474121094
106,2020-02-21,MMM,0,1,1,0,156.92999267578125
123,2020-02-21,ZION,0,1,1,0,45.43000030517578
152,2020-02-21,IRM,0,1,1,0,34.450000762939446
155,2020-02-21,EMR,0,1,1,0,72.08999633789062
171,2020-02-21,PSX,0,1,1,0,89.25
175,2020-02-21,UPS,0,1,1,0,102.94000244140624
182,2020-02-21,RF,1,0,0,1,16.329999923706055
196,2020-02-21,DRI,0,1,0,0,121.0999984741211
219,2020-02-21,JNPR,0,1,1,0,24.13999938964844
236,2020-02-21,LEG,0,1,1,0,44.650001525878906
250,2020-02-21,HBAN,0,1,1,0,13.90999984741211
280,2020-02-21,CVX,0,1,1,0,109.01000213623048
292,2020-02-21,MS,0,1,1,0,52.41999816894531
293,2020-02-21,GILD,0,1,1,0,69.69999694824219
