iter	Logloss
0	0.6876568688
1	0.6823499845
2	0.6771483165
3	0.6720460044
4	0.6672338385
5	0.6624491724
6	0.6577222447
7	0.6531038862
8	0.6484756437
9	0.6439355317
10	0.6397317378
11	0.6355238661
12	0.631564737
13	0.6274906205
14	0.6236908805
15	0.6199024676
16	0.6160260687
17	0.6125702898
18	0.6091426255
19	0.6057911066
20	0.602521812
21	0.5993815704
22	0.5963041113
23	0.5932645678
24	0.5902330237
25	0.5873402617
26	0.5845406292
27	0.581882146
28	0.5790917516
29	0.5764475585
30	0.5739727912
31	0.5715195479
32	0.5690801598
33	0.5666682985
34	0.5644477429
35	0.5622836424
36	0.5601395786
37	0.5576690204
38	0.555641156
39	0.5537054995
40	0.5514505861
41	0.5495417508
42	0.5477234602
43	0.5458694055
44	0.5440979378
45	0.5424878004
46	0.5408777905
47	0.5392776144
48	0.5376423125
49	0.5359700949
50	0.5345294544
51	0.533050672
52	0.5315737825
53	0.5302339816
54	0.528899446
55	0.5276078281
56	0.5263635943
57	0.5250948716
58	0.5238127726
59	0.5225725609
60	0.5213522481
61	0.5201731109
62	0.518876652
63	0.5178984918
64	0.5167603437
65	0.5156981942
66	0.5144045177
67	0.5134033663
68	0.5123797647
69	0.5114490849
70	0.5105650526
71	0.5096286595
72	0.5087160721
73	0.5075368028
74	0.5067294095
75	0.5058939805
76	0.5050466857
77	0.5041935419
78	0.5032914989
79	0.5025475407
80	0.5017429719
81	0.5009009366
82	0.5002898887
83	0.4995034035
84	0.4988942921
85	0.4981956564
86	0.4973746351
87	0.4966091899
88	0.4959158336
89	0.4952966826
90	0.4946776051
91	0.4940301266
92	0.4933791606
93	0.492695898
94	0.4921113749
95	0.4915445321
96	0.4910879932
97	0.4905261159
98	0.4900586846
99	0.4895491645
100	0.48906517
101	0.4885216401
102	0.487962944
103	0.4873993387
104	0.4869086846
105	0.4865008779
106	0.4860290218
107	0.4854963428
108	0.484981059
109	0.4845821712
110	0.4841350243
111	0.4836857089
112	0.4832543389
113	0.4827285939
114	0.482271596
115	0.4818854031
116	0.4813047483
117	0.4810249411
118	0.480614744
119	0.4801395054
120	0.4798550541
121	0.4795031817
122	0.4791317075
123	0.4785507796
124	0.4780519869
125	0.4777035831
126	0.4773794568
127	0.4771464564
128	0.4768048669
129	0.4763135219
130	0.4759129362
131	0.4756257208
132	0.4751846475
133	0.4748315284
134	0.4745051512
135	0.4741703917
136	0.4736885976
137	0.4733945452
138	0.4729843065
139	0.4727587478
140	0.4725464956
141	0.4721739613
142	0.4717603736
143	0.4714111432
144	0.4710892943
145	0.4707473751
146	0.4704133442
147	0.4701314603
148	0.4698633498
149	0.4696360781
150	0.4692328354
151	0.4689612616
152	0.4685200185
153	0.4683156205
154	0.4679934949
155	0.4678456042
156	0.4675748444
157	0.4672087353
158	0.4669518602
159	0.4666466215
160	0.4661071871
161	0.4659581696
162	0.4656076899
163	0.4653135968
164	0.4649424093
165	0.4647260655
166	0.4645323895
167	0.4643423208
168	0.4641746932
169	0.4638634423
170	0.463559958
171	0.4633037523
172	0.4629215185
173	0.4625554518
174	0.4622912842
175	0.4620639788
176	0.4618128056
177	0.4615693794
178	0.4611750976
179	0.4609590742
180	0.4606533192
181	0.4602646152
182	0.4599284826
183	0.4596738174
184	0.4593425582
185	0.459108451
186	0.4588581266
187	0.4585345259
188	0.4582713164
189	0.4581015462
190	0.4578679419
191	0.4575716399
192	0.4572646782
193	0.4569943266
194	0.4567560461
195	0.4565462958
196	0.4562933435
197	0.4560796964
198	0.4558793577
199	0.4556219622
200	0.4553284755
201	0.4550877216
202	0.4548546016
203	0.4544605493
204	0.4543458349
205	0.4540274356
206	0.4539389386
207	0.4537449286
208	0.4534667026
209	0.453276418
210	0.4531395238
211	0.4528710245
212	0.4525194545
213	0.452179674
214	0.4519659793
215	0.45165708
216	0.4514913975
217	0.451218	0.45218	0.4509650621
219	0.4508121562
220	0.4505495165
221	0.4503298481
222	0.4501388839
223	0.44224	0.449224	0.44225	0.449225	0.44226	0.449226	0.44227	0.448227	0.44228	0.448228	0.44229	0.448229	0.44230	0.448230	0.44231	0.448231	0.44232	0.447232	0.44233	0.447233	0.44234	0.447234	0.44235	0.44235	0.447236	0.44236	0.447237	0.44237	0.447238	0.44238	0.446239	0.44239	0.446240	0.44240	0.446241	0.4241	0.4463242	0.4242	0.4460243	0.4243	0.4457244	0.4244	0.4456245	0.4245	0.4454246	0.4246	0.4452247	0.4247	0.4450248	0.4248	0.4447249	0.4249	0.4444250	0.250	0.44415251	0.251	0.44392252	0.252	0.44380253	0.253	0.44353254	0.254	0.44336255	0.255	0.44309256	0256	0.4428638418
257	0.442729258	0258	0.44253259	0.259	0.44231260	0.260	0.44194261	0261	0.441775262	0262	0.441553263	0263	0.441354264	0264	0.441156265	0265	0.440986266	0266	0.440779267	0267	0.440524268	0268	0.440314269	0269	0.440069270	0270	0.439823271	0271	0.439655272	0272	0.439601273	0273	0.439307274	274	0.439182275	0275	0.4389877693
276	0.4388665541
277	0.4385791243
278	0.4384178748
279	0.4382397992
280	0.438113655
281	0.4378621846
282	0.4375112019
283	0.4373320561
284	0.4370576218
285	0.436859337
286	0.4366576848
287	0.4364401391
288	0.4362830592
289	0.4360756713
290	0.4357961734
291	0.4356364827
292	0.4354811983
