,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
0,2020-01-03,RL,0,1,1,0,118.16000366210938
3,2020-01-03,GWW,0,1,1,0,340.6600036621094
8,2020-01-03,CVX,0,1,1,0,121.01000213623047
15,2020-01-03,FBHS,0,1,1,0,65.38999938964844
20,2020-01-03,BXP,0,1,1,0,136.63999938964844
46,2020-01-03,LRCX,0,1,0,0,294.69000244140625
54,2020-01-03,LIN,1,0,0,1,205.25999450683594
61,2020-01-03,BKNG,0,1,1,0,2065.47998046875
65,2020-01-03,AOS,0,1,1,0,47.349998474121094
68,2020-01-03,SYF,0,1,1,0,35.689998626708984
81,2020-01-03,MO,0,1,1,0,49.630001068115234
90,2020-01-03,CXO,1,0,0,1,90.19999694824219
95,2020-01-03,UHS,1,0,0,1,141.97000122070312
107,2020-01-03,UPS,0,1,1,0,116.72000122070312
114,2020-01-03,BK,0,1,1,0,50.27000045776367
122,2020-01-03,STX,0,0,0,1,58.90999984741211
142,2020-01-03,NOC,0,1,1,0,375.010009765625
146,2020-01-03,PXD,1,0,0,1,153.35000610351562
147,2020-01-03,NDAQ,0,1,1,0,108.27999877929688
162,2020-01-03,MCK,0,1,0,0,136.72000122070312
168,2020-01-03,JEF,0,1,1,0,21.559999465942383
170,2020-01-03,IFF,0,1,1,0,126.3499984741211
180,2020-01-03,BA,0,1,1,0,332.760009765625
185,2020-01-03,EA,0,1,1,0,107.19999694824219
211,2020-01-03,HRB,0,1,1,0,23.459999084472656
237,2020-01-03,COTY,0,1,1,0,11.0600004196167
241,2020-01-03,XYL,0,0,0,1,80.31999969482422
247,2020-01-03,CAG,0,1,1,0,33.34000015258789
249,2020-01-03,F,0,1,1,0,9.210000038146973
295,2020-01-03,GS,0,1,1,0,231.5800018310547
296,2020-01-03,HP,0,1,1,0,45.849998474121094
302,2020-01-03,SJM,0,1,1,0,102.29000091552734
311,2020-01-03,MMM,0,1,1,0,178.4499969482422
318,2020-01-03,FCX,0,1,0,0,12.800000190734863
322,2020-01-03,CE,0,1,1,0,119.77999877929688
332,2020-01-03,HES,0,1,1,0,69.83999633789062
358,2020-01-03,RTN,0,1,1,0,227.80999755859375
374,2020-01-03,REGN,0,1,0,0,369.1600036621094
378,2020-01-03,HOG,0,1,1,0,36.279998779296875
379,2020-01-03,GD,0,1,1,0,180.17999267578125
381,2020-01-03,APA,0,1,1,0,25.690000534057617
382,2020-01-03,TXT,0,0,0,1,44.7400016784668
386,2020-01-03,SWKS,1,0,0,1,118.6500015258789
