"Symbol","ReportDate","Quantity"
"ABC","20191114","100"
"ABC","20191114","74"
"ABC","20191118","-74"
"ABC","20191118","-100"
"ADI","20191115","-132"
"ADI","20191118","132"
"AIG","20191118","200"
"AIG","20191118","200"
"AIG","20191118","200"
"AIG","20191118","64"
"ALXN","20191115","-100"
"ALXN","20191115","-42"
"ALXN","20191118","42"
"ALXN","20191118","100"
"AMZN","20191114","9"
"AMZN","20191115","-9"
"AMZN","20191119","8"
"ANET","20191118","100"
"ANET","20191118","100"
"ANET","20191118","91"
"APA","20191112","-100"
"APA","20191112","-200"
"APA","20191112","-400"
"APA","20191112","-500"
"APA","20191112","-200"
"APA","20191112","-132"
"APA","20191118","100"
"APA","20191118","200"
"APA","20191118","300"
"APA","20191118","100"
"APA","20191118","100"
"APA","20191118","200"
"APA","20191118","100"
"APA","20191118","100"
"APA","20191118","100"
"APA","20191118","100"
"APA","20191118","100"
"APA","20191118","32"
"ATO","20191112","100"
"ATO","20191112","100"
"ATO","20191112","100"
"ATO","20191112","38"
"ATO","20191118","-100"
"ATO","20191118","-100"
"ATO","20191118","-38"
"ATO","20191118","-100"
"BBY","20191114","100"
"BBY","20191114","99"
"BBY","20191118","-100"
"BBY","20191118","-99"
"BKNG","20191118","-18"
"BLK","20191113","-75"
"BLK","20191118","75"
"BLL","20191112","100"
"BLL","20191112","100"
"BLL","20191112","100"
"BLL","20191112","100"
"BLL","20191112","64"
"BLL","20191112","100"
"BLL","20191118","-100"
"BLL","20191118","-100"
"BLL","20191118","-100"
"BLL","20191118","-100"
"BLL","20191118","-100"
"BLL","20191118","-64"
"CAH","20191120","66"
"CAH","20191120","100"
"CAH","20191120","100"
"CAT","20191118","-100"
"CAT","20191118","-100"
"CAT","20191118","-47"
"CCL","20191127","-231"
"CCL","20191127","-100"
"CFG","20191112","-752"
"CFG","20191112","-100"
"CFG","20191112","-100"
"CFG","20191113","100"
"CFG","20191113","200"
"CFG","20191113","200"
"CFG","20191113","100"
"CFG","20191113","300"
"CFG","20191113","52"
"CHRW","20191114","-100"
"CHRW","20191114","-1"
"CHRW","20191114","-100"
"CHRW","20191118","100"
"CHRW","20191118","1"
"CHRW","20191118","100"
"CI","20191119","75"
"CMA","20191122","100"
"CMA","20191122","100"
"CMA","20191126","10"
"CMA","20191126","200"
"CNC","20191118","-100"
"CNC","20191118","-100"
"CNC","20191118","-100"
"CNC","20191118","-100"
"CNC","20191118","-96"
"CNC","20191118","-100"
"CNC","20191118","-100"
"CNC","20191118","-6"
"CNC","20191119","-100"
"CNC","20191119","-100"
"CNC","20191119","-52"
"CXO","20191118","100"
"CXO","20191118","100"
"CXO","20191118","100"
"CXO","20191118","100"
"CXO","20191118","100"
"CXO","20191118","10"
"DHI","20191113","-100"
"DHI","20191113","-300"
"DHI","20191113","-73"
"DHI","20191113","-200"
"DHI","20191118","100"
"DHI","20191118","300"
"DHI","20191118","100"
"DHI","20191118","173"
"DHI","20191119","-100"
"DHI","20191119","-100"
"DHI","20191119","-73"
"DHR","20191119","100"
"DHR","20191119","6"
"DISCA","20191115","100"
"DISCA","20191115","100"
"DISCA","20191115","100"
"DISCA","20191115","100"
"DISCA","20191115","99"
"DISCA","20191118","-99"
"DISCA","20191118","-100"
"DISCA","20191118","-300"
"DTE","20191114","100"
"DTE","20191114","22"
"DTE","20191118","-22"
"DTE","20191118","-100"
"DVN","20191114","-100"
"DVN","20191114","-300"
"DVN","20191114","-100"
"DVN","20191114","-94"
"DVN","20191114","-100"
"DVN","20191118","100"
"DVN","20191118","100"
"DVN","20191118","100"
"DVN","20191118","100"
"DVN","20191118","100"
"DVN","20191118","100"
"DVN","20191118","94"
"EBAY","20191113","300"
"EBAY","20191113","200"
"EBAY","20191113","100"
"EBAY","20191113","300"
"EBAY","20191113","100"
"EBAY","20191113","38"
"EBAY","20191118","-238"
"EBAY","20191118","-800"
"EL","20191118","200"
"EL","20191118","1"
"EOG","20191112","200"
"EOG","20191112","95"
"EOG","20191112","200"
"EQIX","20191112","68"
"EQIX","20191118","-68"
"ETN","20191112","-100"
"ETN","20191112","-198"
"ETN","20191112","-100"
"ETN","20191118","100"
"ETN","20191118","100"
"ETN","20191118","100"
"ETN","20191118","98"
"F","20191118","1100"
"F","20191118","634"
"F","20191118","1600"
"F","20191118","800"
"F","20191118","2700"
"F","20191118","900"
"FANG","20191113","-100"
"FANG","20191113","-100"
"FANG","20191113","-68"
"FANG","20191113","-100"
"FANG","20191113","-100"
"FANG","20191115","100"
"FANG","20191115","100"
"FANG","20191115","100"
"FANG","20191115","68"
"FANG","20191115","100"
"FBHS","20191115","100"
"FBHS","20191115","36"
"FBHS","20191115","100"
"FBHS","20191118","-36"
"FBHS","20191118","-200"
"FBHS","20191119","66"
"FBHS","20191119","68"
"FBHS","20191119","32"
"FBHS","20191119","68"
"FISV","20191120","-128"
"FITB","20191118","-600"
"FITB","20191118","-100"
"FITB","20191118","-497"
"FLS","20191114","100"
"FLS","20191114","100"
"FLS","20191114","9"
"FLS","20191114","100"
"FLS","20191118","-100"
"FLS","20191118","-100"
"FLS","20191118","-109"
"GL","20191115","-100"
"GL","20191115","-50"
"GL","20191118","50"
"GL","20191118","100"
"GOOG","20191113","28"
"GOOG","20191118","-28"
"HBI","20191121","100"
"HBI","20191121","100"
"HBI","20191121","200"
"HBI","20191121","100"
"HBI","20191121","200"
"HBI","20191121","100"
"HBI","20191121","83"
"HBI","20191121","100"
"HBI","20191122","-100"
"HBI","20191122","-100"
"HBI","20191122","-300"
"HBI","20191122","-300"
"HBI","20191122","-100"
"HBI","20191122","-100"
"HBI","20191122","-5"
"HSIC","20191113","300"
"HSIC","20191113","200"
"HSIC","20191113","36"
"HSIC","20191115","-100"
"HSIC","20191115","-100"
"HSIC","20191115","-100"
"HSIC","20191115","-136"
"HSIC","20191115","-100"
"HUM","20191114","-47"
"HUM","20191118","47"
"HUM","20191119","-45"
"IFF","20191118","-100"
"IFF","20191118","-100"
"IFF","20191118","-70"
"ILMN","20191118","100"
"ILMN","20191118","21"
"INTC","20191114","100"
"INTC","20191114","158"
"INTC","20191115","-158"
"INTC","20191115","-100"
"IT","20191112","-100"
"IT","20191112","-100"
"IT","20191112","-28"
"IT","20191118","100"
"IT","20191118","100"
