,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-11-11,513197.39,512429.25,-768.14,-0.15,-768.14,-0.15
1,2019-11-12,512429.25,510763.18,-1666.07,-0.33,-2434.21,-0.49
2,2019-11-13,510763.18,518763.56,8000.38,1.57,5566.17,1.12
3,2019-11-14,518763.56,522660.39,3896.83,0.75,9463.0,1.9
4,2019-11-15,522660.39,521443.48,-1216.91,-0.23,8246.09,1.65
5,2019-11-18,521443.48,528591.36,7147.88,1.37,15393.97,3.09
6,2019-11-19,528591.36,528509.49,-81.87,-0.02,15312.1,3.07
7,2019-11-20,528509.49,527853.2,-656.29,-0.12,14655.81,2.94
8,2019-11-21,527853.2,528398.99,545.79,0.1,15201.6,3.05
9,2019-11-22,528398.99,529207.29,808.3,0.15,16009.9,3.21
10,2019-11-25,529207.29,529944.38,737.09,0.14,16746.99,3.36
11,2019-11-26,529944.38,529226.57,-717.81,-0.14,16029.18,3.21
12,2019-11-27,529226.57,529695.01,468.44,0.09,16497.62,3.31
13,2019-11-28,529695.01,529695.13,0.12,0.0,16497.74,3.31
14,2019-11-29,529695.13,528090.74,-1604.39,-0.3,14893.35,2.99
15,2019-12-02,528090.74,527304.45,-786.29,-0.15,14107.06,2.83
16,2019-12-03,527304.45,524390.19,-2914.26,-0.55,11192.8,2.24
17,2019-12-04,524390.19,526442.7,2052.51,0.39,13245.31,2.66
18,2019-12-05,526442.7,525340.79,-1101.91,-0.21,12143.4,2.43
19,2019-12-06,525340.79,525764.14,423.35,0.08,12566.75,2.52
20,2019-12-09,525764.14,527071.4,1307.26,0.25,13874.01,2.78
21,2019-12-10,527071.4,525674.04,-1397.36,-0.27,12476.65,2.5
