"Symbol"
"BKNG"
"CAT"
"CNC"
"FITB"
"IFF"
"LEN"
"SEE"
"UNH"
"AIG"
"ANET"
"CXO"
"EL"
"EOG"
"F"
"ILMN"
"MAS"
"NTRS"
