"Date","Time","OpenBid","HighBid","LowBid","CloseBid","OpenAsk","HighAsk","LowAsk","CloseAsk","Total Ticks"
01-03-2010,22:00:00,1.48451,1.48466,1.48067,1.48289,1.48491,1.48513,1.48107,1.48334,5676
01-04-2010,02:00:00,1.48289,1.48319,1.48105,1.48147,1.48334,1.48365,1.48148,1.48197,5470
01-04-2010,06:00:00,1.48147,1.48803,1.48131,1.48739,1.48197,1.48834,1.4817,1.48778,10482
01-04-2010,10:00:00,1.48739,1.48886,1.48638,1.48674,1.48778,1.48922,1.48673,1.48711,7251
01-04-2010,14:00:00,1.48674,1.48679,1.48267,1.48344,1.48711,1.48716,1.48306,1.48381,10362
01-04-2010,18:00:00,1.48344,1.48433,1.48267,1.48388,1.48381,1.48476,1.48305,1.48453,4501
01-04-2010,22:00:00,1.48388,1.48467,1.48244,1.4827,1.48453,1.48507,1.48286,1.48319,4646
01-05-2010,02:00:00,1.4827,1.48489,1.48252,1.48461,1.48319,1.48508,1.48291,1.48498,5109
01-05-2010,06:00:00,1.48461,1.48634,1.48334,1.48409,1.48498,1.48667,1.48374,1.48451,10795
01-05-2010,10:00:00,1.48409,1.48619,1.48383,1.48599,1.48451,1.48655,1.48423,1.48636,8445
01-05-2010,14:00:00,1.48599,1.48737,1.48524,1.48544,1.48636,1.48774,1.48556,1.48584,11021
01-05-2010,18:00:00,1.48544,1.48682,1.48446,1.48468,1.48584,1.48713,1.48498,1.48542,5291
01-05-2010,22:00:00,1.48468,1.4852,1.48386,1.4839,1.48542,1.48563,1.48422,1.48428,3583
01-06-2010,02:00:00,1.4839,1.48559,1.48287,1.48475,1.48428,1.48598,1.48328,1.4852,4415
01-06-2010,06:00:00,1.48475,1.485,1.48192,1.48483,1.4852,1.48536,1.48233,1.48525,10142
01-06-2010,10:00:00,1.48483,1.48549,1.48149,1.48159,1.48525,1.48581,1.48186,1.48196,6044
01-06-2010,14:00:00,1.48159,1.48279,1.48038,1.48124,1.48196,1.48315,1.48076,1.48161,6952
01-06-2010,18:00:00,1.48124,1.48187,1.47907,1.48026,1.48161,1.48222,1.47946,1.48088,4857
01-06-2010,22:00:00,1.48026,1.48099,1.4762,1.48022,1.48088,1.48143,1.47686,1.4806,6473
01-07-2010,02:00:00,1.48022,1.48161,1.47909,1.47991,1.4806,1.48218,1.47957,1.48042,5862
01-07-2010,06:00:00,1.47991,1.48308,1.47922,1.48139,1.48042,1.48344,1.47965,1.48181,10147
01-07-2010,10:00:00,1.48139,1.48381,1.48078,1.48332,1.48181,1.48415,1.48116,1.48367,9860
