"Date","Time","OpenBid","HighBid","LowBid","CloseBid","OpenAsk","HighAsk","LowAsk","CloseAsk","Total Ticks"
01-03-2010,22:00:00,7.75292,7.75623,7.75242,7.75617,7.75478,7.75758,7.75478,7.75743,101
01-04-2010,02:00:00,7.75617,7.75737,7.75597,7.75707,7.75743,7.75888,7.75727,7.75833,129
01-04-2010,06:00:00,7.75707,7.75787,7.75677,7.75677,7.75833,7.75911,7.75803,7.75803,153
01-04-2010,10:00:00,7.75677,7.75703,7.75519,7.75529,7.75803,7.75833,7.75655,7.75655,100
01-04-2010,14:00:00,7.75529,7.75549,7.75452,7.75475,7.75655,7.75688,7.75577,7.75611,166
01-04-2010,18:00:00,7.75475,7.75521,7.7546,7.75502,7.75611,7.75668,7.75595,7.75668,100
01-04-2010,22:00:00,7.75502,7.75657,7.75442,7.75607,7.75668,7.75828,7.75638,7.75733,97
01-05-2010,02:00:00,7.75607,7.75618,7.75542,7.75577,7.75733,7.75742,7.75667,7.75703,81
01-05-2010,06:00:00,7.75577,7.75613,7.75538,7.75543,7.75703,7.75737,7.75662,7.75667,182
01-05-2010,10:00:00,7.75543,7.75659,7.75492,7.75649,7.75667,7.75785,7.75642,7.75785,218
01-05-2010,14:00:00,7.75649,7.75678,7.75552,7.75592,7.75785,7.75802,7.75687,7.75788,200
01-05-2010,18:00:00,7.75592,7.75692,7.75492,7.75492,7.75788,7.75838,7.75628,7.75758,55
01-05-2010,22:00:00,7.75492,7.75587,7.75492,7.75517,7.75758,7.75758,7.75653,7.75653,66
01-06-2010,02:00:00,7.75517,7.75565,7.75462,7.75559,7.75653,7.75689,7.75587,7.75685,120
01-06-2010,06:00:00,7.75559,7.75625,7.75467,7.75467,7.75685,7.75749,7.75593,7.75603,165
01-06-2010,10:00:00,7.75467,7.75527,7.75449,7.75513,7.75603,7.75651,7.75585,7.75637,139
01-06-2010,14:00:00,7.75513,7.75513,7.75363,7.75407,7.75637,7.75637,7.75487,7.75553,166
01-06-2010,18:00:00,7.75407,7.75427,7.7535,7.75352,7.75553,7.75553,7.75486,7.75508,100
01-06-2010,22:00:00,7.75352,7.75397,7.75332,7.75377,7.75508,7.75558,7.75475,7.75503,67
01-07-2010,02:00:00,7.75377,7.75435,7.75367,7.75423,7.75503,7.75559,7.75493,7.75547,119
01-07-2010,06:00:00,7.75423,7.75529,7.75423,7.75471,7.75547,7.75653,7.75547,7.75595,240
01-07-2010,10:00:00,7.75471,7.75503,7.75435,7.75445,7.75595,7.75627,7.75559,7.75569,106
01-07-2010,14:00:00,7.75445,7.75487,7.75377,7.75403,7.75569,7.75648,7.75517,7.75527,180
01-07-2010,18:00:00,7.75403,7.75517,7.75377,7.75482,7.75527,7.75658,7.75507,7.75648,57
01-07-2010,22:00:00,7.75482,7.75502,7.75392,7.75477,7.75648,7.75658,7.75603,7.75603,33
01-08-2010,02:00:00,7.75477,7.75535,7.75468,7.75503,7.75603,7.75659,7.75592,7.75627,44
01-08-2010,06:00:00,7.75503,7.75609,7.75477,7.75557,7.75627,7.75745,7.75603,7.75683,219
01-08-2010,10:00:00,7.75557,7.75567,7.75482,7.75502,7.75683,7.75708,7.75628,7.75638,176
01-08-2010,14:00:00,7.75502,7.75565,7.75457,7.75461,7.75638,7.75689,7.75581,7.75597,164
01-08-2010,18:00:00,7.75461,7.75542,7.75452,7.75517,7.75597,7.75758,7.75578,7.75663,87
01-10-2010,22:00:00,7.75517,7.75517,7.75402,7.75472,7.75663,7.75858,7.75578,7.75638,74
01-11-2010,02:00:00,7.75472,7.75472,7.75413,7.75447,7.75638,7.75638,7.75537,7.75573,64
01-11-2010,06:00:00,7.75447,7.75453,7.75389,7.75389,7.75573,7.75577,7.75513,7.75513,142
01-11-2010,10:00:00,7.75389,7.75445,7.75389,7.75435,7.75513,7.75569,7.75513,7.75559,119
01-11-2010,14:00:00,7.75435,7.75463,7.75402,7.75463,7.75559,7.75587,7.75537,7.75587,132
01-11-2010,18:00:00,7.75463,7.75477,7.75432,7.75452,7.75587,7.75618,7.75567,7.75618,52
01-11-2010,22:00:00,7.75452,7.75457,7.75397,7.75413,7.75618,7.75618,7.75533,7.75537,46
01-12-2010,02:00:00,7.75413,7.75425,7.75403,7.75413,7.75537,7.75549,7.75527,7.75537,60
01-12-2010,06:00:00,7.75413,7.75468,7.75413,7.75463,7.75537,7.75608,7.75537,7.75587,105
01-12-2010,10:00:00,7.75463,7.75467,7.75395,7.75437,7.75587,7.75608,7.75521,7.75563,153
01-12-2010,14:00:00,7.75437,7.75488,7.75431,7.75473,7.75563,7.75612,7.75555,7.75597,132
01-12-2010,18:00:00,7.75473,7.75483,7.75442,7.75442,7.75597,7.75618,7.75586,7.75618,66
01-12-2010,22:00:00,7.75442,7.75481,7.75402,7.75453,7.75618,7.75628,7.75551,7.75579,62
01-13-2010,02:00:00,7.75453,7.75489,7.75447,7.75453,7.75579,7.75615,7.75573,7.75589,89
01-13-2010,06:00:00,7.75453,7.75455,7.75403,7.75455,7.75589,7.75589,7.75527,7.75579,112
01-13-2010,10:00:00,7.75455,7.75457,7.75437,7.75457,7.75579,7.75598,7.75561,7.75598,82
01-13-2010,14:00:00,7.75457,7.75597,7.75447,7.75597,7.75598,7.75723,7.75573,7.75723,200
01-13-2010,18:00:00,7.75597,7.75677,7.75597,7.75602,7.75723,7.75818,7.75723,7.75778,115
01-13-2010,22:00:00,7.75602,7.75602,7.75467,7.75513,7.75778,7.75778,7.75623,7.75637,67
01-14-2010,02:00:00,7.75513,7.75623,7.75513,7.75607,7.75637,7.75758,7.75637,7.75743,100
01-14-2010,06:00:00,7.75607,7.75617,7.75573,7.75605,7.75743,7.75743,7.75697,7.75729,122
01-14-2010,10:00:00,7.75605,7.75692,7.75587,7.75627,7.75729,7.75828,7.75719,7.75753,193
01-14-2010,14:00:00,7.75627,7.75737,7.75623,7.75713,7.75753,7.75863,7.75747,7.75837,113
01-14-2010,18:00:00,7.75713,7.75737,7.75693,7.75722,7.75837,7.75888,7.75817,7.75888,35
01-14-2010,22:00:00,7.75722,7.75813,7.75592,7.75733,7.75888,7.75958,7.75773,7.75857,208
01-15-2010,02:00:00,7.75733,7.75793,7.75723,7.75777,7.75857,7.75917,7.75847,7.75903,57
01-15-2010,06:00:00,7.75777,7.75923,7.75773,7.75907,7.75903,7.76048,7.75897,7.76043,233
01-15-2010,10:00:00,7.75907,7.75923,7.75853,7.75897,7.76043,7.76047,7.75977,7.76033,217
01-15-2010,14:00:00,7.75897,7.75993,7.75742,7.75932,7.76033,7.76118,7.75883,7.76108,286
01-15-2010,18:00:00,7.75932,7.76005,7.75932,7.75989,7.76108,7.7614,7.76087,7.76135,84
01-17-2010,22:00:00,7.75989,7.76147,7.75812,7.76147,7.76135,7.76283,7.76043,7.76273,104
