,Date,Nbre Positions,Nbre Tickers,Nbre Long,Nbre Short,Exposition Long,Exposition Short,Exposition Totale,Latent PnL
0,2020-01-14,17,17,3,14,14999.52,-70161.36,-55161.84,-267.2400000000015
1,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
2,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
3,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
4,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
5,2020-01-16,20,20,3,17,30021.43,-235278.1,-205256.67,-1815.2400000000048
6,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
7,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
8,2020-01-16,40,20,6,34,60042.86,-470556.2,-410513.34,-3630.4800000000105
9,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
10,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
11,2020-01-16,41,20,6,35,60042.86,-485539.22,-425496.36,-3728.7600000000098
12,2020-01-21,25,25,2,23,40090.08,-334986.41000000003,-294896.33,-2263.2100000000064
13,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
14,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
15,2020-01-16,42,20,6,36,60042.86,-500522.2400000001,-440479.38000000006,-3827.040000000009
16,2020-01-21,27,25,2,25,40090.08,-359881.87000000005,-319791.79,-2091.5400000000072
17,2020-01-22,24,24,3,21,59771.40000000001,-414828.81,-355057.4100000001,-3251.8100000000068
18,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
19,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
20,2020-01-16,42,20,6,36,60042.86,-500522.2400000001,-440479.38000000006,-3827.040000000009
21,2020-01-21,28,25,2,26,40090.08,-364793.17,-324703.09,-2065.8900000000067
22,2020-01-22,26,24,3,23,59771.40000000001,-455217.57,-395446.17,-3133.1300000000074
23,2020-01-23,25,25,3,22,79452.72,-519047.96,-439595.24,-4099.490000000011
24,2020-01-14,18,17,4,14,19976.52,-70161.36,-50184.84,-183.9900000000016
25,2020-01-15,18,18,2,16,20045.04,-150198.27000000002,-130153.23,-697.1600000000043
26,2020-01-16,42,20,6,36,60042.86,-500522.2400000001,-440479.38000000006,-3827.040000000009
