,Compte,Type,conId,Ticker,Quantité,Average Cost
0,U3229419,Stock,6248722,JNPR,-224.0,23.3543973
1,U3229419,Stock,270018,HBAN,-317.0,13.67994605
2,U3229419,Stock,50530752,AWK,-37.0,134.0000784
3,U3229419,Stock,6248713,FFIV,18.0,122.4849782
4,U3229419,Stock,5021340,BXP,-39.0,143.97125895
5,U3229419,Stock,276329,ZION,-105.0,45.96113715
6,U3229419,Stock,3655640,HSIC,-72.0,70.20342765
7,U3229419,Stock,270188,HOLX,-93.0,53.52802045
8,U3229419,Stock,138438437,ALLE,-38.0,128.91089735
9,U3229419,Stock,40773257,WU,-178.0,27.633691
10,U3229419,Stock,12259,SNA,-34.0,164.5570622
11,U3229419,Stock,9081,LEG,-117.0,47.7603453
12,U3229419,Stock,10880,OXY,-140.0,39.69191645
13,U3229419,Stock,4886,BDX,-18.0,275.5886222
14,U3229419,Stock,9360,MAS,-100.0,49.228862
15,U3229419,Stock,273815,RF,-335.0,15.5645588
16,U3229419,Stock,49921110,NTAP,137.0,53.63736425
17,U3229419,Stock,95514904,CBRE,-81.0,61.07627035
18,U3229419,Stock,272942,PAYX,-56.0,88.1801982
19,U3229419,Stock,269753,GILD,-84.0,67.98656865
20,U3229419,Stock,198032496,WRK,-143.0,39.1320776
21,U3229419,Stock,10174,NEM,-118.0,42.36052965
22,U3229419,Stock,6842,EMR,-71.0,74.10426195
23,U3229419,Stock,5684,CVX,-52.0,107.95841505
