,Date,Open,High,Low,Close,Volume
0,2015-08-24,91.82,95.36,88.93,91.58,-1
1,2015-08-25,94.35,94.35,89.265,89.405,-1
2,2015-08-26,92.115,92.8,89.9,92.645,-1
3,2015-08-27,92.01,94.475,92.01,94.4,-1
4,2015-08-28,93.915,94.865,92.955,93.53,-1
5,2015-08-31,92.845,93.795,92.155,93.45,-1
6,2015-09-01,91.215,92.055,89.705,90.255,-1
7,2015-09-02,91.915,91.935,90.09,91.08,-1
8,2015-09-03,91.375,92.035,91.08,91.415,-1
9,2015-09-04,90.94,92.96,89.61,90.32,-1
10,2015-09-08,91.98,92.78,91.46,92.665,-1
11,2015-09-09,93.44,93.64,91.305,91.56,-1
12,2015-09-10,91.47,91.91,91.11,91.68,-1
13,2015-09-11,91.2,91.895,90.41,91.29,-1
14,2015-09-14,91.42,91.42,90.465,90.79,-1
15,2015-09-15,90.995,92.385,90.405,92.09,-1
16,2015-09-16,92.05,92.35,91.23,91.99,-1
17,2015-09-17,91.95,93.685,91.85,92.145,-1
18,2015-09-18,91.05,91.635,89.005,89.28,-1
19,2015-09-21,89.985,90.88,89.61,90.49,-1
20,2015-09-22,89.9,91.98,89.11,89.515,-1
21,2015-09-23,89.71,89.935,88.505,89.075,-1
22,2015-09-24,88.385,89.145,87.75,88.96,-1
23,2015-09-25,89.875,90.825,89.54,89.985,-1
24,2015-09-28,89.575,89.645,88.04,88.41,-1
25,2015-09-29,88.615,88.64,87.57,88.38,-1
26,2015-09-30,89.415,89.415,87.82,88.59,-1
27,2015-10-01,88.975,89.265,86.565,88.57,-1
28,2015-10-02,86.22,89.785,86.055,89.76,-1
29,2015-10-05,90.265,91.635,90.005,91.515,-1
30,2015-10-06,91.3,91.51,90.16,90.27,-1
31,2015-10-07,90.755,91.455,90.22,91.16,-1
32,2015-10-08,90.885,92.08,90.57,91.92,-1
33,2015-10-09,91.89,92.315,90.895,91.3,-1
34,2015-10-12,91.3,91.54,91.01,91.24,-1
35,2015-10-13,90.71,91.225,90.565,90.78,-1
36,2015-10-14,90.805,90.805,89.945,90.05,-1
37,2015-10-15,90.59,91.725,90.425,91.225,-1
38,2015-10-16,92.075,92.285,91.055,91.58,-1
39,2015-10-19,91.425,91.745,90.38,90.615,-1
40,2015-10-20,91.045,91.6,90.305,91.545,-1
41,2015-10-21,93.01,93.69,91.225,91.335,-1
42,2015-10-22,91.825,93.35,91.825,92.39,-1
43,2015-10-23,92.97,93.06,91.61,92.49,-1
44,2015-10-26,90.84,92.925,90.415,92.655,-1
45,2015-10-27,88.97,92.805,84.64,92.775,-1
46,2015-10-28,92.895,94.815,92.415,94.8,-1
47,2015-10-29,94.575,96.82,93.985,94.81,-1
48,2015-10-30,94.715,94.715,90.0,93.31,-1
49,2015-11-02,93.375,94.84,92.875,94.68,-1
50,2015-11-03,94.4,95.14,93.755,94.625,-1
51,2015-11-04,94.745,95.125,94.335,94.485,-1
52,2015-11-05,94.575,95.255,94.395,94.805,-1
53,2015-11-06,95.075,96.45,93.41,93.545,-1
54,2015-11-09,92.73,95.15,91.45,92.445,-1
55,2015-11-10,92.405,93.95,91.9,93.015,-1
56,2015-11-11,93.135,94.06,92.885,93.87,-1
57,2015-11-12,93.375,93.75,92.8,92.815,-1
58,2015-11-13,92.62,93.36,92.3,93.1,-1
59,2015-11-16,92.95,94.36,92.605,94.35,-1
60,2015-11-17,94.44,94.525,93.535,93.695,-1
61,2015-11-18,93.86,95.06,93.565,94.985,-1
62,2015-11-19,93.615,96.235,93.49,93.825,-1
63,2015-11-20,93.1,95.68,93.1,94.865,-1
64,2015-11-23,94.725,95.3,94.43,94.725,-1
65,2015-11-24,94.235,95.165,93.75,94.76,-1
66,2015-11-25,94.685,94.955,94.185,94.515,-1
67,2015-11-27,94.46,94.93,94.145,94.695,-1
68,2015-11-30,94.705,95.135,94.405,94.76,-1
69,2015-12-01,95.06,95.815,94.785,95.71,-1
70,2015-12-02,95.675,95.72,94.35,94.535,-1
71,2015-12-03,94.635,94.98,93.18,93.715,-1
72,2015-12-04,93.86,96.685,93.695,96.64,-1
73,2015-12-07,96.3,96.9,95.91,96.76,-1
74,2015-12-08,95.7,96.275,94.945,95.125,-1
75,2015-12-09,94.425,95.815,93.995,94.215,-1
76,2015-12-10,94.41,94.41,93.505,93.825,-1
77,2015-12-11,92.84,94.015,92.245,93.325,-1
78,2015-12-14,91.745,94.485,91.685,94.08,-1
79,2015-12-15,94.765,96.965,94.75,96.66,-1
80,2015-12-16,97.47,97.9,95.585,96.95,-1
81,2015-12-17,97.07,97.135,93.24,93.28,-1
82,2015-12-18,92.83,93.265,90.8,90.985,-1
83,2015-12-21,91.54,92.12,89.94,90.785,-1
84,2015-12-22,91.265,91.465,89.205,91.09,-1
85,2015-12-23,91.48,91.78,90.095,91.735,-1
86,2015-12-24,91.845,92.525,91.205,92.065,-1
87,2015-12-28,91.875,92.135,91.22,92.025,-1
88,2015-12-29,92.555,93.935,92.45,93.835,-1
89,2015-12-30,93.05,94.23,93.05,93.535,-1
90,2015-12-31,93.28,93.52,92.18,92.19,-1
91,2016-01-04,90.77,90.805,89.66,90.75,-1
92,2016-01-05,91.325,92.445,90.375,91.25,-1
93,2016-01-06,90.29,90.615,89.265,89.87,-1
94,2016-01-07,88.4,88.985,87.915,88.58,-1
95,2016-01-08,89.125,89.135,86.835,86.99,-1
96,2016-01-11,89.38,89.38,85.535,86.405,-1
97,2016-01-12,87.185,87.385,85.705,87.165,-1
98,2016-01-13,87.545,87.945,85.465,85.875,-1
99,2016-01-14,84.165,88.105,83.615,87.37,-1
100,2016-01-15,88.435,88.495,85.06,86.06,-1
101,2016-01-19,86.78,87.105,85.535,85.99,-1
102,2016-01-20,85.42,85.955,82.945,84.95,-1
103,2016-01-21,85.165,86.155,84.255,84.625,-1
104,2016-01-22,85.82,86.685,85.69,86.4,-1
105,2016-01-25,85.93,86.485,85.235,85.775,-1
106,2016-01-26,85.495,87.205,85.495,86.01,-1
107,2016-01-27,85.905,86.42,85.17,85.91,-1
108,2016-01-28,86.155,88.455,85.405,86.07,-1
109,2016-01-29,86.425,87.98,86.29,87.755,-1
110,2016-02-01,87.475,87.99,86.995,87.56,-1
111,2016-02-02,86.925,87.015,85.91,86.21,-1
112,2016-02-03,86.725,88.095,86.325,87.73,-1
113,2016-02-04,87.445,89.045,87.3,88.93,-1
114,2016-02-05,91.81,92.89,89.585,92.87,-1
115,2016-02-08,92.175,93.72,91.855,92.985,-1
116,2016-02-09,92.185,93.505,91.78,92.87,-1
117,2016-02-10,93.125,94.825,92.71,92.825,-1
118,2016-02-11,91.785,93.24,90.695,92.63,-1
119,2016-02-12,93.68,95.005,93.585,93.87,-1
120,2016-02-16,94.655,95.15,93.85,94.15,-1
121,2016-02-17,94.58,95.59,94.575,94.995,-1
122,2016-02-18,95.04,95.245,93.98,94.555,-1
123,2016-02-19,94.255,94.44,92.97,93.565,-1
124,2016-02-22,94.135,94.74,93.425,93.765,-1
125,2016-02-23,93.29,95.83,93.125,94.095,-1
126,2016-02-24,93.455,95.115,92.975,94.645,-1
127,2016-02-25,94.79,95.475,94.505,95.3,-1
128,2016-02-26,95.49,96.52,95.3,95.75,-1
129,2016-02-29,95.65,96.45,95.24,95.265,-1
130,2016-03-01,95.72,96.835,95.68,95.955,-1
131,2016-03-02,95.8,97.405,95.485,97.37,-1
132,2016-03-03,97.22,98.36,97.03,98.205,-1
133,2016-03-04,98.215,99.465,97.9,98.925,-1
134,2016-03-07,98.59,99.3,97.98,99.17,-1
135,2016-03-08,98.625,99.605,98.175,98.42,-1
136,2016-03-09,98.715,98.95,98.27,98.73,-1
137,2016-03-10,99.06,99.57,97.615,98.575,-1
138,2016-03-11,99.195,100.59,98.975,100.47,-1
139,2016-03-14,99.03,100.65,98.91,99.785,-1
140,2016-03-15,99.25,99.94,98.96,99.9,-1
141,2016-03-16,99.225,100.55,99.065,99.795,-1
142,2016-03-17,99.765,102.59,99.705,101.985,-1
143,2016-03-18,102.09,102.555,100.975,101.525,-1
144,2016-03-21,100.83,101.87,100.245,101.58,-1
145,2016-03-22,101.295,102.27,100.96,101.465,-1
146,2016-03-23,101.245,101.415,100.02,100.495,-1
147,2016-03-24,100.205,101.335,99.655,101.13,-1
148,2016-03-28,101.095,102.495,101.085,102.155,-1
149,2016-03-29,99.865,103.065,99.75,102.965,-1
150,2016-03-30,103.24,104.12,103.08,103.96,-1
151,2016-03-31,103.88,104.755,103.795,104.435,-1
152,2016-04-01,104.025,105.01,103.83,104.86,-1
153,2016-04-04,104.705,105.265,104.505,104.88,-1
154,2016-04-05,102.3,104.245,101.855,101.935,-1
155,2016-04-06,101.845,102.135,100.995,102.095,-1
156,2016-04-07,101.47,102.735,100.67,101.04,-1
157,2016-04-08,102.09,102.345,101.04,101.32,-1
158,2016-04-11,101.565,102.565,101.05,101.485,-1
159,2016-04-12,101.54,102.54,101.435,102.495,-1
160,2016-04-13,102.82,103.79,102.545,103.75,-1
161,2016-04-14,103.615,104.4,103.465,103.875,-1
162,2016-04-15,102.035,104.39,101.76,104.285,-1
163,2016-04-18,104.285,107.15,103.775,105.655,-1
164,2016-04-19,105.715,106.185,105.12,105.21,-1
165,2016-04-20,105.31,105.515,103.93,104.435,-1
166,2016-04-21,104.315,104.68,103.18,103.2,-1
167,2016-04-22,103.085,103.995,102.975,103.235,-1
168,2016-04-25,102.91,103.515,102.26,103.465,-1
