,Date,Open,High,Low,Close,Volume
0,2015-08-24,64.08,71.06,60.12,68.365,-1
1,2015-08-25,73.08,73.08,66.675,66.88,-1
2,2015-08-26,70.945,70.98,67.905,70.725,-1
3,2015-08-27,71.96,72.485,70.79,72.445,-1
4,2015-08-28,71.88,72.67,71.61,72.445,-1
5,2015-08-31,71.94,72.09,70.81,71.285,-1
6,2015-09-01,70.055,70.4,68.505,69.035,-1
7,2015-09-02,69.935,69.99,68.7,69.615,-1
8,2015-09-03,70.425,71.085,69.99,70.37,-1
9,2015-09-04,69.295,69.915,68.64,69.15,-1
10,2015-09-08,70.63,70.975,69.54,70.535,-1
11,2015-09-09,70.73,71.375,69.425,69.575,-1
12,2015-09-10,69.64,70.655,69.555,70.195,-1
13,2015-09-11,69.86,70.805,69.455,70.75,-1
14,2015-09-14,70.885,70.89,69.615,69.98,-1
15,2015-09-15,70.305,70.745,69.515,70.505,-1
16,2015-09-16,70.405,71.105,70.05,70.96,-1
17,2015-09-17,71.325,72.31,70.535,70.975,-1
18,2015-09-18,69.97,70.81,69.72,69.79,-1
19,2015-09-21,70.705,71.325,70.24,70.8,-1
20,2015-09-22,69.935,70.395,69.305,70.225,-1
21,2015-09-23,70.12,71.15,69.885,70.975,-1
22,2015-09-24,70.38,70.605,69.635,70.25,-1
23,2015-09-25,71.265,71.46,70.2,70.685,-1
24,2015-09-28,70.145,70.305,67.035,67.26,-1
25,2015-09-29,67.52,68.7,67.215,68.52,-1
26,2015-09-30,69.25,69.64,68.24,69.395,-1
27,2015-10-01,70.105,70.77,68.975,69.98,-1
28,2015-10-02,68.87,70.725,68.355,70.715,-1
29,2015-10-05,71.02,72.335,70.93,72.23,-1
30,2015-10-06,72.055,72.53,71.835,72.075,-1
31,2015-10-07,72.52,73.225,72.465,73.215,-1
32,2015-10-08,73.03,73.935,72.835,73.895,-1
33,2015-10-09,74.01,74.18,73.4,73.99,-1
34,2015-10-12,73.79,75.425,73.775,75.0,-1
35,2015-10-13,74.43,75.245,74.15,74.98,-1
36,2015-10-14,75.015,75.265,73.715,74.115,-1
37,2015-10-15,74.63,75.39,74.58,75.33,-1
38,2015-10-16,75.425,76.535,74.79,75.995,-1
39,2015-10-19,75.665,77.325,75.66,77.015,-1
40,2015-10-20,76.88,76.905,75.93,76.32,-1
41,2015-10-21,76.63,76.9,75.315,75.435,-1
42,2015-10-22,75.995,76.855,75.695,76.43,-1
43,2015-10-23,77.575,77.575,74.935,77.055,-1
44,2015-10-26,77.865,78.305,77.08,78.195,-1
45,2015-10-27,77.925,78.205,77.055,77.54,-1
46,2015-10-28,77.77,78.885,77.43,78.86,-1
47,2015-10-29,78.785,78.885,77.93,78.505,-1
48,2015-10-30,78.735,78.905,77.565,77.59,-1
49,2015-11-02,75.125,76.265,74.525,75.205,-1
50,2015-11-03,75.0,78.58,74.82,77.92,-1
51,2015-11-04,78.225,78.835,77.895,78.38,-1
52,2015-11-05,78.575,79.715,78.33,79.28,-1
53,2015-11-06,78.96,79.605,78.325,78.735,-1
54,2015-11-09,78.48,78.48,77.285,78.105,-1
55,2015-11-10,77.545,79.495,77.515,79.495,-1
56,2015-11-11,79.635,80.25,79.175,79.185,-1
57,2015-11-12,78.865,79.145,78.135,78.25,-1
58,2015-11-13,77.98,78.965,77.765,78.115,-1
59,2015-11-16,77.71,78.905,77.585,78.88,-1
60,2015-11-17,79.065,79.295,78.465,78.815,-1
61,2015-11-18,79.08,80.495,78.75,80.455,-1
62,2015-11-19,80.325,81.015,79.855,80.145,-1
63,2015-11-20,80.43,81.005,79.975,80.21,-1
64,2015-11-23,80.295,80.795,79.555,80.12,-1
65,2015-11-24,79.4,80.195,79.18,79.825,-1
66,2015-11-25,79.865,80.08,79.57,79.57,-1
67,2015-11-27,79.615,80.165,79.53,79.815,-1
68,2015-11-30,79.82,80.135,78.965,79.095,-1
69,2015-12-01,79.37,79.93,78.76,79.92,-1
70,2015-12-02,79.975,80.15,78.975,79.045,-1
71,2015-12-03,79.4,79.735,78.075,78.31,-1
72,2015-12-04,78.6,80.275,78.44,80.22,-1
73,2015-12-07,80.19,80.46,79.07,79.49,-1
74,2015-12-08,78.97,79.675,78.365,79.18,-1
75,2015-12-09,78.705,79.755,77.395,77.94,-1
76,2015-12-10,78.075,79.105,77.61,78.115,-1
77,2015-12-11,77.05,77.05,75.52,76.015,-1
78,2015-12-14,76.11,77.33,75.57,76.915,-1
79,2015-12-15,78.16,79.45,78.16,78.61,-1
80,2015-12-16,79.505,79.985,78.155,79.815,-1
81,2015-12-17,80.14,80.28,78.635,78.69,-1
82,2015-12-18,78.305,78.32,76.285,76.285,-1
83,2015-12-21,76.985,77.36,76.395,77.19,-1
84,2015-12-22,77.4,77.49,76.665,77.36,-1
85,2015-12-23,77.975,78.665,77.56,78.575,-1
86,2015-12-24,78.425,78.705,78.18,78.27,-1
87,2015-12-28,78.075,78.65,77.81,78.555,-1
88,2015-12-29,78.94,79.4,78.795,79.22,-1
89,2015-12-30,78.985,79.155,78.245,78.355,-1
90,2015-12-31,78.16,78.8,77.545,77.555,-1
91,2016-01-04,76.15,76.15,75.015,75.775,-1
92,2016-01-05,76.235,76.515,75.54,76.285,-1
93,2016-01-06,75.17,75.86,74.81,75.34,-1
94,2016-01-07,73.72,75.085,73.325,73.825,-1
95,2016-01-08,74.35,74.52,72.75,72.89,-1
96,2016-01-11,73.34,74.08,72.66,73.895,-1
97,2016-01-12,74.575,74.995,74.02,74.79,-1
98,2016-01-13,75.205,75.49,72.99,73.06,-1
99,2016-01-14,73.19,74.53,72.665,73.95,-1
100,2016-01-15,71.75,72.94,70.665,71.885,-1
101,2016-01-19,72.975,73.0,70.66,71.425,-1
102,2016-01-20,70.12,71.405,69.035,70.7,-1
103,2016-01-21,70.825,72.34,70.1,71.525,-1
104,2016-01-22,72.405,73.185,72.135,72.695,-1
105,2016-01-25,72.545,72.855,71.6,71.745,-1
106,2016-01-26,71.88,72.275,71.55,71.835,-1
107,2016-01-27,71.88,72.49,70.58,70.95,-1
108,2016-01-28,71.88,71.945,69.345,69.35,-1
109,2016-01-29,70.385,74.475,68.77,74.355,-1
110,2016-02-01,74.01,74.79,73.24,74.36,-1
111,2016-02-02,73.705,74.21,73.13,73.405,-1
112,2016-02-03,73.705,74.63,72.435,74.39,-1
113,2016-02-04,73.975,74.695,72.755,73.675,-1
