,Date,Open,High,Low,Close,Volume
0,2015-08-24,46.955,46.955,41.865,43.92,-1
1,2015-08-25,27.695,45.705,27.695,43.1,-1
2,2015-08-26,27.65,44.435,27.65,44.155,-1
3,2015-08-27,27.705,45.155,27.705,44.895,-1
4,2015-08-28,41.855,45.235,41.855,44.925,-1
5,2015-08-31,27.745,44.88,27.745,44.325,-1
6,2015-09-01,47.165,47.165,42.86,42.925,-1
7,2015-09-02,45.665,45.665,42.985,43.605,-1
8,2015-09-03,46.98,47.26,43.725,44.195,-1
9,2015-09-04,46.585,47.305,43.485,44.045,-1
10,2015-09-08,47.355,47.355,44.58,45.065,-1
11,2015-09-09,49.135,49.135,44.375,44.505,-1
12,2015-09-10,48.975,48.975,44.675,45.425,-1
13,2015-09-11,45.125,45.74,45.025,45.215,-1
14,2015-09-14,46.29,46.29,44.76,44.845,-1
15,2015-09-15,46.775,48.005,44.715,45.615,-1
16,2015-09-16,43.02,45.645,43.02,45.535,-1
17,2015-09-17,44.275,45.705,44.275,45.205,-1
18,2015-09-18,46.885,46.885,43.57,43.595,-1
19,2015-09-21,42.175,44.56,42.175,43.985,-1
20,2015-09-22,46.135,46.135,42.515,42.685,-1
21,2015-09-23,46.31,46.31,42.215,42.375,-1
22,2015-09-24,45.425,45.425,40.445,40.545,-1
23,2015-09-25,40.66,41.425,40.66,40.97,-1
24,2015-09-28,43.285,43.285,40.515,40.545,-1
25,2015-09-29,40.675,41.07,39.125,40.85,-1
26,2015-09-30,42.895,42.895,40.535,40.675,-1
27,2015-10-01,39.85,41.025,39.85,40.74,-1
28,2015-10-02,42.04,42.04,40.405,41.44,-1
29,2015-10-05,45.555,45.555,41.48,42.115,-1
30,2015-10-06,45.475,45.475,41.725,41.855,-1
31,2015-10-07,41.45,41.845,41.06,41.525,-1
32,2015-10-08,42.895,42.895,40.455,41.245,-1
33,2015-10-09,42.835,42.835,40.965,42.115,-1
34,2015-10-12,41.755,42.335,41.69,41.855,-1
35,2015-10-13,42.88,42.88,40.785,40.825,-1
36,2015-10-14,43.345,43.345,40.685,41.1,-1
37,2015-10-15,43.56,43.56,40.995,41.405,-1
38,2015-10-16,42.505,42.505,41.005,41.445,-1
39,2015-10-19,43.785,43.785,41.125,41.545,-1
40,2015-10-20,42.51,42.565,41.43,42.535,-1
41,2015-10-21,42.665,43.165,42.345,42.805,-1
42,2015-10-22,43.78,43.78,42.325,43.125,-1
43,2015-10-23,44.665,44.665,42.9,43.255,-1
44,2015-10-26,43.44,43.825,42.865,43.565,-1
45,2015-10-27,41.67,42.16,39.645,41.755,-1
46,2015-10-28,40.535,41.6,40.13,40.495,-1
47,2015-10-29,47.2,47.2,41.01,42.01,-1
48,2015-10-30,45.335,45.335,40.98,41.285,-1
49,2015-11-02,43.34,43.34,41.035,41.645,-1
50,2015-11-03,43.34,43.34,41.425,42.505,-1
51,2015-11-04,43.34,43.34,42.415,42.895,-1
52,2015-11-05,44.675,44.675,42.835,43.165,-1
53,2015-11-06,43.34,43.86,42.765,43.705,-1
54,2015-11-09,43.985,43.985,42.135,42.565,-1
55,2015-11-10,43.845,43.845,42.55,43.145,-1
56,2015-11-11,45.085,45.085,42.755,43.435,-1
57,2015-11-12,43.065,43.335,42.04,42.055,-1
58,2015-11-13,42.925,42.925,41.335,41.87,-1
59,2015-11-16,44.79,44.79,41.3,42.415,-1
60,2015-11-17,42.975,42.975,42.15,42.335,-1
61,2015-11-18,44.72,44.72,42.035,42.41,-1
