,Date,Open,High,Low,Close,Volume
0,2015-08-24,79.9,85.185,78.8,82.59,-1
1,2015-08-25,84.99,85.46,80.485,80.585,-1
2,2015-08-26,82.63,84.29,81.76,84.11,-1
3,2015-08-27,84.665,86.335,84.11,86.265,-1
4,2015-08-28,86.015,87.185,85.965,86.86,-1
5,2015-08-31,87.165,87.165,85.73,85.745,-1
6,2015-09-01,83.99,84.51,83.005,83.39,-1
7,2015-09-02,84.715,85.125,83.18,85.115,-1
8,2015-09-03,85.575,86.4,85.49,85.69,-1
9,2015-09-04,84.65,85.745,84.395,84.77,-1
10,2015-09-08,87.095,88.025,86.505,87.905,-1
11,2015-09-09,87.64,89.085,86.77,86.95,-1
12,2015-09-10,86.765,87.585,86.485,87.105,-1
13,2015-09-11,86.985,87.09,85.72,86.125,-1
14,2015-09-14,86.21,86.405,85.53,85.74,-1
15,2015-09-15,86.025,88.205,85.855,87.99,-1
16,2015-09-16,88.045,90.155,87.735,89.78,-1
17,2015-09-17,89.505,91.17,89.215,89.72,-1
18,2015-09-18,88.51,89.06,87.575,87.79,-1
19,2015-09-21,88.28,89.35,87.645,88.34,-1
20,2015-09-22,87.075,87.08,85.625,86.645,-1
21,2015-09-23,86.69,87.035,85.48,85.66,-1
22,2015-09-24,85.175,85.215,83.885,84.835,-1
23,2015-09-25,85.895,87.335,85.59,86.6,-1
24,2015-09-28,85.89,86.665,84.87,84.965,-1
25,2015-09-29,85.145,86.645,84.925,86.505,-1
26,2015-09-30,87.715,88.54,86.98,88.405,-1
27,2015-10-01,88.815,90.63,88.685,90.415,-1
28,2015-10-02,88.93,91.88,88.545,91.85,-1
29,2015-10-05,91.835,94.09,91.515,93.695,-1
30,2015-10-06,93.62,94.095,93.17,93.395,-1
31,2015-10-07,93.845,96.245,93.845,95.1,-1
32,2015-10-08,94.685,97.29,94.33,97.06,-1
33,2015-10-09,97.52,98.28,96.15,97.04,-1
34,2015-10-12,97.075,97.15,94.195,95.24,-1
35,2015-10-13,94.53,95.265,93.75,93.83,-1
36,2015-10-14,93.73,94.045,92.6,92.87,-1
37,2015-10-15,93.27,94.565,92.97,94.255,-1
38,2015-10-16,94.7,94.765,92.565,92.915,-1
39,2015-10-19,92.585,92.845,91.585,92.75,-1
40,2015-10-20,92.54,94.21,92.1,93.765,-1
41,2015-10-21,94.03,94.88,93.19,93.405,-1
42,2015-10-22,96.2,97.58,95.57,96.975,-1
43,2015-10-23,97.49,98.25,96.16,96.94,-1
44,2015-10-26,96.985,97.21,95.005,95.205,-1
45,2015-10-27,94.655,94.655,90.24,90.345,-1
46,2015-10-28,90.615,91.41,89.14,90.12,-1
47,2015-10-29,89.93,91.51,89.755,90.515,-1
48,2015-10-30,90.635,91.205,89.19,89.365,-1
49,2015-11-02,89.475,89.76,88.58,89.115,-1
50,2015-11-03,88.88,89.345,88.495,88.69,-1
51,2015-11-04,89.37,89.545,87.85,88.17,-1
52,2015-11-05,88.4,88.575,86.995,87.195,-1
53,2015-11-06,87.0,87.25,85.465,85.97,-1
54,2015-11-09,85.76,89.04,83.99,86.165,-1
55,2015-11-10,85.8,86.295,84.48,84.86,-1
56,2015-11-11,85.13,85.905,84.105,84.34,-1
57,2015-11-12,83.96,84.815,83.12,83.975,-1
58,2015-11-13,83.89,85.09,83.46,83.8,-1
59,2015-11-16,83.705,84.61,83.1,84.345,-1
60,2015-11-17,84.115,85.97,83.13,85.11,-1
61,2015-11-18,85.225,87.76,85.225,87.095,-1
62,2015-11-19,87.075,87.295,85.96,87.035,-1
63,2015-11-20,87.805,88.05,86.5,86.77,-1
64,2015-11-23,86.705,87.455,84.905,85.125,-1
