,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price,Tradé,Action,Quand,Prix limite
10,2019-12-06,PWR,0,1,1,0,40.5,Traité,NA,NA,NA
55,2019-12-06,VNO,0,1,1,0,65.55999755859375,Traité,NA,NA,NA
72,2019-12-06,DHR,0,1,1,0,148.22000122070312,Traité,Close Long,09-12-2019 11:26:06,147.92
74,2019-12-06,RF,1,0,0,1,17.040000915527344,Traité,Open Long,09-12-2019 11:26:06,17.07
79,2019-12-06,COP,0,1,1,0,61.970001220703125,Traité,NA,NA,NA
80,2019-12-06,KEY,0,1,1,0,19.65999984741211,Traité,Open Short,09-12-2019 11:26:07,19.62
88,2019-12-06,AOS,0,1,1,0,46.790000915527344,Traité,Open Short,09-12-2019 11:26:07,46.7
93,2019-12-06,FTV,1,0,0,1,72.87000274658203,Traité,NA,NA,NA
106,2019-12-06,CFG,1,0,0,1,39.029998779296875,Traité,Open Long,09-12-2019 11:26:08,39.11
109,2019-12-06,ALXN,1,0,0,1,113.88999938964844,Traité,NA,NA,NA
127,2019-12-06,FBHS,0,1,0,0,64.5999984741211,Traité,Close Long,09-12-2019 11:26:08,64.47
128,2019-12-06,XLNX,0,1,1,0,91.86000061035156,Traité,Open Short,09-12-2019 11:26:08,91.68
132,2019-12-06,BBY,0,1,1,0,82.05000305175781,Traité,Open Short,09-12-2019 11:26:09,81.89
179,2019-12-06,JEF,0,1,1,0,21.229999542236328,Traité,Open Short,09-12-2019 11:26:09,21.19
184,2019-12-06,NWSA,0,1,0,0,13.210000038146973,Traité,NA,NA,NA
198,2019-12-06,CHTR,1,0,0,1,467.8500061035156,Traité,NA,NA,NA
200,2019-12-06,ROK,1,0,0,1,198.17999267578125,Traité,Open Long,09-12-2019 11:26:10,198.58
213,2019-12-06,AAPL,0,1,1,0,270.7099914550781,Traité,Open Short,09-12-2019 11:26:10,270.17
228,2019-12-06,HES,0,1,0,0,62.2599983215332,Traité,NA,NA,NA
233,2019-12-06,VRSK,0,1,1,0,146.82000732421875,Traité,NA,NA,NA
236,2019-12-06,NSC,0,1,1,0,190.92999267578125,Traité,NA,NA,NA
244,2019-12-06,FFIV,1,0,0,1,138.0,Traité,Open Long,09-12-2019 11:26:10,138.28
275,2019-12-06,CTSH,1,0,0,1,62.65999984741211,Traité,NA,NA,NA
317,2019-12-06,ILMN,1,0,0,1,326.4700012207031,Traité,Open Long,09-12-2019 11:26:11,327.12
322,2019-12-06,DE,1,0,0,1,165.2100067138672,Traité,NA,NA,NA
