,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
24,2019-12-09,ANTM,1,0,0,1,282.3299865722656
25,2019-12-09,AON,0,1,1,0,205.50999450683594
33,2019-12-09,BA,0,1,1,0,351.2099914550781
48,2019-12-09,BXP,0,1,1,0,139.8699951171875
69,2019-12-09,COF,0,1,1,0,102.20999908447266
72,2019-12-09,COP,0,1,1,0,61.83000183105469
74,2019-12-09,CPB,0,1,1,0,48.2400016784668
96,2019-12-09,DVN,0,1,0,0,23.149999618530273
113,2019-12-09,FANG,0,1,1,0,83.77999877929688
116,2019-12-09,FBHS,0,1,1,0,64.0999984741211
117,2019-12-09,FCX,0,1,1,0,12.100000381469727
142,2019-11-08,HCP,0,1,1,0,33.689998626708984
148,2019-12-09,HOLX,0,1,1,0,52.099998474121094
151,2019-12-09,HRB,0,1,1,0,23.1299991607666
164,2019-12-09,IRM,0,1,1,0,33.0
172,2019-12-09,JWN,0,1,1,0,38.90999984741211
173,2019-12-09,K,1,0,0,1,66.54000091552734
175,2019-12-09,KMB,0,1,1,0,136.97999572753906
179,2019-12-09,KR,1,0,0,1,27.84000015258789
184,2019-12-09,LEG,0,1,1,0,52.150001525878906
186,2019-12-09,LH,0,1,1,0,169.0800018310547
198,2019-12-09,M,0,1,1,0,15.479999542236328
205,2019-12-09,MCK,0,1,1,0,142.8800048828125
208,2019-12-09,MKTX,0,1,1,0,367.0199890136719
211,2019-12-09,MMM,0,1,1,0,169.8300018310547
235,2019-12-09,NWSA,0,1,0,0,13.229999542236328
237,2019-12-09,OMC,0,1,1,0,80.05999755859375
241,2019-12-09,PBCT,0,1,1,0,16.5
244,2019-12-09,PFE,0,1,1,0,38.31999969482422
247,2019-12-09,PH,0,1,1,0,201.47000122070312
249,2019-12-09,PKG,0,1,1,0,113.54000091552734
258,2019-12-09,PXD,0,1,1,0,133.19000244140625
260,2019-12-09,QCOM,0,1,1,0,84.91999816894531
265,2019-12-09,RF,0,1,1,0,17.06999969482422
274,2019-12-09,SEE,1,0,0,1,38.93000030517578
276,2019-12-09,SIVB,0,1,0,0,236.36000061035156
278,2019-12-09,SLG,0,1,1,0,88.5999984741211
311,2019-12-09,VLO,1,0,0,1,92.5199966430664
314,2019-12-09,VRSK,0,1,1,0,147.47000122070312
323,2019-12-09,WFC,0,1,1,0,53.91999816894531
325,2019-12-09,WMB,1,0,0,1,22.899999618530273
327,2019-12-09,WYNN,1,0,0,1,120.38999938964844
330,2019-12-09,XOM,0,1,1,0,69.66000366210938
332,2019-12-09,XRX,1,0,0,1,37.310001373291016
