,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price,Open.S Price,Tradé,Action,Quand,Prix limite
185,2019-11-29,MCHP,0,1,0,0,94.54000091552734,Traité,NA,NA,NA,NA
189,2019-11-29,BWA,0,1,1,0,42.04999923706055,Traité,NA,Open Short,02-12-2019 10:39:25,41.97
199,2019-11-29,ALXN,1,0,0,1,113.94000244140625,Traité,NA,Open Long,02-12-2019 10:39:25,114.17
244,2019-11-29,CI,1,0,0,1,199.9199981689453,Traité,NA,NA,NA,NA
306,2019-11-29,CAH,1,0,0,1,55.029998779296875,Traité,NA,Open Long,02-12-2019 10:39:31,55.14
315,2019-11-29,RJF,1,0,0,1,89.81999969482422,Traité,NA,NA,NA,NA
