,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price,Open.S Price,Tradé,Action,Quand,Prix limite
2,2019-11-27,EFX,0,1,1,0,141.3300018310547,Traité,NA,Open Short,29-11-2019 01:51:55,141.05
29,2019-11-27,SEE,0,1,1,0,37.709999084472656,Traité,NA,Open Short,29-11-2019 01:51:56,37.63
38,2019-11-27,GM,1,0,0,1,36.13999938964844,Traité,NA,Open Long,29-11-2019 01:51:57,36.21
44,2019-11-27,VNO,0,1,1,0,64.47000122070311,Traité,NA,Open Short,29-11-2019 01:51:58,64.34
48,2019-11-27,CHRW,0,1,1,0,77.75,Traité,NA,Open Short,29-11-2019 01:51:58,77.59
58,2019-11-27,ILMN,1,0,0,1,320.94000244140625,Traité,NA,Open Long,29-11-2019 01:51:59,321.58
63,2019-11-27,NFLX,0,1,1,0,315.92999267578125,Traité,NA,Open Short,29-11-2019 01:51:59,315.3
75,2019-11-27,MO,0,1,1,0,49.75,Traité,NA,Open Short,29-11-2019 01:52:00,49.65
91,2019-11-27,UAA,1,0,0,1,19.100000381469727,Traité,NA,Open Long,29-11-2019 01:52:01,19.14
111,2019-11-27,MTB,1,0,0,1,166.77999877929688,Traité,NA,Open Long,29-11-2019 01:52:02,167.11
117,2019-11-27,GPC,0,1,1,0,105.20999908447266,Traité,NA,Open Short,29-11-2019 01:52:03,105.0
140,2019-11-27,ZION,1,0,0,1,50.06999969482422,Traité,NA,NA,NA,NA
146,2019-11-27,D,0,1,1,0,83.08000183105469,Traité,NA,Open Short,29-11-2019 01:52:04,82.91
163,2019-11-27,JWN,0,1,0,0,38.31999969482422,Traité,NA,NA,NA,NA
172,2019-11-27,TSN,0,1,1,0,90.08999633789062,Traité,NA,Open Short,29-11-2019 01:52:06,89.91
176,2019-11-27,TWTR,1,0,0,1,31.170000076293945,Traité,NA,Open Long,29-11-2019 01:52:06,31.23
191,2019-11-27,CAH,0,1,1,0,55.22000122070313,Traité,NA,Close Long,29-11-2019 01:52:07,55.11
194,2019-11-27,FBHS,0,1,1,0,64.37999725341797,Traité,NA,Close Long,29-11-2019 01:52:08,64.25
217,2019-11-27,HPE,0,1,1,0,15.9399995803833,Traité,NA,Open Short,29-11-2019 01:52:09,15.91
223,2019-11-27,MAS,0,1,1,0,47.13000106811523,Traité,NA,Close Long,29-11-2019 01:52:09,47.04
250,2019-11-27,WU,0,1,1,0,27.28000068664551,Traité,NA,Open Short,29-11-2019 01:52:11,27.23
274,2019-11-27,HFC,0,1,0,0,52.29999923706055,Traité,NA,NA,NA,NA
277,2019-11-27,VMC,0,1,1,0,143.75999450683594,Traité,NA,Open Short,29-11-2019 01:52:13,143.47
292,2019-11-27,COF,0,1,0,0,100.25,Traité,NA,NA,NA,NA
310,2019-11-27,EOG,0,1,1,0,72.3499984741211,Traité,NA,Open Short,29-11-2019 01:52:14,72.21
317,2019-11-27,HOG,0,1,1,0,36.97000122070313,Traité,NA,Open Short,29-11-2019 01:52:15,36.9
321,2019-11-27,PPG,0,1,0,0,129.19000244140622,Traité,NA,NA,NA,NA
