,Date,Open Long,Close Long,Open Short,Close Short,Exposure Long,Exposure Short,Exposure,Net Exposure,PNL,Unrealized PNL,Cumulative PNL,NAV,Net Long,Net Short,Maximum Drawdown
0,08/07/19,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
1,01/17/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
2,01/18/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
3,01/19/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
4,01/22/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
5,01/23/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
6,01/24/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
7,01/25/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
8,01/26/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
9,01/29/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
10,01/30/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
11,01/31/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
12,02/01/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
13,02/02/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
14,02/05/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
15,02/06/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
16,02/07/18,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,0,0,0.0
