"Symbole","Date/Heure","Quantité","Prix Trans.","Produit","Comm/Tarif","Base","P/L Réalisé","% P&L réalisé","Code"
"A","2019-10-03, 09:30:05",136,73.5,-9996,-1,9997,0,0,"O;P"
"A","2019-10-04, 09:30:25",-136,74.06,10072.16,-1.22,-9997,73.94,0.74,"C;P"
"A","2019-10-11, 09:31:06",-135,75.5,10192.5,-1.23,-10191.27,0,0,"O;P"
"A","2019-10-17, 09:34:05",135,75.42,-10181.7,-1,10191.27,8.57,0.08,"C;P"
"A","2019-10-21, 09:35:26",134,74.72,-10012.48,-1,10013.48,0,0,"O;P"
"A","2019-10-28, 09:30:20",-134,75.72,10146.48,-1.23,-10013.48,131.77,1.32,"C;P"
"A","2019-10-30, 15:23:18",-132,76.02,10034.64,-1.22,-10033.42,0,0,"O"
"ABC","2019-10-07, 09:31:23",-123,81.6918699,10048.1,-1.22,-10046.88,0,0,"O;P"
"ABMD","2019-10-29, 09:30:08",54,183.12,-9888.48,-1,9889.48,0,0,"O"
"ADI","2019-10-03, 09:30:06",-92,108.8,10009.6,-1.22,-10008.38,0,0,"O;P"
"ADI","2019-10-17, 10:48:12",92,110.81,-10194.52,-1,10008.38,-187.14,-1.87,"C"
"ADI","2019-10-18, 09:30:07",91,110,-10010,-1,10011,0,0,"O"
"ADP","2019-10-28, 09:30:13",-62,162.13,10052.06,-1.22,-10050.84,0,0,"O;P"
"ADS","2019-10-18, 09:31:45",-10,123.11,1231.1,-1.03,-1312.7,-82.63,-6.29,"C"
"ADSK","2019-10-14, 09:32:00",-69,150.02,10351.38,-1.22,-9967.36,382.8,3.84,"C"
"ADSK","2019-10-18, 09:30:07",69,144,-9936,-1,9937,0,0,"O;P"
"ADSK","2019-11-04, 09:30:18",-69,151.31,10440.39,-1.22,-9937,502.17,5.05,"C"
"ADSK","2019-11-06, 09:30:33",-66,151.43,9994.38,-1.21,-9993.17,0,0,"O"
"AEE","2019-10-03, 09:30:49",130,78.9076923,-10258,-1,10112.78,-146.22,-1.45,"C;P"
"AEE","2019-10-04, 09:30:22",127,78.66,-9989.82,-1,9990.82,0,0,"O;P"
"AEE","2019-10-10, 12:46:27",-127,77.19,9803.13,-1.22,-9990.82,-188.91,-1.89,"C"
"AEE","2019-11-05, 09:30:26",131,75.85,-9936.35,-1,9937.35,0,0,"O;P"
"AEP","2019-11-08, 10:01:07",-107,89.16,9540.12,-1.21,-9973.4,-434.49,-4.36,"C;P"
"AES","2019-10-11, 09:30:15",-633,15.8531596,10035.05,-3.45,-10031.6,0,0,"O;P"
"AFL","2019-10-04, 09:30:21",-196,51.12,10019.52,-1.23,-10018.29,0,0,"O"
"AIG","2019-10-23, 09:30:30",-184,53.13,9775.92,-1.22,-9981.16,-206.46,-2.07,"C;P"
"AIG","2019-10-24, 09:30:17",-189,53.24,10062.36,-1.23,-10061.13,0,0,"O;P"
"AIG","2019-10-28, 11:06:38",189,52.91,-9999.99,-1,10061.13,60.14,0.6,"C"
"AIZ","2019-10-04, 09:31:36",-81,123.45,9999.45,-1.22,-9998.23,0,0,"O"
"AIZ","2019-10-14, 09:30:12",81,125.55,-10169.55,-1,9998.23,-172.32,-1.72,"C"
"AIZ","2019-10-17, 09:30:26",-80,125.73,10058.4,-1.22,-10057.18,0,0,"O;P"
"AIZ","2019-10-31, 09:30:07",80,126.1,-10088,-1,10057.18,-31.82,-0.32,"C"
"AIZ","2019-11-08, 09:34:36",-78,127.23,9923.94,-1.21,-9922.73,0,0,"O"
"ALK","2019-10-07, 09:31:37",158,63.64,-10055.12,-1,10056.12,0,0,"O;P"
"ALK","2019-10-16, 09:30:03",-158,67.23,10622.34,-1.24,-10056.12,564.98,5.62,"C"
"ALK","2019-10-17, 09:30:08",-150,66.8266667,10024,-1.23,-10022.77,0,0,"O;P"
"ALK","2019-10-29, 09:30:21",150,70.08,-10512,-1,10022.77,-490.23,-4.89,"C;P"
"ALK","2019-10-30, 09:32:01",-144,69.62,10025.28,-1.22,-10024.06,0,0,"O;P"
"ALK","2019-11-04, 10:35:47",144,70.29,-10121.76,-1,10024.06,-98.7,-0.98,"C;P"
"ALK","2019-11-08, 09:30:15",140,70.9214286,-9929,-1,9930,0,0,"O;P"
"ALL","2019-10-08, 10:11:24",94,105.92,-9956.48,-1,10052.08,94.6,0.94,"C"
"ALL","2019-11-01, 09:50:14",94,106.63,-10023.22,-1,10024.22,0,0,"O"
"ALL","2019-11-05, 09:30:22",-94,106.65,10025.1,-1.22,-10024.22,-0.34,0,"C"
"ALLE","2019-10-04, 09:30:08",-98,101.07,9904.86,-1.22,-9977.4,-73.76,-0.74,"C"
"ALLE","2019-10-07, 13:48:33",-97,103.11,10001.67,-1.22,-10000.45,0,0,"O"
"ALXN","2019-10-23, 09:30:04",-93,101.48,9437.64,-1.21,-10015.24,-578.81,-5.78,"C"
"ALXN","2019-11-05, 09:30:46",92,108.75,-10005,-1,10006,0,0,"O"
"AMD","2019-10-03, 09:30:11",353,28.3484986,-10007.02,-1.77,10008.78,0,0,"O;P"
"AMD","2019-10-10, 09:30:06",-353,28.5256657,10069.56,-2.02,-10008.78,58.76,0.59,"C;P"
"AMD","2019-10-17, 11:53:01",324,30.87,-10001.88,-1.62,10003.5,0,0,"O"
"AMD","2019-10-25, 09:30:02",-324,31.89,10332.36,-1.87,-10003.5,326.99,3.27,"C"
"AMD","2019-10-29, 09:32:22",296,33.76,-9992.96,-1.48,9994.44,0,0,"O"
"AMD","2019-11-01, 09:30:01",-296,34.37,10173.52,-1.73,-9994.44,177.35,1.77,"C;P"
"AMD","2019-11-04, 09:30:01",-287,35.1278746,10081.7,-1.68,-10080.02,0,0,"O;P"
"AME","2019-10-04, 09:30:12",-115,87.31,10040.65,-1.22,-10039.43,0,0,"O;P"
"AME","2019-10-16, 09:30:37",115,88.82,-10214.3,-1,10039.43,-175.87,-1.75,"C;P"
"AME","2019-10-23, 09:32:28",113,88.56,-10007.28,-1,10008.28,0,0,"O;P"
"AME","2019-10-25, 09:30:26",-113,89,10057,-1.22,-10008.28,47.5,0.47,"C;P"
"AME","2019-11-04, 09:30:22",-106,94.83,10051.98,-1.22,-10050.76,0,0,"O;P"
"AMG","2019-10-24, 09:50:49",15,77.19,-1157.85,-1,1285.82,126.97,9.87,"C"
"AMGN","2019-10-08, 10:14:35",-51,196.78,10035.78,-1.21,-10034.57,0,0,"O"
"AMGN","2019-10-21, 09:32:43",51,203.13,-10359.63,-1,10034.57,-326.06,-3.25,"C"
"AMGN","2019-10-30, 11:30:44",-48,208.57,10011.36,-1.21,-10010.15,0,0,"O"
"AMGN","2019-11-05, 09:50:56",48,214.84,-10312.32,-1,10010.15,-303.17,-3.03,"C"
"AMP","2019-10-03, 09:30:14",68,134.5,-9146,-1,10056.66,909.66,9.05,"C"
"AMP","2019-10-04, 09:30:17",-74,135.1964865,10004.54,-1.22,-10003.32,0,0,"O;P"
"AMP","2019-10-08, 10:11:24",74,129.93,-9614.82,-1,10003.32,387.5,3.87,"C"
"AMP","2019-10-10, 09:30:21",-76,132.65,10081.4,-1.22,-10080.18,0,0,"O"
"ANET","2019-10-03, 09:31:28",41,220.91,-9057.31,-1,9932.68,874.37,8.8,"C"
"ANET","2019-10-10, 09:30:06",43,229,-9847,-1,9848,0,0,"O"
"ANET","2019-10-14, 09:30:26",-43,236.19,10156.17,-1.22,-9848,306.95,3.12,"C"
"ANET","2019-10-17, 09:30:20",-42,239.6,10063.2,-1.21,-10061.99,0,0,"O"
"ANTM","2019-11-05, 15:07:52",5,272.26,-1361.3,-1,1255.47,-106.83,-8.51,"C"
"AOS","2019-10-11, 09:30:20",-216,47.0346296,10159.48,-1.32,-10158.16,0,0,"O;P"
"AOS","2019-10-16, 09:30:05",216,48.4677778,-10469.04,-1.08,10158.16,-311.96,-3.07,"C;P"
"AOS","2019-10-18, 09:31:19",200,50.12,-10024,-1,10025,0,0,"O;P"
"AOS","2019-11-06, 09:45:30",-200,51.79,10358,-1.24,-10025,331.76,3.31,"C"
"AOS","2019-11-08, 09:32:06",192,51.97,-9978.24,-1,9979.24,0,0,"O;P"
"ARNC","2019-10-18, 09:30:43",360,27.6683333,-9960.6,-1.8,9962.4,0,0,"O;P"
"ARNC","2019-10-28, 09:30:08",-360,27.65,9954,-2.05,-9962.4,-10.45,-0.1,"C;P"
"ARNC","2019-11-05, 09:31:42",-347,28.72,9965.84,-1.98,-9963.86,0,0,"O;P"
"ARNC","2019-11-07, 09:30:24",347,29.5,-10236.5,-1.74,9963.86,-274.38,-2.75,"C"
"ARNC","2019-11-08, 09:31:26",344,28.9512791,-9959.24,-1.72,9960.96,0,0,"O;P"
"ATO","2019-10-10, 09:31:00",88,111.52,-9813.76,-1,10050.14,235.38,2.34,"C"
"ATO","2019-10-11, 09:31:49",90,111.07,-9996.3,-1,9997.3,0,0,"O"
"ATO","2019-10-17, 09:33:01",-90,110.89,9980.1,-1.22,-9997.3,-18.42,-0.18,"C"
"ATO","2019-10-30, 09:30:15",89,111.76,-9946.64,-1,9947.64,0,0,"O"
"AVB","2019-11-05, 09:30:08",47,213.43,-10031.21,-1,10049.27,17.06,0.17,"C"
"AVGO","2019-10-16, 11:01:22",-36,289.74,10430.64,-1.22,-9973,456.42,4.58,"C"
"AVGO","2019-10-21, 09:34:16",35,287.3,-10055.5,-1,10056.5,0,0,"O"
"AVGO","2019-10-28, 09:30:10",-35,290.4,10164,-1.21,-10056.5,106.29,1.06,"C"
"AVGO","2019-10-29, 09:30:02",-34,292,9928,-1.21,-9926.79,0,0,"O"
"AVGO","2019-10-31, 09:30:07",34,290.5,-9877,-1,9926.79,48.79,0.49,"C"
"AVGO","2019-11-01, 09:30:02",-34,292.78,9954.52,-1.21,-9953.31,0,0,"O"
"AVGO","2019-11-06, 09:30:03",34,312.5,-10625,-1,9953.31,-672.69,-6.76,"C"
"AVGO","2019-11-07, 13:45:03",32,313.79,-10041.28,-1,10042.28,0,0,"O"
"AZO","2019-10-08, 11:03:50",-9,1058.69,9528.21,-1.2,-9885.16,-358.15,-3.62,"C"
"BAC","2019-10-14, 09:30:10",345,28.76,-9922.2,-1.72,9923.93,0,0,"O"
"BAC","2019-10-17, 09:30:08",-345,30.3284058,10463.3,-1.98,-9923.92,537.39,5.42,"C;P"
"BBY","2019-10-28, 09:30:26",-137,74.5372993,10211.61,-1.23,-10210.38,0,0,"O;P"
"BDX","2019-10-08, 10:11:26",40,244.51,-9780.4,-1,10120.39,338.99,3.35,"C"
"BDX","2019-10-11, 09:30:15",-40,252.23,10089.2,-1.21,-10087.99,0,0,"O"
"BDX","2019-10-21, 09:30:07",40,259.11,-10364.4,-1,10087.99,-277.41,-2.75,"C"
"BDX","2019-10-23, 15:13:13",40,250.78,-10031.2,-1,10032.2,0,0,"O"
"BDX","2019-10-31, 09:30:30",-40,255.48,10219.2,-1.22,-10032.2,185.78,1.85,"C"
"BEN","2019-10-03, 09:30:14",370,27,-9990,-1.85,9991.85,0,0,"O;P"
"BEN","2019-10-31, 09:32:39",-370,28.01,10363.7,-2.11,-9991.85,369.74,3.7,"C;P"
"BEN","2019-11-04, 09:30:05",-357,28.3315966,10114.38,-2.04,-10112.34,0,0,"O;P"
"BK","2019-10-04, 09:31:34",-215,42.5146512,9140.65,-1.29,-9979.92,-840.56,-8.42,"C;P"
"BK","2019-10-07, 09:30:27",-236,42.55,10041.8,-1.42,-10040.38,0,0,"O;P"
"BK","2019-10-24, 09:32:48",236,46.82,-11049.52,-1.18,10040.38,-1010.32,-10.06,"C;P"
"BK","2019-10-25, 09:30:27",216,46.01,-9938.16,-1.08,9939.24,0,0,"O;P"
"BLK","2019-10-24, 09:30:15",-22,456.36,10039.92,-1.21,-10038.71,0,0,"O"
"BLL","2019-11-08, 09:30:23",153,65.2,-9975.6,-1,9976.6,0,0,"O;P"
"BSX","2019-10-10, 09:33:43",-260,38.53,10017.8,-1.54,-10016.26,0,0,"O;P"
"BWA","2019-10-17, 09:30:18",277,38.41,-10639.57,-1.38,10017.46,-623.49,-6.22,"C;P"
"BWA","2019-10-18, 09:30:11",263,38.09,-10017.67,-1.32,10018.98,0,0,"O"
"BWA","2019-10-21, 09:30:19",-263,38.77,10196.51,-1.56,-10018.98,175.97,1.76,"C;P"
"BWA","2019-10-23, 11:50:19",-252,39.66,9994.32,-1.5,-9992.82,0,0,"O;P"
"BWA","2019-10-30, 09:30:06",252,39.68,-9999.36,-1.26,9992.82,-7.8,-0.08,"C;P"
"BWA","2019-11-05, 09:30:23",-221,45.32,10015.72,-1.34,-10014.38,0,0,"O;P"
"C","2019-10-07, 09:30:58",-147,68.04,10001.88,-1.22,-10000.66,0,0,"O;P"
"CAH","2019-10-24, 09:30:17",-209,49.97,10443.73,-1.29,-10030.96,411.49,4.1,"C;P"
"CAH","2019-10-25, 09:30:05",-202,49.7,10039.4,-1.24,-10038.16,0,0,"O"
"CBRE","2019-10-14, 09:49:23",-189,51.73,9776.97,-1.22,-10000.99,-225.24,-2.25,"C;P"
"CBRE","2019-10-21, 09:30:18",-192,52.6352083,10105.96,-1.23,-10104.73,0,0,"O;P"
"CBRE","2019-10-25, 09:30:14",192,52.33,-10047.36,-1,10104.73,56.37,0.56,"C;P"
"CBRE","2019-10-30, 09:31:20",-187,53.52,10008.24,-1.23,-10007.01,0,0,"O;P"
"CCI","2019-10-10, 11:05:27",-73,136.98,9999.54,-1.22,-9998.32,0,0,"O"
