"Symbole","Quantité","Mult","Coût","Coût d'acquisition","Prix de clôture","Valeur","P/L Non-Réalisé","P&L non réalisé %","Code"
"A",-132,1,76.010731629,-10033.416575,76.64,-10116.48,-83.063425,-0.83,
"ABC",-123,1,81.681929821,-10046.877368,86.07,-10586.61,-539.732632,-5.37,
"ABMD",54,1,183.138518519,9889.48,219.62,11859.48,1970,19.92,
"ACN",52,1,193.359230769,10054.68,189.7,9864.4,-190.28,-1.89,
"ADBE",4,1,282.07,1128.28,292.46,1169.84,41.56,3.68,
"ADI",91,1,110.010989011,10011,113.02,10284.82,273.82,2.74,
"ADP",-62,1,162.110395887,-10050.844545,162.73,-10089.26,-38.415455,-0.38,
"ADSK",-66,1,151.411594879,-9993.165262,152.96,-10095.36,-102.194738,-1.02,
"AEE",131,1,75.857633588,9937.35,73.81,9669.11,-268.24,-2.7,
"AES",-633,1,15.8477124,-10031.601949,17.64,-11166.12,-1134.518051,-11.31,
"AFL",-196,1,51.113720776,-10018.289272,54.14,-10611.44,-593.150728,-5.92,
"AIV",-24,1,51.897139167,-1245.53134,53.17,-1276.08,-30.54866,-2.45,
"AIZ",-78,1,127.214426821,-9922.725292,130.07,-10145.46,-222.734708,-2.24,
"ALB",147,1,67.646802721,9944.08,67.98,9993.06,48.98,0.49,
"ALGN",54,1,186.928518519,10094.14,259.92,14035.68,3941.54,39.05,
"ALK",140,1,70.928571429,9930,71.17,9963.8,33.8,0.34,
"ALLE",-97,1,103.09743734,-10000.451422,115.65,-11218.05,-1217.598578,-12.18,
"ALXN",92,1,108.760869565,10006,110.79,10192.68,186.68,1.87,
"AMD",-287,1,35.122028415,-10080.022155,36.29,-10415.23,-335.207845,-3.33,
"AME",-106,1,94.818484057,-10050.75931,96.54,-10233.24,-182.48069,-1.82,
"AMP",-76,1,132.63397725,-10080.182271,158.54,-12049.04,-1968.857729,-19.53,
"AMZN",1,1,1821.99,1821.99,1785.88,1785.88,-36.11,-1.98,
"ANET",-42,1,239.571111762,-10061.986694,192.61,-8089.62,1972.366694,19.6,
"AOS",192,1,51.975208333,9979.24,52.08,9999.36,20.12,0.2,
"APH",-104,1,95.954432962,-9979.261028,102.7,-10680.8,-701.538972,-7.03,
"APTV",111,1,89.689009009,9955.48,96.88,10753.68,798.2,8.02,
"ARNC",344,1,28.95627907,9960.96,28.97,9965.68,4.72,0.05,
"ATO",89,1,111.771235955,9947.64,107.32,9551.48,-396.16,-3.98,
"AVGO",32,1,313.82125,10042.28,313.41,10029.12,-13.16,-0.13,
"AVY",-89,1,112.615077674,-10022.741913,133.83,-11910.87,-1888.128087,-18.84,
"AXP",84,1,118.841904762,9982.72,121.47,10203.48,220.76,2.21,
"BBY",-137,1,74.528338073,-10210.382316,76.85,-10528.45,-318.067684,-3.12,
"BEN",-357,1,28.325891174,-10112.343149,28.28,-10095.96,16.383149,0.16,
"BIIB",42,1,236.693809524,9941.14,293.25,12316.5,2375.36,23.89,
"BK",216,1,46.015,9939.24,49.2,10627.2,687.96,6.92,
"BLK",-22,1,456.304979818,-10038.709556,490.21,-10784.62,-745.910444,-7.43,
"BLL",153,1,65.206535948,9976.6,64.65,9891.45,-85.15,-0.85,
"BSX",-260,1,38.524083431,-10016.261692,40.51,-10532.6,-516.338308,-5.16,
"BWA",-221,1,45.313942878,-10014.381376,46.31,-10234.51,-220.128624,-2.2,
"C",-147,1,68.03166985,-10000.655468,76.12,-11189.64,-1188.984532,-11.89,
"CAH",-202,1,49.693852208,-10038.158146,53.75,-10857.5,-819.341854,-8.16,
"CBRE",-187,1,53.513425545,-10007.010577,54.89,-10264.43,-257.419423,-2.57,
"CCI",74,1,133.273513514,9862.24,130.81,9679.94,-182.3,-1.85,
"CCL",-232,1,43.119677957,-10003.765286,45.05,-10451.6,-447.834714,-4.48,
"CDNS",156,1,64.156410256,10008.4,67.1,10467.6,459.2,4.59,
"CE",-82,1,123.182940561,-10101.001126,127.31,-10439.42,-338.418874,-3.35,
"CERN",-147,1,67.95167151,-9988.895712,67.31,-9894.57,94.325712,0.94,
"CFG",-279,1,35.864138491,-10006.094639,38.52,-10747.08,-740.985361,-7.41,
"CHD",148,1,67.326756757,9964.36,67.58,10001.84,37.48,0.38,
"CHRW",130,1,76.497692308,9944.7,78.06,10147.8,203.1,2.04,
"CHTR",-23,1,429.127518696,-9869.93293,469.75,-10804.25,-934.31707,-9.47,
"CI",-61,1,164.993842262,-10064.624378,188.2,-11480.2,-1415.575622,-14.06,
