,Symb.,Name,Sector,Precision_up,Precision_down
0,A,Agilent Technologies,Health Care,85.96,99.05
1,AAL,American Airlines Gp,Industrials,82.95,95.83
2,AAP,Advance Auto Parts Inc,Consumer Discretionary,94.44,97.26
3,AAPL,Apple Inc,Information Technology,86.15,80.95
4,ABC,Amerisourcebergen Corp,Health Care,97.67,94.0
5,ABMD,Abiomed Inc,None,71.26,81.94
6,ABT,Abbott Laboratories,Health Care,75.0,100.0
7,ACN,Accenture Plc,Information Technology,74.47,83.78
8,ADBE,Adobe Systems Inc,Information Technology,73.24,95.24
9,ADI,Analog Devices,Information Technology,69.09,75.82
10,ADM,Archer Daniels Midland,Consumer Staples,82.5,76.06
11,ADP,Automatic Data Procs,Information Technology,81.05,86.11
12,ADS,Alliance Data Systems Corp,Information Technology,78.69,83.33
13,ADSK,Autodesk Inc,Information Technology,71.13,90.74
14,AEE,Ameren Corp,Utilities,78.12,81.82
15,AEP,American Electric Power Company,Utilities,93.33,82.61
16,AES,The Aes Corp,Utilities,81.25,93.59
17,AFL,Aflac Incorporated,Financials,100.0,81.91
18,AFL,Aflac Incorporated,Financials,100.0,81.91
19,AGN,Allergan Plc,Health Care,75.56,76.47
20,AIG,American International Group,Financials,70.71,83.78
21,AIV,Apartment Investment and Management,Real Estate,75.95,100.0
22,AIZ,Assurant Inc,Financials,90.38,75.68
23,ALB,Albemarle Corp,Materials,91.18,82.72
24,ALGN,Align Technology,Health Care,93.06,93.98
25,ALK,Alaska Air Group,Industrials,73.2,93.1
26,ALGN,Align Technology,Health Care,97.14,89.01
27,ALK,Alaska Air Group,Industrials,75.0,97.14
28,ALL,Allstate Corp,Financials,72.04,71.7
29,ALLE,Allegion Plc,Industrials,79.71,87.39
30,ALXN,Alexion Pharm Inc,Health Care,72.48,94.2
31,AMCR,Amcor Plc,None,89.19,80.22
32,AMD,Adv Micro Devices,Information Technology,97.22,69.79
33,AME,Amtek Inc,Industrials,78.35,92.31
34,AMG,Affiliated Managers Group,Financials,82.93,75.41
35,AMG,Affiliated Managers Group,Financials,74.51,75.44
36,AMGN,Amgen Inc,Health Care,72.48,82.81
37,AMP,Ameriprise Financial Services,Financials,87.5,83.33
38,AMZN,Amazon.com Inc,Consumer Discretionary,89.66,93.75
39,ANET,Arista Networks Inc,None,86.84,80.81
40,ANTM,Anthem Inc,Health Care,88.71,84.78
41,AOS,Smith [A.O.] Corp,Industrials,69.72,81.25
42,ANTM,Anthem Inc,Health Care,89.58,78.33
43,AOS,Smith [A.O.] Corp,Industrials,69.81,84.13
44,APD,Air Products and Chemicals,Materials,69.23,81.69
45,APH,Amphenol Corp,Information Technology,77.36,100.0
46,APTV,Aptiv Plc,Consumer Discretionary,86.59,69.89
47,ATO,Atmos Energy Corp,None,72.63,93.55
48,APTV,Aptiv Plc,Consumer Discretionary,73.15,71.43
49,ARNC,Arconic Inc,Industrials,91.57,72.0
50,ATO,Atmos Energy Corp,None,77.11,92.31
