Statement,Header,Nom champ,Valeur champ
Statement,Data,BrokerName,Interactive Brokers
Statement,Data,BrokerAddress,
Statement,Data,Title,Synthèse du réalisé
Statement,Data,Period,"Novembre 8, 2019"
Statement,Data,WhenGenerated,"2019-11-11, 07:53:08 EST"
Informations du compte,Header,Nom champ,Valeur champ
Informations du compte,Data,Nom,CSS Alpha Fund Ltd
Informations du compte,Data,Compte,DU1507428
Informations du compte,Data,Nom compte centralisateur,CSS Alpha Fund Ltd
Informations du compte,Data,Type de Compte,Individuel
Informations du compte,Data,Type de client,Sociétés
Informations du compte,Data,Capacités du compte,Portfolio margin
Informations du compte,Data,Devise de base,USD
Actif net,Header,Classe d'Actif,Total précédent,Actuel long,Actuel short,Total actuel,Variation
Actif net,Data,Espèces,793374.563268833,680868.453939229,0,680868.453939229,-112506.109329604
Actif net,Data,Action,-287611.87,1098374.21,-1273988.55,-175614.34,111997.53
Actif net,Data,Intérêts cumulés,-167.77,53.35,-302.69,-249.34,-81.57
Actif net,Data,Total,505594.923268833,1779296.013939229,-1274291.24,505004.773939229,-590.149329604
Actif net,Header,Taux de rentabilité pondéré dans le temps
Actif net,Data,-0.116723745%
Changements de l'actif net,Header,Nom champ,Valeur champ
Changements de l'actif net,Data,Valeur de départ,505594.923268833
Changements de l'actif net,Data,P/L Réalisé,-2008.834971
Changements de l'actif net,Data,Changement dans les pertes et profits non-réalisés,1507.19564
Changements de l'actif net,Data,Dividendes,-6.94
Changements de l'actif net,Data,Changement dans l'accumulation des intérêts,-81.57
Changements de l'actif net,Data,Valeur en fin de période,505004.773939229
Synthèse de la performance réalisée et non-réalisée,Header,Catégorie d'actifs,Symbole,Aj. coût,Realisé Profit C/T,Realisé Perte C/T,Realisé Profit L/T,Realisé Perte L/T,Realisé Total,Non-Réalisé Profit C/T,Non-Réalisé Perte C/T,Non-Réalisé Profit L/T,Non-Réalisé Perte L/T,Non-Réalisé Total,Total,Code
Synthèse de la performance réalisée et non-réalisée,Data,Actions,A,0,0,0,0,0,0,0,-83.063425,0,0,-83.063425,-83.063425,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ABC,0,0,0,0,0,0,0,-539.732632,0,0,-539.732632,-539.732632,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ABMD,0,0,0,0,0,0,1970,0,0,0,1970,1970,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ACN,0,0,0,0,0,0,0,-190.28,0,0,-190.28,-190.28,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ADBE,0,0,0,0,0,0,41.56,0,0,0,41.56,41.56,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ADI,0,0,0,0,0,0,273.82,0,0,0,273.82,273.82,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ADP,0,0,0,0,0,0,0,-38.415455,0,0,-38.415455,-38.415455,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ADSK,0,0,0,0,0,0,0,-102.194738,0,0,-102.194738,-102.194738,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AEE,0,0,0,0,0,0,0,-268.24,0,0,-268.24,-268.24,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AEP,0,0,-434.490214,0,0,-434.490214,0,0,0,0,0,-434.490214,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AES,0,0,0,0,0,0,0,-1134.518051,0,0,-1134.518051,-1134.518051,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AFL,0,0,0,0,0,0,0,-593.150728,0,0,-593.150728,-593.150728,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AIV,0,0,0,0,0,0,0,-30.54866,0,0,-30.54866,-30.54866,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AIZ,0,0,0,0,0,0,0,-222.734708,0,0,-222.734708,-222.734708,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ALB,0,0,0,0,0,0,48.98,0,0,0,48.98,48.98,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ALGN,0,0,0,0,0,0,3941.54,0,0,0,3941.54,3941.54,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ALK,0,0,0,0,0,0,33.8,0,0,0,33.8,33.8,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ALLE,0,0,0,0,0,0,0,-1217.598578,0,0,-1217.598578,-1217.598578,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ALXN,0,0,0,0,0,0,186.68,0,0,0,186.68,186.68,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AMD,0,0,0,0,0,0,0,-335.207845,0,0,-335.207845,-335.207845,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AME,0,0,0,0,0,0,0,-182.48069,0,0,-182.48069,-182.48069,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AMP,0,0,0,0,0,0,0,-1968.857729,0,0,-1968.857729,-1968.857729,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AMZN,0,0,0,0,0,0,0,-36.11,0,0,-36.11,-36.11,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ANET,0,0,0,0,0,0,1972.366694,0,0,0,1972.366694,1972.366694,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AOS,0,0,0,0,0,0,20.12,0,0,0,20.12,20.12,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,APH,0,0,0,0,0,0,0,-701.538972,0,0,-701.538972,-701.538972,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,APTV,0,0,0,0,0,0,798.2,0,0,0,798.2,798.2,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ARNC,0,0,0,0,0,0,4.72,0,0,0,4.72,4.72,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,ATO,0,0,0,0,0,0,0,-396.16,0,0,-396.16,-396.16,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AVGO,0,0,0,0,0,0,0,-13.16,0,0,-13.16,-13.16,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AVY,0,0,0,0,0,0,0,-1888.128087,0,0,-1888.128087,-1888.128087,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,AXP,0,0,0,0,0,0,220.76,0,0,0,220.76,220.76,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BBY,0,0,0,0,0,0,0,-318.067684,0,0,-318.067684,-318.067684,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BEN,0,0,0,0,0,0,16.383149,0,0,0,16.383149,16.383149,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BIIB,0,0,0,0,0,0,2375.36,0,0,0,2375.36,2375.36,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BK,0,0,0,0,0,0,687.96,0,0,0,687.96,687.96,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BLK,0,0,0,0,0,0,0,-745.910444,0,0,-745.910444,-745.910444,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BLL,0,0,0,0,0,0,0,-85.15,0,0,-85.15,-85.15,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BSX,0,0,0,0,0,0,0,-516.338308,0,0,-516.338308,-516.338308,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,BWA,0,0,0,0,0,0,0,-220.128624,0,0,-220.128624,-220.128624,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,C,0,0,0,0,0,0,0,-1188.984532,0,0,-1188.984532,-1188.984532,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CAH,0,0,0,0,0,0,0,-819.341854,0,0,-819.341854,-819.341854,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CBRE,0,0,0,0,0,0,0,-257.419423,0,0,-257.419423,-257.419423,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CCI,0,0,0,0,0,0,0,-182.3,0,0,-182.3,-182.3,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CCL,0,0,0,0,0,0,0,-447.834714,0,0,-447.834714,-447.834714,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CDNS,0,0,0,0,0,0,459.2,0,0,0,459.2,459.2,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CE,0,0,0,0,0,0,0,-338.418874,0,0,-338.418874,-338.418874,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CERN,0,0,0,0,0,0,94.325712,0,0,0,94.325712,94.325712,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CFG,0,0,0,0,0,0,0,-740.985361,0,0,-740.985361,-740.985361,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CHD,0,0,0,0,0,0,37.48,0,0,0,37.48,37.48,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CHRW,0,0,0,0,0,0,203.1,0,0,0,203.1,203.1,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CHTR,0,0,0,0,0,0,0,-934.31707,0,0,-934.31707,-934.31707,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CI,0,0,0,0,0,0,0,-1415.575622,0,0,-1415.575622,-1415.575622,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CINF,0,0,0,0,0,0,0,-484.12,0,0,-484.12,-484.12,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CL,0,0,0,0,0,0,0,-571.84,0,0,-571.84,-571.84,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CMCSA,0,0,0,0,0,0,0,-27.5,0,0,-27.5,-27.5,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CMI,0,0,0,0,0,0,0,-208.564321,0,0,-208.564321,-208.564321,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CNC,0,0,0,0,0,0,623,0,0,0,623,623,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,COF,0,0,0,0,0,0,0,-73.940252,0,0,-73.940252,-73.940252,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,COG,0,0,0,0,0,0,210.264481,0,0,0,210.264481,210.264481,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,COO,0,0,0,0,0,0,0,-42.72,0,0,-42.72,-42.72,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,COP,0,0,0,0,0,0,0,-333.728249,0,0,-333.728249,-333.728249,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CPB,0,0,0,0,0,0,0,-33.48,0,0,-33.48,-33.48,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CRM,0,0,0,0,0,0,556.7,0,0,0,556.7,556.7,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CSCO,0,0,0,0,0,0,0,-511.073481,0,0,-511.073481,-511.073481,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CSX,0,0,0,0,0,0,365.8,0,0,0,365.8,365.8,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CTSH,0,0,0,0,0,0,244.5,0,0,0,244.5,244.5,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CVS,0,0,-801.545891,0,0,-801.545891,0,0,0,0,0,-801.545891,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CVX,0,0,0,0,0,0,664.28,0,0,0,664.28,664.28,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,CXO,0,310.37314,0,0,0,310.37314,0,0,0,0,0,310.37314,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,D,0,0,0,0,0,0,0,-150.984842,0,0,-150.984842,-150.984842,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DAL,0,0,0,0,0,0,0,-388.790563,0,0,-388.790563,-388.790563,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DE,0,0,0,0,0,0,0,-958.49647,0,0,-958.49647,-958.49647,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DGX,0,0,0,0,0,0,0,-175.6,0,0,-175.6,-175.6,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DHI,0,0,0,0,0,0,0,-253.12,0,0,-253.12,-253.12,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DISCA,0,0,0,0,0,0,19.075254,0,0,0,19.075254,19.075254,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DISCK,0,0,0,0,0,0,0,-1404.551217,0,0,-1404.551217,-1404.551217,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DOV,0,0,0,0,0,0,0,-925.219128,0,0,-925.219128,-925.219128,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DRE,0,0,0,0,0,0,191.458859,0,0,0,191.458859,191.458859,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,DVN,0,0,0,0,0,0,0,-125.658474,0,0,-125.658474,-125.658474,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,EA,0,0,0,0,0,0,0,-20.19,0,0,-20.19,-20.19,
Synthèse de la performance réalisée et non-réalisée,Data,Actions,EBAY,0,1008.341713,0,0,0,1008.341713,0,0,0,0,0,1008.341713,
