,Date,Starting NAV,Ending NAV,Daily PNL ($),Daily PNL (%),Cumulative Daily P&L ($),Cumulative Daily P&L (%)
0,2019-12-23,499550.66,499622.11,71.45,0.01,71.45,0.01
1,2019-12-24,499622.11,499622.11,0.0,0.0,71.45,0.01
2,2019-12-25,499622.11,499622.11,0.0,0.0,71.45,0.01
3,2019-12-26,499622.11,499622.11,0.0,0.0,71.45,0.01
4,2019-12-27,499622.11,499679.27,57.16,0.01,128.61,0.03
5,2019-12-30,499679.27,499679.27,0.0,0.0,128.61,0.03
6,2019-12-31,499679.27,499410.64,-268.63,-0.05,-140.02,-0.03
7,2020-01-02,499410.64,499086.67,-323.97,-0.06,-463.99,-0.09
8,2020-01-03,499086.67,498209.4,-877.27,-0.18,-1341.26,-0.27
9,2020-01-06,498209.4,498164.68,-44.72,-0.01,-1385.98,-0.28
10,2020-01-07,498164.68,498796.37,631.69,0.13,-754.29,-0.15
11,2020-01-08,498796.37,499097.33,300.96,0.06,-453.33,-0.09
12,2020-01-09,499097.33,497918.25,-1179.08,-0.24,-1632.41,-0.33
13,2020-01-10,497918.25,497809.1,-109.15,-0.02,-1741.56,-0.35
