,_ticker,_tp,_sl,_amount
0,EUR/USD,0.0015,0.003,100
1,USD/JPY,0.0015,0.003,100
2,GBP/USD,0.0015,0.003,100
3,USD/CHF,0.0015,0.003,100
4,EUR/CHF,0.0015,0.003,100
5,AUD/USD,0.0015,0.003,100
6,USD/CAD,0.0015,0.003,100
7,NZD/USD,0.0015,0.003,100
8,EUR/GBP,0.0015,0.003,100
9,EUR/JPY,0.0015,0.003,100
10,GBP/JPY,0.0015,0.003,100
11,CHF/JPY,0.0015,0.003,100
12,GBP/CHF,0.0015,0.003,100
13,EUR/AUD,0.0015,0.003,100
14,EUR/CAD,0.0015,0.003,100
15,AUD/CAD,0.0015,0.003,100
16,AUD/JPY,0.0015,0.003,100
17,CAD/JPY,0.0015,0.003,100
18,NZD/JPY,0.0015,0.003,100
19,GBP/CAD,0.0015,0.003,100
20,GBP/NZD,0.0015,0.003,100
21,GBP/AUD,0.0015,0.003,100
22,AUD/NZD,0.0015,0.003,100
23,USD/SEK,0.0015,0.003,100
24,EUR/SEK,0.0015,0.003,100
25,EUR/NOK,0.0015,0.003,100
26,USD/NOK,0.0015,0.003,100
27,USD/MXN,0.0015,0.003,100
28,AUD/CHF,0.0015,0.003,100
29,EUR/NZD,0.0015,0.003,100
30,USD/ZAR,0.0015,0.003,100
31,USD/HKD,0.0015,0.003,100
32,ZAR/JPY,0.0015,0.003,100
33,USD/TRY,0.0015,0.003,100
34,EUR/TRY,0.0015,0.003,100
35,NZD/CHF,0.0015,0.003,100
36,CAD/CHF,0.0015,0.003,100
37,NZD/CAD,0.0015,0.003,100
38,TRY/JPY,0.0015,0.003,100
39,USD/ILS,0.0015,0.003,100
40,USD/CNH,0.0015,0.003,100
41,AUS200,0.0015,0.003,100
42,ESP35,0.0015,0.003,100
43,FRA40,0.0015,0.003,100
44,GER30,0.0015,0.003,100
45,HKG33,0.0015,0.003,100
46,JPN225,0.0015,0.003,100
47,NAS100,0.0015,0.003,100
48,SPX500,0.0015,0.003,100
49,UK100,0.0015,0.003,100
50,US30,0.0015,0.003,100
51,Copper,0.0015,0.003,100
52,CHN50,0.0015,0.003,100
53,EUSTX50,0.0015,0.003,100
54,USDOLLAR,0.0015,0.003,100
55,US2000,0.0015,0.003,100
56,USOil,0.0015,0.003,100
57,UKOil,0.0015,0.003,100
58,SOYF,0.0015,0.003,100
59,NGAS,0.0015,0.003,100
60,USOilSpot,0.0015,0.003,100
61,UKOilSpot,0.0015,0.003,100
62,WHEATF,0.0015,0.003,100
63,CORNF,0.0015,0.003,100
64,Bund,0.0015,0.003,100
65,XAU/USD,0.0015,0.003,100
66,XAG/USD,0.0015,0.003,100
67,EMBasket,0.0015,0.003,100
68,JPYBasket,0.0015,0.003,100
69,BTC/USD,0.0015,0.003,100
70,BCH/USD,0.0015,0.003,100
71,ETH/USD,0.0015,0.003,100
72,LTC/USD,0.0015,0.003,100
73,XRP/USD,0.0015,0.003,100
74,CryptoMajor,0.0015,0.003,100
75,EOS/USD,0.0015,0.003,100
76,XLM/USD,0.0015,0.003,100
77,ESPORTS,0.0015,0.003,100
78,BIOTECH,0.0015,0.003,100
79,CANNABIS,0.0015,0.003,100
80,FAANG,0.0015,0.003,100
81,CHN.TECH,0.0015,0.003,100
82,CHN.ECOMM,0.0015,0.003,100
83,USEquities,0.0015,0.003,100
