,Date,Compte,Type,Ticker,Quantité,Average Cost
0,2019-09-15,DU1640450,Stock,JPM,-42.0,120.2035827
1,2019-09-15,DU1640450,Stock,NOV,219.0,22.815
2,2019-09-15,DU1640450,Stock,VMC,-34.0,147.54741435
3,2019-09-15,DU1640450,Stock,DRI,-39.0,127.31160405
4,2019-09-15,DU1640450,Stock,CNC,-110.0,45.3898503
5,2019-09-15,DU1640450,Stock,ADSK,33.0,153.51030305
6,2019-09-15,DU1640450,Stock,CPRI,-156.0,32.00280815
7,2019-09-15,DU1640450,Stock,FLS,103.0,48.54970875
8,2019-09-15,DU1640450,Stock,AVGO,17.0,290.37882355
9,2019-09-15,DU1640450,Stock,LNC,81.0,61.6823457
10,2019-09-15,DU1640450,Stock,HRL,116.0,42.9886207
11,2019-09-15,DU1640450,Stock,TIF,-51.0,98.25823875
12,2019-09-15,DU1640450,Stock,RE,-20.0,256.33457375
13,2019-09-15,DU1640450,Stock,ULTA,-22.0,226.80973045
14,2019-09-15,DU1640450,Stock,WFC,102.0,48.9298039
15,2019-09-15,DU1640450,Stock,CCL,99.0,50.560101
16,2019-09-15,DU1640450,Stock,WAB,-67.0,75.1633994
17,2019-09-15,DU1640450,Stock,HPE,326.0,15.325
18,2019-09-15,DU1640450,Stock,CBRE,-93.0,53.9880105
19,2019-09-15,DU1640450,Stock,WHR,-33.0,149.82647585
20,2019-09-15,DU1640450,Stock,ROK,30.0,166.78333335
21,2019-09-15,DU1640450,Stock,EMN,-66.0,75.45316725
22,2019-09-15,DU1640450,Stock,KO,92.0,54.27086955
23,2019-09-15,DU1640450,Stock,LUV,89.0,55.80123595
24,2019-09-15,DU1640450,Stock,DISCK,190.0,26.30526315
25,2019-09-15,DU1640450,Stock,JNPR,206.0,24.275
26,2019-09-15,DU1640450,Stock,DISH,142.0,35.26704225
27,2019-09-15,DU1640450,Stock,EFX,-35.0,141.26838465
28,2019-09-15,DU1640450,Stock,IPGP,34.0,146.36941175
29,2019-09-15,DU1640450,Stock,MXIM,84.0,59.60190475
30,2019-09-15,DU1640450,Stock,SEE,-118.0,42.39052875
31,2019-09-15,DU1640450,Stock,DHI,101.0,49.499901
32,2019-09-15,DU1640450,Stock,TTWO,40.0,125.125
33,2019-09-15,DU1640450,Stock,BKNG,2.0,2064.4
34,2019-09-15,DU1640450,Stock,WCG,19.0,267.2326316
35,2019-09-15,DU1640450,Stock,FANG,52.0,96.74923075
36,2019-09-15,DU1640450,Stock,SHW,-9.0,541.3975604
37,2019-09-15,DU1640450,Stock,MAA,39.0,126.98564105
38,2019-09-15,DU1640450,Stock,PHM,-142.0,35.24210905
39,2019-09-15,DU1640450,Stock,ALLE,49.0,102.26040815
40,2019-09-15,DU1640450,Stock,PM,-69.0,72.8838792
41,2019-09-15,DU1640450,Stock,HFC,97.0,51.3903093
42,2019-09-15,DU1640450,Stock,SWK,-34.0,146.21744185
43,2019-09-15,DU1640450,Stock,RHI,-88.0,56.74734245
44,2019-09-15,DU1640450,Stock,TROW,-42.0,118.9136094
45,2019-09-15,DU1640450,Stock,MRK,60.0,82.62666665
46,2019-09-15,DU1640450,Stock,SPG,-33.0,153.8963916
47,2019-09-15,DU1640450,Stock,ALK,-76.0,65.8553596
48,2019-09-15,DU1640450,Stock,DISCA,179.0,27.8955866
49,2019-09-15,DU1640450,Stock,C,-71.0,70.3743394
50,2019-09-15,DU1640450,Stock,TRIP,122.0,40.8281967
51,2019-09-15,DU1640450,Stock,NI,172.0,29.04581395
52,2019-09-15,DU1640450,Stock,CHD,69.0,71.99449275
53,2019-09-15,DU1640450,Stock,CAH,-104.0,48.20926745
54,2019-09-15,DU1640450,Stock,PPG,-42.0,119.3536003
55,2019-09-15,DU1640450,Stock,BK,106.0,46.90943395
56,2019-09-15,DU1640450,Stock,HCA,39.0,129.09564105
57,2019-09-15,DU1640450,Stock,PPL,-162.0,30.87306895
58,2019-09-15,DU1640450,Stock,TXT,97.0,51.4103093
59,2019-09-15,DU1640450,Stock,ADBE,18.0,278.40555555
60,2019-09-15,DU1640450,Stock,PG,41.0,122.14439025
61,2019-09-15,DU1640450,Stock,UTX,36.0,138.0877778
62,2019-09-15,DU1640450,Stock,COG,-266.0,18.80449165
