,Date,Compte,Type,Ticker,Quantité,Average Cost
0,2019-09-24,DU1507428,Stock,SWKS,125.0,79.918
1,2019-09-24,DU1507428,Stock,JNPR,-420.0,24.1515238
2,2019-09-24,DU1507428,Stock,GD,-104.0,189.7167231
3,2019-09-24,DU1507428,Stock,IPG,472.0,21.205
4,2019-09-24,DU1507428,Stock,TTWO,10.0,130.95
5,2019-09-24,DU1507428,Stock,MCO,-6.0,216.15873335
6,2019-09-24,DU1507428,Stock,RHI,-23.0,55.3552565
7,2019-09-24,DU1507428,Stock,WDC,-164.0,61.1186157
8,2019-09-24,DU1507428,Stock,HAS,84.0,119.50190475
9,2019-09-24,DU1507428,Stock,ALL,-94.0,106.9370287
10,2019-09-24,DU1507428,Stock,ALK,-154.0,64.7820461
11,2019-09-24,DU1507428,Stock,CAH,209.0,47.995
12,2019-09-24,DU1507428,Stock,XEL,155.0,64.7364516
13,2019-09-24,DU1507428,Stock,TGT,93.0,107.2407527
14,2019-09-24,DU1507428,Stock,CAT,-78.0,128.5143999
15,2019-09-24,DU1507428,Stock,NUE,188.0,52.71531915
16,2019-09-24,DU1507428,Stock,MNST,-21.0,58.6210476
17,2019-09-24,DU1507428,Stock,REG,147.0,67.8768027
18,2019-09-24,DU1507428,Stock,TFX,-30.0,337.91955335
19,2019-09-24,DU1507428,Stock,TMUS,-125.0,79.79022915
20,2019-09-24,DU1507428,Stock,MLM,-38.0,266.31805175
21,2019-09-24,DU1507428,Stock,JEC,-107.0,93.3486028
22,2019-09-24,DU1507428,Stock,ALXN,93.0,107.6907527
23,2019-09-24,DU1507428,Stock,HCP,36.0,35.1877778
24,2019-09-24,DU1507428,Stock,HIG,-21.0,60.73100475
25,2019-09-24,DU1507428,Stock,TIF,13.0,93.6869231
26,2019-09-24,DU1507428,Stock,XEC,25.0,50.93
27,2019-09-24,DU1507428,Stock,CCL,-52.0,48.59541345
28,2019-09-24,DU1507428,Stock,MDT,-92.0,109.33674785
29,2019-09-24,DU1507428,Stock,CHTR,-48.0,425.1544125
30,2019-09-24,DU1507428,Stock,AMZN,1.0,1821.99
31,2019-09-24,DU1507428,Stock,NWSA,-712.0,14.1745875
32,2019-09-24,DU1507428,Stock,CFG,35.0,36.24857145
33,2019-09-24,DU1507428,Stock,CCI,-73.0,141.08326165
34,2019-09-24,DU1507428,Stock,ADS,10.0,131.27
35,2019-09-24,DU1507428,Stock,WHR,67.0,147.73492535
36,2019-09-24,DU1507428,Stock,ROL,293.0,34.155
37,2019-09-24,DU1507428,Stock,MPC,-182.0,54.98324835
