,Date,Compte,Type,Ticker,Quantité,Average Cost
38,2019-09-24,DU1507428,Stock,AIG,-178.0,56.49309325
39,2019-09-24,DU1507428,Stock,ROK,62.0,162.24903225
40,2019-09-24,DU1507428,Stock,BR,-79.0,126.91459495
41,2019-09-24,DU1507428,Stock,WCG,-37.0,269.16728155
42,2019-09-24,DU1507428,Stock,FDX,8.0,152.875
43,2019-09-24,DU1507428,Stock,SWK,-9.0,143.1658
44,2019-09-24,DU1507428,Stock,MAA,-77.0,129.5342117
45,2019-09-24,DU1507428,Stock,DISCA,47.0,26.7412766
46,2019-09-24,DU1507428,Stock,CSX,18.0,70.70555555
47,2019-09-24,DU1507428,Stock,HSY,-66.0,153.1415591
48,2019-09-24,DU1507428,Stock,SPG,-8.0,155.2416625
49,2019-09-24,DU1507428,Stock,FITB,-360.0,27.7643061
50,2019-09-24,DU1507428,Stock,PPG,-85.0,118.07567185
51,2019-09-24,DU1507428,Stock,EXPE,75.0,132.64333335
52,2019-09-24,DU1507428,Stock,TRIP,30.0,41.08333335
53,2019-09-24,DU1507428,Stock,DLR,-78.0,128.1944064
54,2019-09-24,DU1507428,Stock,JWN,-312.0,32.1442154
55,2019-09-24,DU1507428,Stock,L,24.0,51.28166665
56,2019-09-24,DU1507428,Stock,PPL,-322.0,31.1249199
57,2019-09-24,DU1507428,Stock,ORLY,-26.0,390.9833269
58,2019-09-24,DU1507428,Stock,FTI,388.0,24.885
59,2019-09-24,DU1507428,Stock,VMC,-69.0,147.53233335
60,2019-09-24,DU1507428,Stock,MKC,8.0,160.475
61,2019-09-24,DU1507428,Stock,VNO,20.0,63.1
62,2019-09-24,DU1507428,Stock,PSX,-96.0,104.0173109
63,2019-09-24,DU1507428,Stock,MCHP,-109.0,91.72880765
64,2019-09-24,DU1507428,Stock,CNC,215.0,46.475
65,2019-09-24,DU1507428,Stock,TWTR,-232.0,43.26398535
66,2019-09-24,DU1507428,Stock,ULTA,5.0,230.7
67,2019-09-24,DU1507428,Stock,ALB,147.0,67.6468027
68,2019-09-24,DU1507428,Stock,CVS,158.0,63.4863291
69,2019-09-24,DU1507428,Stock,WAB,135.0,74.0074074
70,2019-09-24,DU1507428,Stock,NOC,-3.0,374.6588
71,2019-09-24,DU1507428,Stock,NCLH,23.0,54.03347825
72,2019-09-24,DU1507428,Stock,BSX,-232.0,43.20812455
73,2019-09-24,DU1507428,Stock,MAS,247.0,40.595
74,2019-09-24,DU1507428,Stock,CBRE,189.0,52.915291
75,2019-09-24,DU1507428,Stock,IEX,7.0,167.13285715
76,2019-09-24,DU1507428,Stock,VLO,121.0,82.97826445
77,2019-09-24,DU1507428,Stock,D,-128.0,79.10043125
78,2019-09-24,DU1507428,Stock,NTRS,13.0,96.1469231
79,2019-09-24,DU1507428,Stock,COO,4.0,302.08
80,2019-09-24,DU1507428,Stock,FANG,102.0,98.2645098
81,2019-09-24,DU1507428,Stock,DGX,-95.0,106.3171537
82,2019-09-24,DU1507428,Stock,HOLX,-100.0,50.08884395
83,2019-09-24,DU1507428,Stock,HFC,-186.0,53.71339245
84,2019-09-24,DU1507428,Stock,UAL,-226.0,89.84417125
85,2019-09-24,DU1507428,Stock,LMT,-3.0,396.71833335
86,2019-09-24,DU1507428,Stock,AEE,-130.0,77.79057845
87,2019-09-24,DU1507428,Stock,LEG,-246.0,40.7240378
88,2019-09-24,DU1507428,Stock,SRE,9.0,141.2011111
89,2019-09-24,DU1507428,Stock,C,144.0,68.95694445
90,2019-09-24,DU1507428,Stock,ACN,52.0,193.35923075
91,2019-09-24,DU1507428,Stock,BK,215.0,46.4182558
92,2019-09-24,DU1507428,Stock,BDX,-40.0,253.0096425
93,2019-09-24,DU1507428,Stock,PG,82.0,122.42317075
94,2019-09-24,DU1507428,Stock,TXT,189.0,52.795291
95,2019-09-24,DU1507428,Stock,BEN,-342.0,29.27427485
96,2019-09-24,DU1507428,Stock,ESS,4.0,327.75
97,2019-09-24,DU1507428,Stock,MET,26.0,47.98846155
98,2019-09-24,DU1507428,Stock,COG,-556.0,18.00450825
99,2019-09-24,DU1507428,Stock,NVDA,7.0,179.88285715
100,2019-09-24,DU1507428,Stock,LLY,-86.0,115.9158535
101,2019-09-24,DU1507428,Stock,NOV,441.0,22.09726755
102,2019-09-24,DU1507428,Stock,AOS,-204.0,49.0538657
103,2019-09-24,DU1507428,Stock,HRL,-464.0,43.1426086
104,2019-09-24,DU1507428,Stock,LNC,-165.0,60.60256605
105,2019-09-24,DU1507428,Stock,FLS,202.0,49.115
106,2019-09-24,DU1507428,Stock,LOW,11.0,112.1309091
107,2019-09-24,DU1507428,Stock,SNA,-16.0,154.716675
108,2019-09-24,DU1507428,Stock,RE,-38.0,259.8881842
109,2019-09-24,DU1507428,Stock,PNW,-103.0,97.37233115
110,2019-09-24,DU1507428,Stock,PKG,12.0,104.97333335
111,2019-09-24,DU1507428,Stock,TRV,-9.0,146.06574445
112,2019-09-24,DU1507428,Stock,LEN,187.0,53.2253476
113,2019-09-24,DU1507428,Stock,AIV,-24.0,51.8971375
114,2019-09-24,DU1507428,Stock,UHS,-8.0,149.731775
115,2019-09-24,DU1507428,Stock,VIAB,48.0,25.83083335
116,2019-09-24,DU1507428,Stock,WYNN,-88.0,113.78616135
117,2019-09-24,DU1507428,Stock,WRK,35.0,35.98857145
118,2019-09-24,DU1507428,Stock,FCX,954.0,10.325
119,2019-09-24,DU1507428,Stock,ALGN,54.0,186.9285185
120,2019-09-24,DU1507428,Stock,PM,17.0,71.65882355
121,2019-09-24,DU1507428,Stock,STZ,49.0,206.14040815
122,2019-09-24,DU1507428,Stock,ANTM,-5.0,251.09468
123,2019-09-24,DU1507428,Stock,COST,35.0,289.29857145
124,2019-09-24,DU1507428,Stock,CI,-8.0,164.8814625
125,2019-09-24,DU1507428,Stock,JNJ,-77.0,129.7242078
126,2019-09-24,DU1507428,Stock,AMG,-15.0,85.72144
127,2019-09-24,DU1507428,Stock,EL,-6.0,192.36923335
128,2019-09-24,DU1507428,Stock,KMX,118.0,84.7401695
129,2019-09-24,DU1507428,Stock,MRK,-15.0,84.43146665
130,2019-09-24,DU1507428,Stock,ECL,51.0,195.22960785
131,2019-09-24,DU1507428,Stock,CHD,17.0,72.97882355
132,2019-09-24,DU1507428,Stock,ADBE,4.0,282.07
133,2019-09-24,DU1507428,Stock,MO,241.0,41.495
134,2019-09-24,DU1507428,Stock,HCA,77.0,126.162987
135,2019-09-24,DU1507428,Stock,ED,-14.0,91.49655715
136,2019-09-24,DU1507428,Stock,TSCO,-109.0,91.9688027
137,2019-09-24,DU1507428,Stock,K,20.0,63.91
138,2019-09-24,DU1507428,Stock,WLTW,-12.0,197.87411665
139,2019-09-24,DU1507428,Stock,KR,49.0,25.29040815
140,2019-09-24,DU1507428,Stock,EA,-102.0,97.9680489
141,2019-09-24,DU1507428,Stock,APTV,111.0,89.689009
142,2019-09-24,DU1507428,Stock,FLT,35.0,288.44857145
143,2019-09-24,DU1507428,Stock,FBHS,187.0,52.3753476
144,2019-09-24,DU1507428,Stock,MU,-204.0,49.15386325
145,2019-09-24,DU1507428,Stock,KSS,-26.0,48.7904077
146,2019-09-24,DU1507428,Stock,EOG,-15.0,82.00151335
147,2019-09-24,DU1507428,Stock,JEF,494.0,19.605
148,2019-09-24,DU1507428,Stock,XLNX,-104.0,96.34827115
149,2019-09-24,DU1507428,Stock,LKQ,-39.0,31.9235795
150,2019-09-24,DU1507428,Stock,KIM,-998.0,20.17446325
151,2019-09-24,DU1507428,Stock,ZBH,9.0,139.8011111
152,2019-09-24,DU1507428,Stock,HPE,660.0,14.915
153,2019-09-24,DU1507428,Stock,EXR,-86.0,117.5758186
154,2019-09-24,DU1507428,Stock,T,-34.0,37.27969705
155,2019-09-24,DU1507428,Stock,HPQ,529.0,18.8733554
156,2019-09-24,DU1507428,Stock,IR,-81.0,122.8549919
157,2019-09-24,DU1507428,Stock,KO,185.0,54.0754054
158,2019-09-24,DU1507428,Stock,GWW,4.0,293.05
159,2019-09-24,DU1507428,Stock,EMN,-138.0,72.27113845
