,Date,Ticker,Open Long,Close Long,Open Short,Close Short,Close Price
14,2020-01-08,CAG,0,1,1,0,31.8700008392334
59,2020-01-08,JEF,0,1,1,0,21.06999969482422
92,2020-01-08,EFX,0,1,1,0,146.27999877929688
142,2020-01-08,CVX,0,1,0,0,117.69999694824219
147,2020-01-08,GS,0,1,1,0,237.75999450683594
195,2020-01-08,TSCO,0,1,1,0,91.70999908447266
197,2020-01-08,SJM,0,1,1,0,103.30000305175781
240,2020-01-08,HRB,0,1,1,0,23.3799991607666
245,2020-01-08,MPC,0,1,1,0,58.52000045776367
279,2020-01-08,MCK,0,1,0,0,140.55999755859375
287,2020-01-08,PXD,1,0,0,1,152.0800018310547
316,2020-01-08,CE,0,1,1,0,117.08000183105469
341,2020-01-08,NOC,0,0,0,1,370.2900085449219
358,2020-01-08,HOG,0,1,1,0,36.529998779296875
