,Date,Nbre Positions,Nbre Tickers,Nbre Long,Nbre Short,Exposition Long,Exposition Short,Exposition Totale,Latent PnL
0,2019-12-26,28,28,3,25,29989.46,-250377.53000000003,-220388.07,-1099.8000000000059
1,2019-12-26,53,28,6,47,59978.92,-470690.75000000006,-410711.8300000001,-2052.4000000000124
2,2019-12-31,27,27,3,24,29882.63,-269970.63,-240088.0,-1505.1000000000076
3,2019-12-26,77,28,9,68,89968.38,-680963.03,-590994.65,-2976.920000000018
4,2019-12-31,31,27,5,26,49751.12,-289903.73,-240152.61,-1502.8800000000085
5,2020-01-02,35,35,1,34,20028.28,-600712.27,-580683.99,-3066.060000000017
6,2019-12-26,101,28,12,89,119957.84,-891235.31,-771277.4700000002,-3901.4400000000232
7,2019-12-31,34,27,7,27,69619.61,-299840.03,-230220.41999999995,-1502.8600000000088
8,2020-01-02,41,35,1,40,20028.28,-680794.58,-660766.3,-3031.420000000022
9,2020-01-03,33,33,2,31,39911.89,-841253.7399999999,-801341.85,-5935.260000000016
10,2019-12-26,125,28,15,110,149947.3,-1101507.59,-951560.29,-4825.960000000029
11,2019-12-31,37,27,9,28,89488.1,-309776.33,-220288.22999999995,-1502.8400000000092
12,2020-01-02,43,35,1,42,20028.28,-700807.34,-680779.06,-2914.220000000022
13,2020-01-03,40,33,3,37,69954.31,-991332.74,-921378.4300000002,-6273.880000000019
14,2020-01-06,37,37,4,33,49406.83,-1081866.5199999998,-1032459.69,-9598.76000000002
15,2019-12-26,149,28,18,131,179936.76,-1311779.87,-1131843.11,-5750.480000000034
16,2019-12-31,39,27,10,29,99406.24,-319712.62999999995,-220306.39,-1533.5000000000086
17,2020-01-02,43,35,1,42,20028.28,-700807.34,-680779.06,-2914.220000000022
18,2020-01-03,44,33,3,41,69954.31,-1081410.6,-1011456.2900000002,-6301.610000000021
19,2020-01-06,42,37,4,38,49406.83,-1241993.4899999998,-1192586.66,-13085.76000000002
20,2020-01-07,45,45,7,37,138892.77,-1332814.15,-1193921.38,-8648.130000000034
21,2019-12-26,173,28,21,152,209926.22000000003,-1522052.15,-1312125.93,-6675.00000000004
22,2019-12-31,41,27,11,30,109324.38,-329648.92999999993,-220324.55,-1564.160000000009
23,2020-01-02,43,35,1,42,20028.28,-700807.34,-680779.06,-2914.220000000022
24,2020-01-03,47,33,3,44,69954.31,-1141456.12,-1071501.81,-6362.700000000018
25,2020-01-06,44,37,4,40,49406.83,-1301892.41,-1252485.58,-13252.110000000019
26,2020-01-07,51,45,8,42,158711.16999999998,-1503375.27,-1344664.1,-9516.840000000044
27,2020-01-08,43,43,6,37,168549.76,-1633549.5399999996,-1464999.78,-15061.380000000032
28,2019-12-26,196,28,24,172,239915.68,-1722267.35,-1482351.6700000004,-7589.070000000044
29,2019-12-31,42,27,12,30,119242.52,-329648.92999999993,-210406.41,-1540.700000000009
30,2020-01-02,43,35,1,42,20028.28,-700807.34,-680779.06,-2914.220000000022
31,2020-01-03,49,33,3,46,69954.31,-1181546.14,-1111591.83,-6576.800000000019
32,2020-01-06,46,37,4,42,49406.83,-1361791.33,-1312384.5,-13418.460000000017
33,2020-01-07,54,45,9,44,178529.56999999995,-1563279.78,-1384750.2100000002,-9813.110000000044
34,2020-01-08,45,43,6,39,168549.76,-1733908.0,-1565358.24,-17296.450000000037
35,2020-01-09,48,48,7,39,207807.72,-2014634.14,-1806826.42,-18517.86000000004
36,2019-12-26,218,28,27,191,269905.14,-1912487.65,-1642582.51,-8359.630000000048
37,2019-12-31,42,27,12,30,119242.52,-329648.92999999993,-210406.41,-1540.700000000009
38,2020-01-02,43,35,1,42,20028.28,-700807.34,-680779.06,-2914.220000000022
39,2020-01-03,51,33,3,48,69954.31,-1221636.16,-1151681.85,-6790.900000000021
40,2020-01-06,48,37,4,44,49406.83,-1421690.25,-1372283.42,-13584.81000000002
41,2020-01-07,56,45,10,45,198347.97,-1583202.78,-1384854.8100000005,-9938.81000000004
42,2020-01-08,46,43,6,40,168549.76,-1794186.4,-1625636.64,-17524.09000000004
43,2020-01-09,52,48,9,41,286842.48,-2126839.2100000004,-1839996.73,-17242.800000000036
44,2020-01-10,51,51,8,43,197704.3,-2402646.16,-2204941.86,-28452.10000000004
45,2019-12-26,240,28,30,210,299894.6,-2102707.95,-1802813.35,-9130.190000000057
46,2019-12-31,42,27,12,30,119242.52,-329648.92999999993,-210406.41,-1540.700000000009
47,2020-01-02,43,35,1,42,20028.28,-700807.34,-680779.06,-2914.220000000022
48,2020-01-03,51,33,3,48,69954.31,-1221636.16,-1151681.85,-6790.900000000021
49,2020-01-06,50,37,4,46,49406.83,-1481589.17,-1432182.34,-13751.160000000016
50,2020-01-07,58,45,11,46,218166.37,-1603125.78,-1384959.41,-10064.510000000038
51,2020-01-08,46,43,6,40,168549.76,-1794186.4,-1625636.64,-17524.09000000004
52,2020-01-09,55,48,11,42,365877.24,-2188662.910000001,-1822785.67,-16252.540000000039
53,2020-01-10,102,51,16,86,524932.27,-5617098.239999998,-5092165.97,-72215.86000000007
54,2020-01-13,9,9,3,6,29934.22,-190818.69,-160884.47,-654.7900000000009
